[2023-02-03 17:16:32] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 17:16:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 17:16:56] [Epoch     1/  500] trn/posterior_energy  6.343e+04, trn/neg_log_likelihood  1.892e+05, trn/neg_log_prior -1.258e+05, trn/lr  3.000e-07, val/acc 2.312e-02, val/nll 4.554e+00 (best_acc: 0.000e+00 -> 2.312e-02, test_acc: 2.300e-02, test_nll: 4.554e+00)
[2023-02-03 17:17:01] [Epoch     2/  500] trn/posterior_energy  5.729e+04, trn/neg_log_likelihood  1.831e+05, trn/neg_log_prior -1.258e+05, trn/lr  3.000e-07, val/acc 3.429e-02, val/nll 4.386e+00 (best_acc: 2.312e-02 -> 3.429e-02, test_acc: 3.470e-02, test_nll: 4.385e+00)
[2023-02-03 17:17:05] [Epoch     3/  500] trn/posterior_energy  4.986e+04, trn/neg_log_likelihood  1.757e+05, trn/neg_log_prior -1.258e+05, trn/lr  3.000e-07, val/acc 5.885e-02, val/nll 4.219e+00 (best_acc: 3.429e-02 -> 5.885e-02, test_acc: 5.600e-02, test_nll: 4.225e+00)
[2023-02-03 17:17:09] [Epoch     4/  500] trn/posterior_energy  4.323e+04, trn/neg_log_likelihood  1.690e+05, trn/neg_log_prior -1.258e+05, trn/lr  3.000e-07, val/acc 7.135e-02, val/nll 4.051e+00 (best_acc: 5.885e-02 -> 7.135e-02, test_acc: 6.920e-02, test_nll: 4.060e+00)
[2023-02-03 17:17:14] [Epoch     5/  500] trn/posterior_energy  3.718e+04, trn/neg_log_likelihood  1.629e+05, trn/neg_log_prior -1.258e+05, trn/lr  2.999e-07, val/acc 9.093e-02, val/nll 3.915e+00 (best_acc: 7.135e-02 -> 9.093e-02, test_acc: 1.003e-01, test_nll: 3.920e+00)
[2023-02-03 17:17:18] [Epoch     6/  500] trn/posterior_energy  3.178e+04, trn/neg_log_likelihood  1.575e+05, trn/neg_log_prior -1.258e+05, trn/lr  2.999e-07, val/acc 1.066e-01, val/nll 3.840e+00 (best_acc: 9.093e-02 -> 1.066e-01, test_acc: 1.087e-01, test_nll: 3.849e+00)
[2023-02-03 17:17:22] [Epoch     7/  500] trn/posterior_energy  2.725e+04, trn/neg_log_likelihood  1.530e+05, trn/neg_log_prior -1.257e+05, trn/lr  2.999e-07, val/acc 1.251e-01, val/nll 3.711e+00 (best_acc: 1.066e-01 -> 1.251e-01, test_acc: 1.295e-01, test_nll: 3.705e+00)
[2023-02-03 17:17:26] [Epoch     8/  500] trn/posterior_energy  2.342e+04, trn/neg_log_likelihood  1.491e+05, trn/neg_log_prior -1.257e+05, trn/lr  2.998e-07, val/acc 1.302e-01, val/nll 3.686e+00 (best_acc: 1.251e-01 -> 1.302e-01, test_acc: 1.367e-01, test_nll: 3.672e+00)
[2023-02-03 17:17:31] [Epoch     9/  500] trn/posterior_energy  2.021e+04, trn/neg_log_likelihood  1.459e+05, trn/neg_log_prior -1.257e+05, trn/lr  2.998e-07, val/acc 1.492e-01, val/nll 3.570e+00 (best_acc: 1.302e-01 -> 1.492e-01, test_acc: 1.496e-01, test_nll: 3.564e+00)
[2023-02-03 17:17:35] [Epoch    10/  500] trn/posterior_energy  1.692e+04, trn/neg_log_likelihood  1.426e+05, trn/neg_log_prior -1.257e+05, trn/lr  2.997e-07, val/acc 1.605e-01, val/nll 3.502e+00 (best_acc: 1.492e-01 -> 1.605e-01, test_acc: 1.686e-01, test_nll: 3.508e+00)
[2023-02-03 17:17:39] [Epoch    11/  500] trn/posterior_energy  1.398e+04, trn/neg_log_likelihood  1.396e+05, trn/neg_log_prior -1.257e+05, trn/lr  2.997e-07, val/acc 1.652e-01, val/nll 3.481e+00 (best_acc: 1.605e-01 -> 1.652e-01, test_acc: 1.654e-01, test_nll: 3.472e+00)
[2023-02-03 17:17:43] [Epoch    12/  500] trn/posterior_energy  1.115e+04, trn/neg_log_likelihood  1.368e+05, trn/neg_log_prior -1.256e+05, trn/lr  2.996e-07, val/acc 1.917e-01, val/nll 3.356e+00 (best_acc: 1.652e-01 -> 1.917e-01, test_acc: 1.975e-01, test_nll: 3.349e+00)
[2023-02-03 17:17:47] [Epoch    13/  500] trn/posterior_energy  8.156e+03, trn/neg_log_likelihood  1.338e+05, trn/neg_log_prior -1.256e+05, trn/lr  2.995e-07, val/acc 1.881e-01, val/nll 3.339e+00
[2023-02-03 17:17:51] [Epoch    14/  500] trn/posterior_energy  5.200e+03, trn/neg_log_likelihood  1.308e+05, trn/neg_log_prior -1.256e+05, trn/lr  2.995e-07, val/acc 1.944e-01, val/nll 3.300e+00 (best_acc: 1.917e-01 -> 1.944e-01, test_acc: 2.000e-01, test_nll: 3.290e+00)
[2023-02-03 17:17:56] [Epoch    15/  500] trn/posterior_energy  2.666e+03, trn/neg_log_likelihood  1.282e+05, trn/neg_log_prior -1.256e+05, trn/lr  2.994e-07, val/acc 2.132e-01, val/nll 3.174e+00 (best_acc: 1.944e-01 -> 2.132e-01, test_acc: 2.210e-01, test_nll: 3.152e+00)
[2023-02-03 17:17:59] [Epoch    16/  500] trn/posterior_energy -9.963e+01, trn/neg_log_likelihood  1.255e+05, trn/neg_log_prior -1.256e+05, trn/lr  2.993e-07, val/acc 2.112e-01, val/nll 3.207e+00
[2023-02-03 17:18:04] [Epoch    17/  500] trn/posterior_energy -2.133e+03, trn/neg_log_likelihood  1.234e+05, trn/neg_log_prior -1.255e+05, trn/lr  2.992e-07, val/acc 2.196e-01, val/nll 3.132e+00 (best_acc: 2.132e-01 -> 2.196e-01, test_acc: 2.288e-01, test_nll: 3.109e+00)
[2023-02-03 17:18:08] [Epoch    18/  500] trn/posterior_energy -4.564e+03, trn/neg_log_likelihood  1.209e+05, trn/neg_log_prior -1.255e+05, trn/lr  2.991e-07, val/acc 2.438e-01, val/nll 3.002e+00 (best_acc: 2.196e-01 -> 2.438e-01, test_acc: 2.537e-01, test_nll: 2.982e+00)
[2023-02-03 17:18:12] [Epoch    19/  500] trn/posterior_energy -6.969e+03, trn/neg_log_likelihood  1.185e+05, trn/neg_log_prior -1.255e+05, trn/lr  2.990e-07, val/acc 2.527e-01, val/nll 2.984e+00 (best_acc: 2.438e-01 -> 2.527e-01, test_acc: 2.659e-01, test_nll: 2.963e+00)
[2023-02-03 17:18:16] [Epoch    20/  500] trn/posterior_energy -9.305e+03, trn/neg_log_likelihood  1.161e+05, trn/neg_log_prior -1.255e+05, trn/lr  2.989e-07, val/acc 2.515e-01, val/nll 2.986e+00
[2023-02-03 17:18:20] [Epoch    21/  500] trn/posterior_energy -1.194e+04, trn/neg_log_likelihood  1.135e+05, trn/neg_log_prior -1.254e+05, trn/lr  2.988e-07, val/acc 2.659e-01, val/nll 2.885e+00 (best_acc: 2.527e-01 -> 2.659e-01, test_acc: 2.791e-01, test_nll: 2.856e+00)
[2023-02-03 17:18:24] [Epoch    22/  500] trn/posterior_energy -1.404e+04, trn/neg_log_likelihood  1.114e+05, trn/neg_log_prior -1.254e+05, trn/lr  2.986e-07, val/acc 2.796e-01, val/nll 2.842e+00 (best_acc: 2.659e-01 -> 2.796e-01, test_acc: 2.891e-01, test_nll: 2.820e+00)
[2023-02-03 17:18:29] [Epoch    23/  500] trn/posterior_energy -1.640e+04, trn/neg_log_likelihood  1.090e+05, trn/neg_log_prior -1.254e+05, trn/lr  2.985e-07, val/acc 2.863e-01, val/nll 2.807e+00 (best_acc: 2.796e-01 -> 2.863e-01, test_acc: 2.930e-01, test_nll: 2.778e+00)
[2023-02-03 17:18:32] [Epoch    24/  500] trn/posterior_energy -1.873e+04, trn/neg_log_likelihood  1.066e+05, trn/neg_log_prior -1.253e+05, trn/lr  2.984e-07, val/acc 2.840e-01, val/nll 2.830e+00
[2023-02-03 17:18:36] [Epoch    25/  500] trn/posterior_energy -2.071e+04, trn/neg_log_likelihood  1.046e+05, trn/neg_log_prior -1.253e+05, trn/lr  2.982e-07, val/acc 2.991e-01, val/nll 2.739e+00 (best_acc: 2.863e-01 -> 2.991e-01, test_acc: 3.105e-01, test_nll: 2.713e+00)
[2023-02-03 17:18:40] [Epoch    26/  500] trn/posterior_energy -2.236e+04, trn/neg_log_likelihood  1.029e+05, trn/neg_log_prior -1.253e+05, trn/lr  2.981e-07, val/acc 2.934e-01, val/nll 2.775e+00
[2023-02-03 17:18:45] [Epoch    27/  500] trn/posterior_energy -2.482e+04, trn/neg_log_likelihood  1.004e+05, trn/neg_log_prior -1.253e+05, trn/lr  2.979e-07, val/acc 3.033e-01, val/nll 2.734e+00 (best_acc: 2.991e-01 -> 3.033e-01, test_acc: 3.109e-01, test_nll: 2.704e+00)
[2023-02-03 17:18:49] [Epoch    28/  500] trn/posterior_energy -2.650e+04, trn/neg_log_likelihood  9.872e+04, trn/neg_log_prior -1.252e+05, trn/lr  2.978e-07, val/acc 3.175e-01, val/nll 2.641e+00 (best_acc: 3.033e-01 -> 3.175e-01, test_acc: 3.251e-01, test_nll: 2.612e+00)
[2023-02-03 17:18:53] [Epoch    29/  500] trn/posterior_energy -2.838e+04, trn/neg_log_likelihood  9.681e+04, trn/neg_log_prior -1.252e+05, trn/lr  2.976e-07, val/acc 3.037e-01, val/nll 2.725e+00
[2023-02-03 17:18:57] [Epoch    30/  500] trn/posterior_energy -2.975e+04, trn/neg_log_likelihood  9.540e+04, trn/neg_log_prior -1.252e+05, trn/lr  2.974e-07, val/acc 3.298e-01, val/nll 2.590e+00 (best_acc: 3.175e-01 -> 3.298e-01, test_acc: 3.353e-01, test_nll: 2.568e+00)
[2023-02-03 17:19:01] [Epoch    31/  500] trn/posterior_energy -3.153e+04, trn/neg_log_likelihood  9.359e+04, trn/neg_log_prior -1.251e+05, trn/lr  2.973e-07, val/acc 3.308e-01, val/nll 2.606e+00 (best_acc: 3.298e-01 -> 3.308e-01, test_acc: 3.298e-01, test_nll: 2.582e+00)
[2023-02-03 17:19:05] [Epoch    32/  500] trn/posterior_energy -3.345e+04, trn/neg_log_likelihood  9.163e+04, trn/neg_log_prior -1.251e+05, trn/lr  2.971e-07, val/acc 3.259e-01, val/nll 2.612e+00
[2023-02-03 17:19:09] [Epoch    33/  500] trn/posterior_energy -3.516e+04, trn/neg_log_likelihood  8.989e+04, trn/neg_log_prior -1.251e+05, trn/lr  2.969e-07, val/acc 3.384e-01, val/nll 2.553e+00 (best_acc: 3.308e-01 -> 3.384e-01, test_acc: 3.393e-01, test_nll: 2.540e+00)
[2023-02-03 17:19:13] [Epoch    34/  500] trn/posterior_energy -3.683e+04, trn/neg_log_likelihood  8.819e+04, trn/neg_log_prior -1.250e+05, trn/lr  2.967e-07, val/acc 3.386e-01, val/nll 2.542e+00 (best_acc: 3.384e-01 -> 3.386e-01, test_acc: 3.347e-01, test_nll: 2.541e+00)
[2023-02-03 17:19:17] [Epoch    35/  500] trn/posterior_energy -3.822e+04, trn/neg_log_likelihood  8.676e+04, trn/neg_log_prior -1.250e+05, trn/lr  2.965e-07, val/acc 3.367e-01, val/nll 2.565e+00
[2023-02-03 17:19:21] [Epoch    36/  500] trn/posterior_energy -4.035e+04, trn/neg_log_likelihood  8.459e+04, trn/neg_log_prior -1.249e+05, trn/lr  2.963e-07, val/acc 3.308e-01, val/nll 2.600e+00
[2023-02-03 17:19:25] [Epoch    37/  500] trn/posterior_energy -4.146e+04, trn/neg_log_likelihood  8.345e+04, trn/neg_log_prior -1.249e+05, trn/lr  2.961e-07, val/acc 3.581e-01, val/nll 2.467e+00 (best_acc: 3.386e-01 -> 3.581e-01, test_acc: 3.639e-01, test_nll: 2.455e+00)
[2023-02-03 17:19:29] [Epoch    38/  500] trn/posterior_energy -4.317e+04, trn/neg_log_likelihood  8.169e+04, trn/neg_log_prior -1.249e+05, trn/lr  2.959e-07, val/acc 3.663e-01, val/nll 2.452e+00 (best_acc: 3.581e-01 -> 3.663e-01, test_acc: 3.719e-01, test_nll: 2.437e+00)
[2023-02-03 17:19:33] [Epoch    39/  500] trn/posterior_energy -4.476e+04, trn/neg_log_likelihood  8.006e+04, trn/neg_log_prior -1.248e+05, trn/lr  2.956e-07, val/acc 3.520e-01, val/nll 2.491e+00
[2023-02-03 17:19:37] [Epoch    40/  500] trn/posterior_energy -4.626e+04, trn/neg_log_likelihood  7.853e+04, trn/neg_log_prior -1.248e+05, trn/lr  2.954e-07, val/acc 3.601e-01, val/nll 2.458e+00
[2023-02-03 17:19:41] [Epoch    41/  500] trn/posterior_energy -4.736e+04, trn/neg_log_likelihood  7.739e+04, trn/neg_log_prior -1.247e+05, trn/lr  2.952e-07, val/acc 3.506e-01, val/nll 2.492e+00
[2023-02-03 17:19:44] [Epoch    42/  500] trn/posterior_energy -4.906e+04, trn/neg_log_likelihood  7.565e+04, trn/neg_log_prior -1.247e+05, trn/lr  2.949e-07, val/acc 3.648e-01, val/nll 2.472e+00
[2023-02-03 17:19:48] [Epoch    43/  500] trn/posterior_energy -5.059e+04, trn/neg_log_likelihood  7.408e+04, trn/neg_log_prior -1.247e+05, trn/lr  2.947e-07, val/acc 3.576e-01, val/nll 2.509e+00
[2023-02-03 17:19:52] [Epoch    44/  500] trn/posterior_energy -5.194e+04, trn/neg_log_likelihood  7.268e+04, trn/neg_log_prior -1.246e+05, trn/lr  2.944e-07, val/acc 3.683e-01, val/nll 2.464e+00 (best_acc: 3.663e-01 -> 3.683e-01, test_acc: 3.690e-01, test_nll: 2.469e+00)
[2023-02-03 17:19:56] [Epoch    45/  500] trn/posterior_energy -5.336e+04, trn/neg_log_likelihood  7.122e+04, trn/neg_log_prior -1.246e+05, trn/lr  2.942e-07, val/acc 3.572e-01, val/nll 2.489e+00
[2023-02-03 17:20:00] [Epoch    46/  500] trn/posterior_energy -5.492e+04, trn/neg_log_likelihood  6.961e+04, trn/neg_log_prior -1.245e+05, trn/lr  2.939e-07, val/acc 3.666e-01, val/nll 2.480e+00
[2023-02-03 17:20:04] [Epoch    47/  500] trn/posterior_energy -5.592e+04, trn/neg_log_likelihood  6.857e+04, trn/neg_log_prior -1.245e+05, trn/lr  2.936e-07, val/acc 3.688e-01, val/nll 2.453e+00 (best_acc: 3.683e-01 -> 3.688e-01, test_acc: 3.780e-01, test_nll: 2.447e+00)
[2023-02-03 17:20:08] [Epoch    48/  500] trn/posterior_energy -5.751e+04, trn/neg_log_likelihood  6.693e+04, trn/neg_log_prior -1.244e+05, trn/lr  2.934e-07, val/acc 3.719e-01, val/nll 2.513e+00 (best_acc: 3.688e-01 -> 3.719e-01, test_acc: 3.720e-01, test_nll: 2.505e+00)
[2023-02-03 17:20:12] [Epoch    49/  500] trn/posterior_energy -5.896e+04, trn/neg_log_likelihood  6.543e+04, trn/neg_log_prior -1.244e+05, trn/lr  2.931e-07, val/acc 3.555e-01, val/nll 2.602e+00
[2023-02-03 17:20:16] [Epoch    50/  500] trn/posterior_energy -6.038e+04, trn/neg_log_likelihood  6.397e+04, trn/neg_log_prior -1.243e+05, trn/lr  2.928e-07, val/acc 3.634e-01, val/nll 2.559e+00
[2023-02-03 17:20:19] [Epoch    51/  500] trn/posterior_energy -6.175e+04, trn/neg_log_likelihood  6.254e+04, trn/neg_log_prior -1.243e+05, trn/lr  2.925e-07, val/acc 3.632e-01, val/nll 2.537e+00
[2023-02-03 17:20:24] [Epoch    52/  500] trn/posterior_energy -6.287e+04, trn/neg_log_likelihood  6.138e+04, trn/neg_log_prior -1.242e+05, trn/lr  2.922e-07, val/acc 3.772e-01, val/nll 2.480e+00 (best_acc: 3.719e-01 -> 3.772e-01, test_acc: 3.852e-01, test_nll: 2.488e+00)
[2023-02-03 17:20:27] [Epoch    53/  500] trn/posterior_energy -6.454e+04, trn/neg_log_likelihood  5.965e+04, trn/neg_log_prior -1.242e+05, trn/lr  2.919e-07, val/acc 3.692e-01, val/nll 2.520e+00
[2023-02-03 17:20:31] [Epoch    54/  500] trn/posterior_energy -6.559e+04, trn/neg_log_likelihood  5.856e+04, trn/neg_log_prior -1.241e+05, trn/lr  2.916e-07, val/acc 3.662e-01, val/nll 2.552e+00
[2023-02-03 17:20:35] [Epoch    55/  500] trn/posterior_energy -6.665e+04, trn/neg_log_likelihood  5.745e+04, trn/neg_log_prior -1.241e+05, trn/lr  2.913e-07, val/acc 3.647e-01, val/nll 2.597e+00
