[2023-02-03 21:10:53] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:10:53] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.90_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:11:17] [Epoch     1/  500] trn/posterior_energy  5.811e+05, trn/neg_log_likelihood  1.845e+05, trn/neg_log_prior  3.966e+05, trn/lr  3.000e-06, val/acc 2.279e-02, val/nll 4.404e+00 (best_acc: 0.000e+00 -> 2.279e-02, test_acc: 2.170e-02, test_nll: 4.412e+00)
[2023-02-03 21:11:21] [Epoch     2/  500] trn/posterior_energy  5.427e+05, trn/neg_log_likelihood  1.799e+05, trn/neg_log_prior  3.629e+05, trn/lr  3.000e-06, val/acc 2.124e-02, val/nll 4.376e+00
[2023-02-03 21:11:25] [Epoch     3/  500] trn/posterior_energy  5.391e+05, trn/neg_log_likelihood  1.782e+05, trn/neg_log_prior  3.608e+05, trn/lr  3.000e-06, val/acc 2.821e-02, val/nll 4.340e+00 (best_acc: 2.279e-02 -> 2.821e-02, test_acc: 2.740e-02, test_nll: 4.337e+00)
[2023-02-03 21:11:29] [Epoch     4/  500] trn/posterior_energy  5.376e+05, trn/neg_log_likelihood  1.765e+05, trn/neg_log_prior  3.611e+05, trn/lr  3.000e-06, val/acc 2.865e-02, val/nll 4.331e+00 (best_acc: 2.821e-02 -> 2.865e-02, test_acc: 3.160e-02, test_nll: 4.328e+00)
[2023-02-03 21:11:34] [Epoch     5/  500] trn/posterior_energy  5.373e+05, trn/neg_log_likelihood  1.754e+05, trn/neg_log_prior  3.619e+05, trn/lr  2.999e-06, val/acc 2.987e-02, val/nll 4.280e+00 (best_acc: 2.865e-02 -> 2.987e-02, test_acc: 3.140e-02, test_nll: 4.271e+00)
[2023-02-03 21:11:38] [Epoch     6/  500] trn/posterior_energy  5.362e+05, trn/neg_log_likelihood  1.740e+05, trn/neg_log_prior  3.622e+05, trn/lr  2.999e-06, val/acc 3.518e-02, val/nll 4.251e+00 (best_acc: 2.987e-02 -> 3.518e-02, test_acc: 3.580e-02, test_nll: 4.247e+00)
[2023-02-03 21:11:43] [Epoch     7/  500] trn/posterior_energy  5.359e+05, trn/neg_log_likelihood  1.734e+05, trn/neg_log_prior  3.625e+05, trn/lr  2.999e-06, val/acc 3.617e-02, val/nll 4.250e+00 (best_acc: 3.518e-02 -> 3.617e-02, test_acc: 3.600e-02, test_nll: 4.242e+00)
[2023-02-03 21:11:47] [Epoch     8/  500] trn/posterior_energy  5.360e+05, trn/neg_log_likelihood  1.732e+05, trn/neg_log_prior  3.628e+05, trn/lr  2.998e-06, val/acc 3.728e-02, val/nll 4.227e+00 (best_acc: 3.617e-02 -> 3.728e-02, test_acc: 3.930e-02, test_nll: 4.218e+00)
[2023-02-03 21:11:51] [Epoch     9/  500] trn/posterior_energy  5.356e+05, trn/neg_log_likelihood  1.726e+05, trn/neg_log_prior  3.629e+05, trn/lr  2.998e-06, val/acc 3.805e-02, val/nll 4.259e+00 (best_acc: 3.728e-02 -> 3.805e-02, test_acc: 4.300e-02, test_nll: 4.241e+00)
[2023-02-03 21:11:55] [Epoch    10/  500] trn/posterior_energy  5.361e+05, trn/neg_log_likelihood  1.728e+05, trn/neg_log_prior  3.633e+05, trn/lr  2.997e-06, val/acc 3.363e-02, val/nll 4.294e+00
[2023-02-03 21:12:00] [Epoch    11/  500] trn/posterior_energy  5.359e+05, trn/neg_log_likelihood  1.726e+05, trn/neg_log_prior  3.633e+05, trn/lr  2.997e-06, val/acc 4.038e-02, val/nll 4.227e+00 (best_acc: 3.805e-02 -> 4.038e-02, test_acc: 4.230e-02, test_nll: 4.214e+00)
