[2023-02-03 21:30:25] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 21:30:25] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR100_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR100_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000030_mo-0.97_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 21:30:48] [Epoch     1/  500] trn/posterior_energy  4.632e+05, trn/neg_log_likelihood  1.844e+05, trn/neg_log_prior  2.788e+05, trn/lr  3.000e-06, val/acc 4.082e-02, val/nll 4.296e+00 (best_acc: 0.000e+00 -> 4.082e-02, test_acc: 4.070e-02, test_nll: 4.304e+00)
[2023-02-03 21:30:52] [Epoch     2/  500] trn/posterior_energy  4.415e+05, trn/neg_log_likelihood  1.756e+05, trn/neg_log_prior  2.659e+05, trn/lr  3.000e-06, val/acc 4.580e-02, val/nll 4.222e+00 (best_acc: 4.082e-02 -> 4.580e-02, test_acc: 4.730e-02, test_nll: 4.221e+00)
[2023-02-03 21:30:56] [Epoch     3/  500] trn/posterior_energy  4.404e+05, trn/neg_log_likelihood  1.733e+05, trn/neg_log_prior  2.671e+05, trn/lr  3.000e-06, val/acc 4.558e-02, val/nll 4.202e+00
[2023-02-03 21:31:00] [Epoch     4/  500] trn/posterior_energy  4.402e+05, trn/neg_log_likelihood  1.731e+05, trn/neg_log_prior  2.671e+05, trn/lr  3.000e-06, val/acc 4.137e-02, val/nll 4.247e+00
[2023-02-03 21:31:04] [Epoch     5/  500] trn/posterior_energy  4.410e+05, trn/neg_log_likelihood  1.735e+05, trn/neg_log_prior  2.676e+05, trn/lr  2.999e-06, val/acc 3.761e-02, val/nll 4.213e+00
[2023-02-03 21:31:09] [Epoch     6/  500] trn/posterior_energy  4.401e+05, trn/neg_log_likelihood  1.727e+05, trn/neg_log_prior  2.674e+05, trn/lr  2.999e-06, val/acc 5.221e-02, val/nll 4.186e+00 (best_acc: 4.580e-02 -> 5.221e-02, test_acc: 5.100e-02, test_nll: 4.189e+00)
[2023-02-03 21:31:12] [Epoch     7/  500] trn/posterior_energy  4.400e+05, trn/neg_log_likelihood  1.715e+05, trn/neg_log_prior  2.686e+05, trn/lr  2.999e-06, val/acc 4.192e-02, val/nll 4.233e+00
[2023-02-03 21:31:16] [Epoch     8/  500] trn/posterior_energy  4.419e+05, trn/neg_log_likelihood  1.739e+05, trn/neg_log_prior  2.679e+05, trn/lr  2.998e-06, val/acc 4.071e-02, val/nll 4.243e+00
[2023-02-03 21:31:20] [Epoch     9/  500] trn/posterior_energy  4.399e+05, trn/neg_log_likelihood  1.730e+05, trn/neg_log_prior  2.669e+05, trn/lr  2.998e-06, val/acc 5.719e-02, val/nll 4.184e+00 (best_acc: 5.221e-02 -> 5.719e-02, test_acc: 5.520e-02, test_nll: 4.177e+00)
[2023-02-03 21:31:24] [Epoch    10/  500] trn/posterior_energy  4.432e+05, trn/neg_log_likelihood  1.720e+05, trn/neg_log_prior  2.712e+05, trn/lr  2.997e-06, val/acc 4.469e-02, val/nll 4.197e+00
[2023-02-03 21:31:28] [Epoch    11/  500] trn/posterior_energy  4.392e+05, trn/neg_log_likelihood  1.716e+05, trn/neg_log_prior  2.676e+05, trn/lr  2.997e-06, val/acc 5.686e-02, val/nll 4.158e+00
