[2023-02-03 07:16:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 07:16:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 07:16:53] [Epoch     1/  500] trn/posterior_energy -4.031e+04, trn/neg_log_likelihood  8.299e+04, trn/neg_log_prior -1.233e+05, trn/lr  1.000e-06, val/acc 3.436e-01, val/nll 1.776e+00 (best_acc: 0.000e+00 -> 3.436e-01, test_acc: 3.438e-01, test_nll: 1.772e+00)
[2023-02-03 07:17:00] [Epoch     2/  500] trn/posterior_energy -5.809e+04, trn/neg_log_likelihood  6.511e+04, trn/neg_log_prior -1.232e+05, trn/lr  1.000e-06, val/acc 4.699e-01, val/nll 1.434e+00 (best_acc: 3.436e-01 -> 4.699e-01, test_acc: 4.702e-01, test_nll: 1.439e+00)
[2023-02-03 07:17:06] [Epoch     3/  500] trn/posterior_energy -6.623e+04, trn/neg_log_likelihood  5.686e+04, trn/neg_log_prior -1.231e+05, trn/lr  9.999e-07, val/acc 5.436e-01, val/nll 1.260e+00 (best_acc: 4.699e-01 -> 5.436e-01, test_acc: 5.381e-01, test_nll: 1.260e+00)
[2023-02-03 07:17:10] [Epoch     4/  500] trn/posterior_energy -7.317e+04, trn/neg_log_likelihood  4.979e+04, trn/neg_log_prior -1.230e+05, trn/lr  9.999e-07, val/acc 5.711e-01, val/nll 1.165e+00 (best_acc: 5.436e-01 -> 5.711e-01, test_acc: 5.624e-01, test_nll: 1.173e+00)
[2023-02-03 07:17:15] [Epoch     5/  500] trn/posterior_energy -7.876e+04, trn/neg_log_likelihood  4.405e+04, trn/neg_log_prior -1.228e+05, trn/lr  9.998e-07, val/acc 6.228e-01, val/nll 1.059e+00 (best_acc: 5.711e-01 -> 6.228e-01, test_acc: 6.160e-01, test_nll: 1.074e+00)
[2023-02-03 07:17:19] [Epoch     6/  500] trn/posterior_energy -8.337e+04, trn/neg_log_likelihood  3.929e+04, trn/neg_log_prior -1.227e+05, trn/lr  9.997e-07, val/acc 6.747e-01, val/nll 9.020e-01 (best_acc: 6.228e-01 -> 6.747e-01, test_acc: 6.761e-01, test_nll: 9.195e-01)
[2023-02-03 07:17:26] [Epoch     7/  500] trn/posterior_energy -8.684e+04, trn/neg_log_likelihood  3.567e+04, trn/neg_log_prior -1.225e+05, trn/lr  9.996e-07, val/acc 6.673e-01, val/nll 9.424e-01
[2023-02-03 07:17:30] [Epoch     8/  500] trn/posterior_energy -9.033e+04, trn/neg_log_likelihood  3.201e+04, trn/neg_log_prior -1.223e+05, trn/lr  9.994e-07, val/acc 7.003e-01, val/nll 8.586e-01 (best_acc: 6.747e-01 -> 7.003e-01, test_acc: 6.864e-01, test_nll: 8.855e-01)
[2023-02-03 07:17:35] [Epoch     9/  500] trn/posterior_energy -9.316e+04, trn/neg_log_likelihood  2.904e+04, trn/neg_log_prior -1.222e+05, trn/lr  9.993e-07, val/acc 7.462e-01, val/nll 7.250e-01 (best_acc: 7.003e-01 -> 7.462e-01, test_acc: 7.402e-01, test_nll: 7.516e-01)
[2023-02-03 07:17:38] [Epoch    10/  500] trn/posterior_energy -9.585e+04, trn/neg_log_likelihood  2.620e+04, trn/neg_log_prior -1.220e+05, trn/lr  9.991e-07, val/acc 7.451e-01, val/nll 7.360e-01
[2023-02-03 07:17:43] [Epoch    11/  500] trn/posterior_energy -9.794e+04, trn/neg_log_likelihood  2.396e+04, trn/neg_log_prior -1.219e+05, trn/lr  9.989e-07, val/acc 7.583e-01, val/nll 7.034e-01 (best_acc: 7.462e-01 -> 7.583e-01, test_acc: 7.499e-01, test_nll: 7.231e-01)
[2023-02-03 07:17:48] [Epoch    12/  500] trn/posterior_energy -9.933e+04, trn/neg_log_likelihood  2.241e+04, trn/neg_log_prior -1.217e+05, trn/lr  9.987e-07, val/acc 7.665e-01, val/nll 6.746e-01 (best_acc: 7.583e-01 -> 7.665e-01, test_acc: 7.573e-01, test_nll: 6.983e-01)
[2023-02-03 07:17:52] [Epoch    13/  500] trn/posterior_energy -1.013e+05, trn/neg_log_likelihood  2.031e+04, trn/neg_log_prior -1.216e+05, trn/lr  9.985e-07, val/acc 7.509e-01, val/nll 7.407e-01
[2023-02-03 07:17:56] [Epoch    14/  500] trn/posterior_energy -1.026e+05, trn/neg_log_likelihood  1.877e+04, trn/neg_log_prior -1.214e+05, trn/lr  9.982e-07, val/acc 7.541e-01, val/nll 7.639e-01
[2023-02-03 07:18:01] [Epoch    15/  500] trn/posterior_energy -1.042e+05, trn/neg_log_likelihood  1.707e+04, trn/neg_log_prior -1.212e+05, trn/lr  9.979e-07, val/acc 7.668e-01, val/nll 7.004e-01 (best_acc: 7.665e-01 -> 7.668e-01, test_acc: 7.627e-01, test_nll: 7.298e-01)
[2023-02-03 07:18:05] [Epoch    16/  500] trn/posterior_energy -1.057e+05, trn/neg_log_likelihood  1.537e+04, trn/neg_log_prior -1.211e+05, trn/lr  9.976e-07, val/acc 7.633e-01, val/nll 7.191e-01
[2023-02-03 07:18:10] [Epoch    17/  500] trn/posterior_energy -1.070e+05, trn/neg_log_likelihood  1.391e+04, trn/neg_log_prior -1.209e+05, trn/lr  9.973e-07, val/acc 7.688e-01, val/nll 7.356e-01 (best_acc: 7.668e-01 -> 7.688e-01, test_acc: 7.627e-01, test_nll: 7.652e-01)
[2023-02-03 07:18:14] [Epoch    18/  500] trn/posterior_energy -1.080e+05, trn/neg_log_likelihood  1.273e+04, trn/neg_log_prior -1.207e+05, trn/lr  9.970e-07, val/acc 7.791e-01, val/nll 7.037e-01 (best_acc: 7.688e-01 -> 7.791e-01, test_acc: 7.735e-01, test_nll: 7.350e-01)
[2023-02-03 07:18:19] [Epoch    19/  500] trn/posterior_energy -1.093e+05, trn/neg_log_likelihood  1.127e+04, trn/neg_log_prior -1.205e+05, trn/lr  9.966e-07, val/acc 7.873e-01, val/nll 6.803e-01 (best_acc: 7.791e-01 -> 7.873e-01, test_acc: 7.856e-01, test_nll: 7.007e-01)
[2023-02-03 07:18:23] [Epoch    20/  500] trn/posterior_energy -1.097e+05, trn/neg_log_likelihood  1.070e+04, trn/neg_log_prior -1.203e+05, trn/lr  9.963e-07, val/acc 7.665e-01, val/nll 7.718e-01
[2023-02-03 07:18:27] [Epoch    21/  500] trn/posterior_energy -1.111e+05, trn/neg_log_likelihood  9.098e+03, trn/neg_log_prior -1.202e+05, trn/lr  9.959e-07, val/acc 7.710e-01, val/nll 7.748e-01
[2023-02-03 07:18:31] [Epoch    22/  500] trn/posterior_energy -1.109e+05, trn/neg_log_likelihood  9.112e+03, trn/neg_log_prior -1.200e+05, trn/lr  9.954e-07, val/acc 7.726e-01, val/nll 8.111e-01
[2023-02-03 07:18:36] [Epoch    23/  500] trn/posterior_energy -1.120e+05, trn/neg_log_likelihood  7.831e+03, trn/neg_log_prior -1.198e+05, trn/lr  9.950e-07, val/acc 7.762e-01, val/nll 8.066e-01
[2023-02-03 07:18:40] [Epoch    24/  500] trn/posterior_energy -1.124e+05, trn/neg_log_likelihood  7.315e+03, trn/neg_log_prior -1.197e+05, trn/lr  9.946e-07, val/acc 7.633e-01, val/nll 8.442e-01
[2023-02-03 07:18:45] [Epoch    25/  500] trn/posterior_energy -1.134e+05, trn/neg_log_likelihood  6.155e+03, trn/neg_log_prior -1.195e+05, trn/lr  9.941e-07, val/acc 7.903e-01, val/nll 8.008e-01 (best_acc: 7.873e-01 -> 7.903e-01, test_acc: 7.860e-01, test_nll: 8.292e-01)
[2023-02-03 07:18:49] [Epoch    26/  500] trn/posterior_energy -1.139e+05, trn/neg_log_likelihood  5.458e+03, trn/neg_log_prior -1.194e+05, trn/lr  9.936e-07, val/acc 7.799e-01, val/nll 8.283e-01
[2023-02-03 07:18:53] [Epoch    27/  500] trn/posterior_energy -1.138e+05, trn/neg_log_likelihood  5.489e+03, trn/neg_log_prior -1.193e+05, trn/lr  9.931e-07, val/acc 7.499e-01, val/nll 9.840e-01
[2023-02-03 07:18:57] [Epoch    28/  500] trn/posterior_energy -1.146e+05, trn/neg_log_likelihood  4.580e+03, trn/neg_log_prior -1.192e+05, trn/lr  9.926e-07, val/acc 7.796e-01, val/nll 8.840e-01
[2023-02-03 07:19:01] [Epoch    29/  500] trn/posterior_energy -1.143e+05, trn/neg_log_likelihood  4.762e+03, trn/neg_log_prior -1.191e+05, trn/lr  9.920e-07, val/acc 7.826e-01, val/nll 8.644e-01
[2023-02-03 07:19:05] [Epoch    30/  500] trn/posterior_energy -1.147e+05, trn/neg_log_likelihood  4.252e+03, trn/neg_log_prior -1.190e+05, trn/lr  9.914e-07, val/acc 7.731e-01, val/nll 9.465e-01
[2023-02-03 07:19:10] [Epoch    31/  500] trn/posterior_energy -1.155e+05, trn/neg_log_likelihood  3.386e+03, trn/neg_log_prior -1.189e+05, trn/lr  9.908e-07, val/acc 7.779e-01, val/nll 9.835e-01
[2023-02-03 07:19:14] [Epoch    32/  500] trn/posterior_energy -1.150e+05, trn/neg_log_likelihood  3.886e+03, trn/neg_log_prior -1.189e+05, trn/lr  9.902e-07, val/acc 7.847e-01, val/nll 8.854e-01
[2023-02-03 07:19:19] [Epoch    33/  500] trn/posterior_energy -1.157e+05, trn/neg_log_likelihood  3.114e+03, trn/neg_log_prior -1.188e+05, trn/lr  9.896e-07, val/acc 7.834e-01, val/nll 9.365e-01
[2023-02-03 07:19:23] [Epoch    34/  500] trn/posterior_energy -1.160e+05, trn/neg_log_likelihood  2.721e+03, trn/neg_log_prior -1.188e+05, trn/lr  9.890e-07, val/acc 7.739e-01, val/nll 1.049e+00
[2023-02-03 07:19:27] [Epoch    35/  500] trn/posterior_energy -1.154e+05, trn/neg_log_likelihood  3.293e+03, trn/neg_log_prior -1.187e+05, trn/lr  9.883e-07, val/acc 7.838e-01, val/nll 9.625e-01
[2023-02-03 07:19:31] [Epoch    36/  500] trn/posterior_energy -1.156e+05, trn/neg_log_likelihood  3.059e+03, trn/neg_log_prior -1.187e+05, trn/lr  9.876e-07, val/acc 7.825e-01, val/nll 9.933e-01
[2023-02-03 07:19:34] [Epoch    37/  500] trn/posterior_energy -1.152e+05, trn/neg_log_likelihood  3.400e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.869e-07, val/acc 7.805e-01, val/nll 9.900e-01
[2023-02-03 07:19:39] [Epoch    38/  500] trn/posterior_energy -1.159e+05, trn/neg_log_likelihood  2.715e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.862e-07, val/acc 7.804e-01, val/nll 1.028e+00
[2023-02-03 07:19:45] [Epoch    39/  500] trn/posterior_energy -1.158e+05, trn/neg_log_likelihood  2.735e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.854e-07, val/acc 7.847e-01, val/nll 9.766e-01
[2023-02-03 07:19:49] [Epoch    40/  500] trn/posterior_energy -1.171e+05, trn/neg_log_likelihood  1.500e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.847e-07, val/acc 7.825e-01, val/nll 1.003e+00
[2023-02-03 07:19:53] [Epoch    41/  500] trn/posterior_energy -1.172e+05, trn/neg_log_likelihood  1.404e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.839e-07, val/acc 7.836e-01, val/nll 1.037e+00
[2023-02-03 07:19:57] [Epoch    42/  500] trn/posterior_energy -1.164e+05, trn/neg_log_likelihood  2.286e+03, trn/neg_log_prior -1.187e+05, trn/lr  9.831e-07, val/acc 7.851e-01, val/nll 9.614e-01
[2023-02-03 07:20:02] [Epoch    43/  500] trn/posterior_energy -1.166e+05, trn/neg_log_likelihood  2.080e+03, trn/neg_log_prior -1.187e+05, trn/lr  9.823e-07, val/acc 7.848e-01, val/nll 9.733e-01
[2023-02-03 07:20:06] [Epoch    44/  500] trn/posterior_energy -1.160e+05, trn/neg_log_likelihood  2.616e+03, trn/neg_log_prior -1.187e+05, trn/lr  9.814e-07, val/acc 7.637e-01, val/nll 1.093e+00
[2023-02-03 07:20:10] [Epoch    45/  500] trn/posterior_energy -1.157e+05, trn/neg_log_likelihood  2.906e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.806e-07, val/acc 7.781e-01, val/nll 9.913e-01
[2023-02-03 07:20:14] [Epoch    46/  500] trn/posterior_energy -1.167e+05, trn/neg_log_likelihood  1.883e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.797e-07, val/acc 7.752e-01, val/nll 1.051e+00
[2023-02-03 07:20:18] [Epoch    47/  500] trn/posterior_energy -1.170e+05, trn/neg_log_likelihood  1.587e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.788e-07, val/acc 7.764e-01, val/nll 1.095e+00
[2023-02-03 07:20:22] [Epoch    48/  500] trn/posterior_energy -1.162e+05, trn/neg_log_likelihood  2.402e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.779e-07, val/acc 7.565e-01, val/nll 1.109e+00
[2023-02-03 07:20:26] [Epoch    49/  500] trn/posterior_energy -1.154e+05, trn/neg_log_likelihood  3.159e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.770e-07, val/acc 7.617e-01, val/nll 1.106e+00
[2023-02-03 07:20:30] [Epoch    50/  500] trn/posterior_energy -1.166e+05, trn/neg_log_likelihood  1.949e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.760e-07, val/acc 7.853e-01, val/nll 9.812e-01
[2023-02-03 07:20:34] [Epoch    51/  500] trn/posterior_energy -1.173e+05, trn/neg_log_likelihood  1.289e+03, trn/neg_log_prior -1.186e+05, trn/lr  9.750e-07, val/acc 7.838e-01, val/nll 1.076e+00
