[2023-02-04 21:55:10] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 21:55:10] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 80.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000001_mo-0.70_pr-05/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 21:55:46] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  5.363e+05, trn/neg_log_likelihood  9.251e+04, trn/neg_log_prior  4.438e+05, trn/lr  9.997e-08, trn/temperature  1.000e+00, val/acc 2.091e-01, val/nll 2.142e+00
[2023-02-04 21:55:50] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  5.272e+05, trn/neg_log_likelihood  8.215e+04, trn/neg_log_prior  4.451e+05, trn/lr  9.977e-08, trn/temperature  1.000e+00, val/acc 2.967e-01, val/nll 1.879e+00
[2023-02-04 21:55:55] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  5.219e+05, trn/neg_log_likelihood  7.557e+04, trn/neg_log_prior  4.464e+05, trn/lr  9.938e-08, trn/temperature  1.000e+00, val/acc 3.588e-01, val/nll 1.769e+00
[2023-02-04 21:55:59] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  5.190e+05, trn/neg_log_likelihood  7.132e+04, trn/neg_log_prior  4.477e+05, trn/lr  9.879e-08, trn/temperature  1.000e+00, val/acc 3.877e-01, val/nll 1.666e+00
[2023-02-04 21:56:03] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  5.167e+05, trn/neg_log_likelihood  6.770e+04, trn/neg_log_prior  4.490e+05, trn/lr  9.801e-08, trn/temperature  1.000e+00, val/acc 4.017e-01, val/nll 1.617e+00
[2023-02-04 21:56:07] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  5.152e+05, trn/neg_log_likelihood  6.508e+04, trn/neg_log_prior  4.501e+05, trn/lr  9.704e-08, trn/temperature  1.000e+00, val/acc 4.322e-01, val/nll 1.548e+00
[2023-02-04 21:56:11] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  5.141e+05, trn/neg_log_likelihood  6.285e+04, trn/neg_log_prior  4.513e+05, trn/lr  9.588e-08, trn/temperature  1.000e+00, val/acc 4.435e-01, val/nll 1.516e+00
[2023-02-04 21:56:16] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  5.137e+05, trn/neg_log_likelihood  6.136e+04, trn/neg_log_prior  4.523e+05, trn/lr  9.454e-08, trn/temperature  1.000e+00, val/acc 4.566e-01, val/nll 1.475e+00
[2023-02-04 21:56:20] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  5.130e+05, trn/neg_log_likelihood  5.975e+04, trn/neg_log_prior  4.533e+05, trn/lr  9.303e-08, trn/temperature  1.000e+00, val/acc 4.627e-01, val/nll 1.469e+00
[2023-02-04 21:56:24] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  5.129e+05, trn/neg_log_likelihood  5.872e+04, trn/neg_log_prior  4.541e+05, trn/lr  9.135e-08, trn/temperature  1.000e+00, val/acc 4.879e-01, val/nll 1.399e+00
[2023-02-04 21:56:28] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  5.128e+05, trn/neg_log_likelihood  5.769e+04, trn/neg_log_prior  4.551e+05, trn/lr  8.950e-08, trn/temperature  1.000e+00, val/acc 4.876e-01, val/nll 1.391e+00
[2023-02-04 21:56:32] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  5.130e+05, trn/neg_log_likelihood  5.693e+04, trn/neg_log_prior  4.561e+05, trn/lr  8.750e-08, trn/temperature  1.000e+00, val/acc 4.903e-01, val/nll 1.385e+00
[2023-02-04 21:56:37] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  5.127e+05, trn/neg_log_likelihood  5.572e+04, trn/neg_log_prior  4.570e+05, trn/lr  8.535e-08, trn/temperature  1.000e+00, val/acc 5.015e-01, val/nll 1.352e+00
[2023-02-04 21:56:41] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  5.128e+05, trn/neg_log_likelihood  5.493e+04, trn/neg_log_prior  4.579e+05, trn/lr  8.306e-08, trn/temperature  1.000e+00, val/acc 5.114e-01, val/nll 1.344e+00
[2023-02-04 21:56:45] [Cycle   1/ 30][Epoch  15/ 50] trn/posterior_energy  5.125e+05, trn/neg_log_likelihood  5.381e+04, trn/neg_log_prior  4.587e+05, trn/lr  8.064e-08, trn/temperature  1.000e+00, val/acc 5.127e-01, val/nll 1.322e+00
[2023-02-04 21:56:49] [Cycle   1/ 30][Epoch  16/ 50] trn/posterior_energy  5.122e+05, trn/neg_log_likelihood  5.274e+04, trn/neg_log_prior  4.594e+05, trn/lr  7.810e-08, trn/temperature  1.000e+00, val/acc 5.269e-01, val/nll 1.281e+00
[2023-02-04 21:56:54] [Cycle   1/ 30][Epoch  17/ 50] trn/posterior_energy  5.122e+05, trn/neg_log_likelihood  5.206e+04, trn/neg_log_prior  4.602e+05, trn/lr  7.545e-08, trn/temperature  1.000e+00, val/acc 5.267e-01, val/nll 1.286e+00
[2023-02-04 21:56:58] [Cycle   1/ 30][Epoch  18/ 50] trn/posterior_energy  5.124e+05, trn/neg_log_likelihood  5.153e+04, trn/neg_log_prior  4.609e+05, trn/lr  7.270e-08, trn/temperature  1.000e+00, val/acc 5.054e-01, val/nll 1.330e+00
[2023-02-04 21:57:02] [Cycle   1/ 30][Epoch  19/ 50] trn/posterior_energy  5.122e+05, trn/neg_log_likelihood  5.069e+04, trn/neg_log_prior  4.615e+05, trn/lr  6.986e-08, trn/temperature  1.000e+00, val/acc 5.446e-01, val/nll 1.231e+00
[2023-02-04 21:57:06] [Cycle   1/ 30][Epoch  20/ 50] trn/posterior_energy  5.122e+05, trn/neg_log_likelihood  5.006e+04, trn/neg_log_prior  4.621e+05, trn/lr  6.694e-08, trn/temperature  1.000e+00, val/acc 5.567e-01, val/nll 1.221e+00
[2023-02-04 21:57:10] [Cycle   1/ 30][Epoch  21/ 50] trn/posterior_energy  5.122e+05, trn/neg_log_likelihood  4.948e+04, trn/neg_log_prior  4.627e+05, trn/lr  6.395e-08, trn/temperature  1.000e+00, val/acc 5.425e-01, val/nll 1.232e+00
[2023-02-04 21:57:15] [Cycle   1/ 30][Epoch  22/ 50] trn/posterior_energy  5.121e+05, trn/neg_log_likelihood  4.883e+04, trn/neg_log_prior  4.632e+05, trn/lr  6.091e-08, trn/temperature  1.000e+00, val/acc 5.615e-01, val/nll 1.215e+00
