[2023-02-05 06:13:39] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-05 06:13:39] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 50
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0050_lr-0.0000003_mo-0.99_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 06:14:13] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy -2.858e+04, trn/neg_log_likelihood  9.158e+04, trn/neg_log_prior -1.202e+05, trn/lr  2.999e-07, trn/temperature  1.000e+00, val/acc 2.643e-01, val/nll 1.892e+00
[2023-02-05 06:14:17] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy -3.670e+04, trn/neg_log_likelihood  7.382e+04, trn/neg_log_prior -1.105e+05, trn/lr  2.993e-07, trn/temperature  1.000e+00, val/acc 3.770e-01, val/nll 1.709e+00
[2023-02-05 06:14:22] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy -3.420e+04, trn/neg_log_likelihood  6.680e+04, trn/neg_log_prior -1.010e+05, trn/lr  2.981e-07, trn/temperature  1.000e+00, val/acc 3.938e-01, val/nll 1.631e+00
[2023-02-05 06:14:26] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy -3.058e+04, trn/neg_log_likelihood  6.163e+04, trn/neg_log_prior -9.221e+04, trn/lr  2.964e-07, trn/temperature  1.000e+00, val/acc 4.655e-01, val/nll 1.422e+00
[2023-02-05 06:14:30] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy -2.771e+04, trn/neg_log_likelihood  5.641e+04, trn/neg_log_prior -8.413e+04, trn/lr  2.940e-07, trn/temperature  1.000e+00, val/acc 5.030e-01, val/nll 1.349e+00
[2023-02-05 06:14:34] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy -2.253e+04, trn/neg_log_likelihood  5.423e+04, trn/neg_log_prior -7.676e+04, trn/lr  2.911e-07, trn/temperature  1.000e+00, val/acc 5.346e-01, val/nll 1.276e+00
[2023-02-05 06:14:38] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy -1.889e+04, trn/neg_log_likelihood  5.097e+04, trn/neg_log_prior -6.986e+04, trn/lr  2.876e-07, trn/temperature  1.000e+00, val/acc 5.581e-01, val/nll 1.200e+00
[2023-02-05 06:14:42] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy -1.667e+04, trn/neg_log_likelihood  4.708e+04, trn/neg_log_prior -6.375e+04, trn/lr  2.836e-07, trn/temperature  1.000e+00, val/acc 5.903e-01, val/nll 1.130e+00
[2023-02-05 06:14:46] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy -1.260e+04, trn/neg_log_likelihood  4.562e+04, trn/neg_log_prior -5.822e+04, trn/lr  2.791e-07, trn/temperature  1.000e+00, val/acc 5.983e-01, val/nll 1.109e+00
[2023-02-05 06:14:50] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy -9.789e+03, trn/neg_log_likelihood  4.338e+04, trn/neg_log_prior -5.317e+04, trn/lr  2.740e-07, trn/temperature  1.000e+00, val/acc 5.961e-01, val/nll 1.120e+00
[2023-02-05 06:14:54] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy -5.536e+03, trn/neg_log_likelihood  4.297e+04, trn/neg_log_prior -4.851e+04, trn/lr  2.685e-07, trn/temperature  1.000e+00, val/acc 6.049e-01, val/nll 1.087e+00
