[2023-02-04 15:20:11] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 15:20:11] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000001_mo-0.90_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 15:20:55] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  6.356e+04, trn/neg_log_likelihood  8.862e+04, trn/neg_log_prior -2.506e+04, trn/lr  9.999e-08, trn/temperature  1.000e+00, val/acc 2.912e-01, val/nll 1.920e+00
[2023-02-04 15:21:01] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  4.997e+04, trn/neg_log_likelihood  7.433e+04, trn/neg_log_prior -2.436e+04, trn/lr  9.994e-08, trn/temperature  1.000e+00, val/acc 3.892e-01, val/nll 1.684e+00
[2023-02-04 15:21:06] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  4.359e+04, trn/neg_log_likelihood  6.725e+04, trn/neg_log_prior -2.366e+04, trn/lr  9.984e-08, trn/temperature  1.000e+00, val/acc 4.111e-01, val/nll 1.568e+00
[2023-02-04 15:21:11] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  3.953e+04, trn/neg_log_likelihood  6.249e+04, trn/neg_log_prior -2.296e+04, trn/lr  9.970e-08, trn/temperature  1.000e+00, val/acc 4.399e-01, val/nll 1.499e+00
[2023-02-04 15:21:16] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  3.695e+04, trn/neg_log_likelihood  5.921e+04, trn/neg_log_prior -2.226e+04, trn/lr  9.950e-08, trn/temperature  1.000e+00, val/acc 4.510e-01, val/nll 1.506e+00
[2023-02-04 15:21:21] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  3.555e+04, trn/neg_log_likelihood  5.713e+04, trn/neg_log_prior -2.159e+04, trn/lr  9.925e-08, trn/temperature  1.000e+00, val/acc 4.855e-01, val/nll 1.390e+00
[2023-02-04 15:21:26] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  3.426e+04, trn/neg_log_likelihood  5.515e+04, trn/neg_log_prior -2.090e+04, trn/lr  9.896e-08, trn/temperature  1.000e+00, val/acc 5.046e-01, val/nll 1.346e+00
[2023-02-04 15:21:31] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  3.269e+04, trn/neg_log_likelihood  5.293e+04, trn/neg_log_prior -2.024e+04, trn/lr  9.862e-08, trn/temperature  1.000e+00, val/acc 5.267e-01, val/nll 1.268e+00
[2023-02-04 15:21:37] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  3.181e+04, trn/neg_log_likelihood  5.139e+04, trn/neg_log_prior -1.958e+04, trn/lr  9.823e-08, trn/temperature  1.000e+00, val/acc 5.054e-01, val/nll 1.367e+00
[2023-02-04 15:21:42] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  3.164e+04, trn/neg_log_likelihood  5.059e+04, trn/neg_log_prior -1.895e+04, trn/lr  9.779e-08, trn/temperature  1.000e+00, val/acc 5.487e-01, val/nll 1.241e+00
[2023-02-04 15:21:47] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  3.068e+04, trn/neg_log_likelihood  4.898e+04, trn/neg_log_prior -1.830e+04, trn/lr  9.730e-08, trn/temperature  1.000e+00, val/acc 5.461e-01, val/nll 1.231e+00
[2023-02-04 15:21:52] [Cycle   1/ 30][Epoch  12/100] trn/posterior_energy  3.035e+04, trn/neg_log_likelihood  4.799e+04, trn/neg_log_prior -1.764e+04, trn/lr  9.677e-08, trn/temperature  1.000e+00, val/acc 5.381e-01, val/nll 1.268e+00
[2023-02-04 15:21:57] [Cycle   1/ 30][Epoch  13/100] trn/posterior_energy  2.992e+04, trn/neg_log_likelihood  4.692e+04, trn/neg_log_prior -1.700e+04, trn/lr  9.619e-08, trn/temperature  1.000e+00, val/acc 5.760e-01, val/nll 1.150e+00
[2023-02-04 15:22:02] [Cycle   1/ 30][Epoch  14/100] trn/posterior_energy  2.971e+04, trn/neg_log_likelihood  4.607e+04, trn/neg_log_prior -1.636e+04, trn/lr  9.557e-08, trn/temperature  1.000e+00, val/acc 5.596e-01, val/nll 1.213e+00
[2023-02-04 15:22:07] [Cycle   1/ 30][Epoch  15/100] trn/posterior_energy  2.910e+04, trn/neg_log_likelihood  4.484e+04, trn/neg_log_prior -1.573e+04, trn/lr  9.490e-08, trn/temperature  1.000e+00, val/acc 5.955e-01, val/nll 1.102e+00
[2023-02-04 15:22:12] [Cycle   1/ 30][Epoch  16/100] trn/posterior_energy  2.889e+04, trn/neg_log_likelihood  4.401e+04, trn/neg_log_prior -1.512e+04, trn/lr  9.419e-08, trn/temperature  1.000e+00, val/acc 5.802e-01, val/nll 1.160e+00
[2023-02-04 15:22:17] [Cycle   1/ 30][Epoch  17/100] trn/posterior_energy  2.855e+04, trn/neg_log_likelihood  4.306e+04, trn/neg_log_prior -1.451e+04, trn/lr  9.343e-08, trn/temperature  1.000e+00, val/acc 6.064e-01, val/nll 1.074e+00
[2023-02-04 15:22:22] [Cycle   1/ 30][Epoch  18/100] trn/posterior_energy  2.925e+04, trn/neg_log_likelihood  4.316e+04, trn/neg_log_prior -1.391e+04, trn/lr  9.263e-08, trn/temperature  1.000e+00, val/acc 5.902e-01, val/nll 1.149e+00
[2023-02-04 15:22:27] [Cycle   1/ 30][Epoch  19/100] trn/posterior_energy  2.824e+04, trn/neg_log_likelihood  4.155e+04, trn/neg_log_prior -1.331e+04, trn/lr  9.179e-08, trn/temperature  1.000e+00, val/acc 6.218e-01, val/nll 1.036e+00
[2023-02-04 15:22:33] [Cycle   1/ 30][Epoch  20/100] trn/posterior_energy  2.821e+04, trn/neg_log_likelihood  4.092e+04, trn/neg_log_prior -1.272e+04, trn/lr  9.091e-08, trn/temperature  1.000e+00, val/acc 6.145e-01, val/nll 1.083e+00
[2023-02-04 15:22:38] [Cycle   1/ 30][Epoch  21/100] trn/posterior_energy  2.839e+04, trn/neg_log_likelihood  4.053e+04, trn/neg_log_prior -1.214e+04, trn/lr  8.998e-08, trn/temperature  1.000e+00, val/acc 6.270e-01, val/nll 1.030e+00
[2023-02-04 15:22:43] [Cycle   1/ 30][Epoch  22/100] trn/posterior_energy  2.839e+04, trn/neg_log_likelihood  3.996e+04, trn/neg_log_prior -1.157e+04, trn/lr  8.902e-08, trn/temperature  1.000e+00, val/acc 6.104e-01, val/nll 1.069e+00
[2023-02-04 15:22:48] [Cycle   1/ 30][Epoch  23/100] trn/posterior_energy  2.827e+04, trn/neg_log_likelihood  3.929e+04, trn/neg_log_prior -1.102e+04, trn/lr  8.802e-08, trn/temperature  1.000e+00, val/acc 6.230e-01, val/nll 1.025e+00
[2023-02-04 15:22:53] [Cycle   1/ 30][Epoch  24/100] trn/posterior_energy  2.845e+04, trn/neg_log_likelihood  3.890e+04, trn/neg_log_prior -1.045e+04, trn/lr  8.698e-08, trn/temperature  1.000e+00, val/acc 6.322e-01, val/nll 1.018e+00
[2023-02-04 15:22:58] [Cycle   1/ 30][Epoch  25/100] trn/posterior_energy  2.872e+04, trn/neg_log_likelihood  3.863e+04, trn/neg_log_prior -9.910e+03, trn/lr  8.591e-08, trn/temperature  1.000e+00, val/acc 6.543e-01, val/nll 9.715e-01
[2023-02-04 15:23:03] [Cycle   1/ 30][Epoch  26/100] trn/posterior_energy  2.830e+04, trn/neg_log_likelihood  3.769e+04, trn/neg_log_prior -9.387e+03, trn/lr  8.480e-08, trn/temperature  1.000e+00, val/acc 6.551e-01, val/nll 9.775e-01
[2023-02-04 15:23:08] [Cycle   1/ 30][Epoch  27/100] trn/posterior_energy  2.841e+04, trn/neg_log_likelihood  3.729e+04, trn/neg_log_prior -8.882e+03, trn/lr  8.365e-08, trn/temperature  1.000e+00, val/acc 6.541e-01, val/nll 9.567e-01
[2023-02-04 15:23:13] [Cycle   1/ 30][Epoch  28/100] trn/posterior_energy  2.845e+04, trn/neg_log_likelihood  3.682e+04, trn/neg_log_prior -8.374e+03, trn/lr  8.247e-08, trn/temperature  1.000e+00, val/acc 6.717e-01, val/nll 9.211e-01
[2023-02-04 15:23:18] [Cycle   1/ 30][Epoch  29/100] trn/posterior_energy  2.871e+04, trn/neg_log_likelihood  3.660e+04, trn/neg_log_prior -7.884e+03, trn/lr  8.126e-08, trn/temperature  1.000e+00, val/acc 6.584e-01, val/nll 9.584e-01
[2023-02-04 15:23:23] [Cycle   1/ 30][Epoch  30/100] trn/posterior_energy  2.845e+04, trn/neg_log_likelihood  3.585e+04, trn/neg_log_prior -7.399e+03, trn/lr  8.002e-08, trn/temperature  1.000e+00, val/acc 6.643e-01, val/nll 9.420e-01
[2023-02-04 15:23:28] [Cycle   1/ 30][Epoch  31/100] trn/posterior_energy  2.863e+04, trn/neg_log_likelihood  3.557e+04, trn/neg_log_prior -6.943e+03, trn/lr  7.875e-08, trn/temperature  1.000e+00, val/acc 6.696e-01, val/nll 9.214e-01
[2023-02-04 15:23:33] [Cycle   1/ 30][Epoch  32/100] trn/posterior_energy  2.859e+04, trn/neg_log_likelihood  3.506e+04, trn/neg_log_prior -6.467e+03, trn/lr  7.745e-08, trn/temperature  1.000e+00, val/acc 6.646e-01, val/nll 9.494e-01
[2023-02-04 15:23:38] [Cycle   1/ 30][Epoch  33/100] trn/posterior_energy  2.870e+04, trn/neg_log_likelihood  3.471e+04, trn/neg_log_prior -6.007e+03, trn/lr  7.613e-08, trn/temperature  1.000e+00, val/acc 6.836e-01, val/nll 8.921e-01
[2023-02-04 15:23:43] [Cycle   1/ 30][Epoch  34/100] trn/posterior_energy  2.873e+04, trn/neg_log_likelihood  3.427e+04, trn/neg_log_prior -5.547e+03, trn/lr  7.477e-08, trn/temperature  1.000e+00, val/acc 6.821e-01, val/nll 9.017e-01
[2023-02-04 15:23:49] [Cycle   1/ 30][Epoch  35/100] trn/posterior_energy  2.896e+04, trn/neg_log_likelihood  3.406e+04, trn/neg_log_prior -5.099e+03, trn/lr  7.340e-08, trn/temperature  1.000e+00, val/acc 6.758e-01, val/nll 9.131e-01
[2023-02-04 15:23:54] [Cycle   1/ 30][Epoch  36/100] trn/posterior_energy  2.875e+04, trn/neg_log_likelihood  3.341e+04, trn/neg_log_prior -4.666e+03, trn/lr  7.200e-08, trn/temperature  1.000e+00, val/acc 6.810e-01, val/nll 8.928e-01
[2023-02-04 15:23:59] [Cycle   1/ 30][Epoch  37/100] trn/posterior_energy  2.922e+04, trn/neg_log_likelihood  3.346e+04, trn/neg_log_prior -4.232e+03, trn/lr  7.058e-08, trn/temperature  1.000e+00, val/acc 6.580e-01, val/nll 9.573e-01
[2023-02-04 15:24:04] [Cycle   1/ 30][Epoch  38/100] trn/posterior_energy  2.927e+04, trn/neg_log_likelihood  3.306e+04, trn/neg_log_prior -3.798e+03, trn/lr  6.913e-08, trn/temperature  1.000e+00, val/acc 6.793e-01, val/nll 8.909e-01
[2023-02-04 15:24:09] [Cycle   1/ 30][Epoch  39/100] trn/posterior_energy  2.944e+04, trn/neg_log_likelihood  3.284e+04, trn/neg_log_prior -3.396e+03, trn/lr  6.767e-08, trn/temperature  1.000e+00, val/acc 6.882e-01, val/nll 8.768e-01
[2023-02-04 15:24:14] [Cycle   1/ 30][Epoch  40/100] trn/posterior_energy  2.937e+04, trn/neg_log_likelihood  3.237e+04, trn/neg_log_prior -3.003e+03, trn/lr  6.620e-08, trn/temperature  1.000e+00, val/acc 6.732e-01, val/nll 9.225e-01
[2023-02-04 15:24:19] [Cycle   1/ 30][Epoch  41/100] trn/posterior_energy  2.946e+04, trn/neg_log_likelihood  3.209e+04, trn/neg_log_prior -2.632e+03, trn/lr  6.470e-08, trn/temperature  1.000e+00, val/acc 6.947e-01, val/nll 8.526e-01
