[2023-02-06 15:40:30] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-06 15:40:30] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 0
- args.num_epochs_noisy  : 100
- args.prior_precision   : 40.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0000-0100_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 15:41:10] [Cycle   1/ 30][Epoch   1/100] trn/posterior_energy  4.992e+05, trn/neg_log_likelihood  9.786e+04, trn/neg_log_prior  4.014e+05, trn/lr  3.000e-06, trn/temperature  1.000e+00, val/acc 1.775e-01, val/nll 2.275e+00
[2023-02-06 15:41:15] [Cycle   1/ 30][Epoch   2/100] trn/posterior_energy  4.904e+05, trn/neg_log_likelihood  8.657e+04, trn/neg_log_prior  4.039e+05, trn/lr  2.998e-06, trn/temperature  1.000e+00, val/acc 2.158e-01, val/nll 2.046e+00
[2023-02-06 15:41:20] [Cycle   1/ 30][Epoch   3/100] trn/posterior_energy  4.886e+05, trn/neg_log_likelihood  8.701e+04, trn/neg_log_prior  4.016e+05, trn/lr  2.995e-06, trn/temperature  1.000e+00, val/acc 1.926e-01, val/nll 2.082e+00
[2023-02-06 15:41:25] [Cycle   1/ 30][Epoch   4/100] trn/posterior_energy  4.863e+05, trn/neg_log_likelihood  8.506e+04, trn/neg_log_prior  4.013e+05, trn/lr  2.991e-06, trn/temperature  1.000e+00, val/acc 2.051e-01, val/nll 2.078e+00
[2023-02-06 15:41:31] [Cycle   1/ 30][Epoch   5/100] trn/posterior_energy  4.861e+05, trn/neg_log_likelihood  8.478e+04, trn/neg_log_prior  4.013e+05, trn/lr  2.985e-06, trn/temperature  1.000e+00, val/acc 1.813e-01, val/nll 2.104e+00
[2023-02-06 15:41:36] [Cycle   1/ 30][Epoch   6/100] trn/posterior_energy  4.881e+05, trn/neg_log_likelihood  8.535e+04, trn/neg_log_prior  4.028e+05, trn/lr  2.978e-06, trn/temperature  1.000e+00, val/acc 2.021e-01, val/nll 2.062e+00
[2023-02-06 15:41:41] [Cycle   1/ 30][Epoch   7/100] trn/posterior_energy  4.902e+05, trn/neg_log_likelihood  8.707e+04, trn/neg_log_prior  4.031e+05, trn/lr  2.969e-06, trn/temperature  1.000e+00, val/acc 2.340e-01, val/nll 2.102e+00
[2023-02-06 15:41:46] [Cycle   1/ 30][Epoch   8/100] trn/posterior_energy  4.870e+05, trn/neg_log_likelihood  8.562e+04, trn/neg_log_prior  4.014e+05, trn/lr  2.959e-06, trn/temperature  1.000e+00, val/acc 1.792e-01, val/nll 2.132e+00
[2023-02-06 15:41:51] [Cycle   1/ 30][Epoch   9/100] trn/posterior_energy  4.894e+05, trn/neg_log_likelihood  8.748e+04, trn/neg_log_prior  4.019e+05, trn/lr  2.947e-06, trn/temperature  1.000e+00, val/acc 2.111e-01, val/nll 2.092e+00
[2023-02-06 15:41:57] [Cycle   1/ 30][Epoch  10/100] trn/posterior_energy  4.868e+05, trn/neg_log_likelihood  8.497e+04, trn/neg_log_prior  4.018e+05, trn/lr  2.934e-06, trn/temperature  1.000e+00, val/acc 2.291e-01, val/nll 2.042e+00
[2023-02-06 15:42:02] [Cycle   1/ 30][Epoch  11/100] trn/posterior_energy  4.848e+05, trn/neg_log_likelihood  8.435e+04, trn/neg_log_prior  4.005e+05, trn/lr  2.919e-06, trn/temperature  1.000e+00, val/acc 2.194e-01, val/nll 2.056e+00
