[2023-02-04 11:50:01] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-04 11:50:01] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 45
- args.num_epochs_noisy  : 5
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0045-0005_lr-0.0000010_mo-0.97_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 11:50:36] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  6.329e+04, trn/neg_log_likelihood  8.852e+04, trn/neg_log_prior -2.523e+04, trn/lr  9.997e-07, trn/temperature  0.000e+00, val/acc 2.722e-01, val/nll 1.892e+00
[2023-02-04 11:50:40] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  4.437e+04, trn/neg_log_likelihood  6.970e+04, trn/neg_log_prior -2.533e+04, trn/lr  9.977e-07, trn/temperature  0.000e+00, val/acc 4.275e-01, val/nll 1.542e+00
[2023-02-04 11:50:45] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  3.662e+04, trn/neg_log_likelihood  6.169e+04, trn/neg_log_prior -2.507e+04, trn/lr  9.938e-07, trn/temperature  0.000e+00, val/acc 4.592e-01, val/nll 1.497e+00
[2023-02-04 11:50:49] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  2.884e+04, trn/neg_log_likelihood  5.356e+04, trn/neg_log_prior -2.472e+04, trn/lr  9.879e-07, trn/temperature  0.000e+00, val/acc 5.396e-01, val/nll 1.257e+00
[2023-02-04 11:50:53] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  2.322e+04, trn/neg_log_likelihood  4.751e+04, trn/neg_log_prior -2.430e+04, trn/lr  9.801e-07, trn/temperature  0.000e+00, val/acc 5.886e-01, val/nll 1.111e+00
[2023-02-04 11:50:57] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  1.904e+04, trn/neg_log_likelihood  4.279e+04, trn/neg_log_prior -2.375e+04, trn/lr  9.704e-07, trn/temperature  0.000e+00, val/acc 6.468e-01, val/nll 9.724e-01
[2023-02-04 11:51:02] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  1.565e+04, trn/neg_log_likelihood  3.887e+04, trn/neg_log_prior -2.322e+04, trn/lr  9.588e-07, trn/temperature  0.000e+00, val/acc 6.546e-01, val/nll 9.763e-01
[2023-02-04 11:51:06] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  1.297e+04, trn/neg_log_likelihood  3.566e+04, trn/neg_log_prior -2.269e+04, trn/lr  9.454e-07, trn/temperature  0.000e+00, val/acc 6.940e-01, val/nll 8.641e-01
[2023-02-04 11:51:10] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  9.481e+03, trn/neg_log_likelihood  3.175e+04, trn/neg_log_prior -2.226e+04, trn/lr  9.303e-07, trn/temperature  0.000e+00, val/acc 6.833e-01, val/nll 8.758e-01
[2023-02-04 11:51:14] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  7.178e+03, trn/neg_log_likelihood  2.909e+04, trn/neg_log_prior -2.191e+04, trn/lr  9.135e-07, trn/temperature  0.000e+00, val/acc 7.298e-01, val/nll 7.607e-01
[2023-02-04 11:51:19] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  5.882e+03, trn/neg_log_likelihood  2.744e+04, trn/neg_log_prior -2.156e+04, trn/lr  8.950e-07, trn/temperature  0.000e+00, val/acc 7.397e-01, val/nll 7.412e-01
