[2023-02-08 01:08:37] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 01:08:37] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 180
- args.num_epochs_noisy  : 20
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0180-0020_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 01:09:14] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy -4.099e+04, trn/neg_log_likelihood  8.232e+04, trn/neg_log_prior -1.233e+05, trn/lr  1.000e-06, trn/temperature  0.000e+00, val/acc 3.678e-01, val/nll 1.687e+00
[2023-02-08 01:09:19] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy -5.838e+04, trn/neg_log_likelihood  6.482e+04, trn/neg_log_prior -1.232e+05, trn/lr  9.999e-07, trn/temperature  0.000e+00, val/acc 4.735e-01, val/nll 1.437e+00
[2023-02-08 01:09:24] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy -6.583e+04, trn/neg_log_likelihood  5.726e+04, trn/neg_log_prior -1.231e+05, trn/lr  9.996e-07, trn/temperature  0.000e+00, val/acc 5.116e-01, val/nll 1.306e+00
[2023-02-08 01:09:28] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy -7.235e+04, trn/neg_log_likelihood  5.062e+04, trn/neg_log_prior -1.230e+05, trn/lr  9.992e-07, trn/temperature  0.000e+00, val/acc 5.792e-01, val/nll 1.144e+00
[2023-02-08 01:09:32] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy -7.788e+04, trn/neg_log_likelihood  4.495e+04, trn/neg_log_prior -1.228e+05, trn/lr  9.987e-07, trn/temperature  0.000e+00, val/acc 6.219e-01, val/nll 1.054e+00
[2023-02-08 01:09:37] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy -8.273e+04, trn/neg_log_likelihood  3.994e+04, trn/neg_log_prior -1.227e+05, trn/lr  9.981e-07, trn/temperature  0.000e+00, val/acc 6.613e-01, val/nll 9.448e-01
[2023-02-08 01:09:41] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy -8.675e+04, trn/neg_log_likelihood  3.575e+04, trn/neg_log_prior -1.225e+05, trn/lr  9.974e-07, trn/temperature  0.000e+00, val/acc 6.393e-01, val/nll 1.017e+00
[2023-02-08 01:09:45] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy -9.022e+04, trn/neg_log_likelihood  3.212e+04, trn/neg_log_prior -1.223e+05, trn/lr  9.965e-07, trn/temperature  0.000e+00, val/acc 7.002e-01, val/nll 8.439e-01
[2023-02-08 01:09:50] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy -9.341e+04, trn/neg_log_likelihood  2.879e+04, trn/neg_log_prior -1.222e+05, trn/lr  9.955e-07, trn/temperature  0.000e+00, val/acc 7.267e-01, val/nll 7.769e-01
[2023-02-08 01:09:54] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy -9.586e+04, trn/neg_log_likelihood  2.618e+04, trn/neg_log_prior -1.220e+05, trn/lr  9.944e-07, trn/temperature  0.000e+00, val/acc 7.573e-01, val/nll 7.045e-01
[2023-02-08 01:09:59] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy -9.768e+04, trn/neg_log_likelihood  2.420e+04, trn/neg_log_prior -1.219e+05, trn/lr  9.932e-07, trn/temperature  0.000e+00, val/acc 7.483e-01, val/nll 7.278e-01
[2023-02-08 01:10:03] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy -9.965e+04, trn/neg_log_likelihood  2.207e+04, trn/neg_log_prior -1.217e+05, trn/lr  9.919e-07, trn/temperature  0.000e+00, val/acc 7.455e-01, val/nll 7.195e-01
[2023-02-08 01:10:08] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy -1.013e+05, trn/neg_log_likelihood  2.023e+04, trn/neg_log_prior -1.216e+05, trn/lr  9.904e-07, trn/temperature  0.000e+00, val/acc 7.694e-01, val/nll 6.971e-01
[2023-02-08 01:10:12] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy -1.030e+05, trn/neg_log_likelihood  1.842e+04, trn/neg_log_prior -1.214e+05, trn/lr  9.888e-07, trn/temperature  0.000e+00, val/acc 7.596e-01, val/nll 7.205e-01
[2023-02-08 01:10:16] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy -1.042e+05, trn/neg_log_likelihood  1.698e+04, trn/neg_log_prior -1.212e+05, trn/lr  9.871e-07, trn/temperature  0.000e+00, val/acc 7.610e-01, val/nll 7.235e-01
[2023-02-08 01:10:21] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy -1.059e+05, trn/neg_log_likelihood  1.517e+04, trn/neg_log_prior -1.210e+05, trn/lr  9.853e-07, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 6.946e-01
[2023-02-08 01:10:25] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy -1.069e+05, trn/neg_log_likelihood  1.397e+04, trn/neg_log_prior -1.209e+05, trn/lr  9.833e-07, trn/temperature  0.000e+00, val/acc 7.612e-01, val/nll 7.601e-01
[2023-02-08 01:10:29] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy -1.080e+05, trn/neg_log_likelihood  1.268e+04, trn/neg_log_prior -1.207e+05, trn/lr  9.812e-07, trn/temperature  0.000e+00, val/acc 7.629e-01, val/nll 7.874e-01
[2023-02-08 01:10:34] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy -1.091e+05, trn/neg_log_likelihood  1.136e+04, trn/neg_log_prior -1.205e+05, trn/lr  9.790e-07, trn/temperature  0.000e+00, val/acc 7.822e-01, val/nll 6.864e-01
[2023-02-08 01:10:38] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy -1.106e+05, trn/neg_log_likelihood  9.699e+03, trn/neg_log_prior -1.203e+05, trn/lr  9.767e-07, trn/temperature  0.000e+00, val/acc 7.643e-01, val/nll 7.963e-01
[2023-02-08 01:10:42] [Cycle   1/ 30][Epoch  21/200] trn/posterior_energy -1.106e+05, trn/neg_log_likelihood  9.504e+03, trn/neg_log_prior -1.201e+05, trn/lr  9.743e-07, trn/temperature  0.000e+00, val/acc 7.691e-01, val/nll 7.637e-01
[2023-02-08 01:10:47] [Cycle   1/ 30][Epoch  22/200] trn/posterior_energy -1.117e+05, trn/neg_log_likelihood  8.257e+03, trn/neg_log_prior -1.200e+05, trn/lr  9.718e-07, trn/temperature  0.000e+00, val/acc 7.698e-01, val/nll 8.181e-01
[2023-02-08 01:10:51] [Cycle   1/ 30][Epoch  23/200] trn/posterior_energy -1.126e+05, trn/neg_log_likelihood  7.226e+03, trn/neg_log_prior -1.198e+05, trn/lr  9.691e-07, trn/temperature  0.000e+00, val/acc 7.739e-01, val/nll 8.278e-01
[2023-02-08 01:10:55] [Cycle   1/ 30][Epoch  24/200] trn/posterior_energy -1.127e+05, trn/neg_log_likelihood  6.921e+03, trn/neg_log_prior -1.197e+05, trn/lr  9.663e-07, trn/temperature  0.000e+00, val/acc 7.739e-01, val/nll 8.279e-01
[2023-02-08 01:10:59] [Cycle   1/ 30][Epoch  25/200] trn/posterior_energy -1.139e+05, trn/neg_log_likelihood  5.661e+03, trn/neg_log_prior -1.195e+05, trn/lr  9.634e-07, trn/temperature  0.000e+00, val/acc 7.683e-01, val/nll 8.755e-01
[2023-02-08 01:11:04] [Cycle   1/ 30][Epoch  26/200] trn/posterior_energy -1.141e+05, trn/neg_log_likelihood  5.354e+03, trn/neg_log_prior -1.194e+05, trn/lr  9.604e-07, trn/temperature  0.000e+00, val/acc 7.752e-01, val/nll 8.953e-01
[2023-02-08 01:11:08] [Cycle   1/ 30][Epoch  27/200] trn/posterior_energy -1.142e+05, trn/neg_log_likelihood  5.147e+03, trn/neg_log_prior -1.193e+05, trn/lr  9.573e-07, trn/temperature  0.000e+00, val/acc 7.632e-01, val/nll 8.944e-01
[2023-02-08 01:11:12] [Cycle   1/ 30][Epoch  28/200] trn/posterior_energy -1.155e+05, trn/neg_log_likelihood  3.776e+03, trn/neg_log_prior -1.192e+05, trn/lr  9.541e-07, trn/temperature  0.000e+00, val/acc 7.677e-01, val/nll 9.669e-01
[2023-02-08 01:11:17] [Cycle   1/ 30][Epoch  29/200] trn/posterior_energy -1.143e+05, trn/neg_log_likelihood  4.818e+03, trn/neg_log_prior -1.191e+05, trn/lr  9.507e-07, trn/temperature  0.000e+00, val/acc 7.823e-01, val/nll 8.458e-01
[2023-02-08 01:11:21] [Cycle   1/ 30][Epoch  30/200] trn/posterior_energy -1.151e+05, trn/neg_log_likelihood  3.962e+03, trn/neg_log_prior -1.190e+05, trn/lr  9.473e-07, trn/temperature  0.000e+00, val/acc 7.662e-01, val/nll 9.745e-01
[2023-02-08 01:11:25] [Cycle   1/ 30][Epoch  31/200] trn/posterior_energy -1.162e+05, trn/neg_log_likelihood  2.763e+03, trn/neg_log_prior -1.190e+05, trn/lr  9.437e-07, trn/temperature  0.000e+00, val/acc 7.741e-01, val/nll 9.813e-01
[2023-02-08 01:11:29] [Cycle   1/ 30][Epoch  32/200] trn/posterior_energy -1.157e+05, trn/neg_log_likelihood  3.227e+03, trn/neg_log_prior -1.190e+05, trn/lr  9.400e-07, trn/temperature  0.000e+00, val/acc 7.655e-01, val/nll 1.032e+00
[2023-02-08 01:11:33] [Cycle   1/ 30][Epoch  33/200] trn/posterior_energy -1.165e+05, trn/neg_log_likelihood  2.407e+03, trn/neg_log_prior -1.189e+05, trn/lr  9.362e-07, trn/temperature  0.000e+00, val/acc 7.760e-01, val/nll 1.037e+00
[2023-02-08 01:11:38] [Cycle   1/ 30][Epoch  34/200] trn/posterior_energy -1.167e+05, trn/neg_log_likelihood  2.192e+03, trn/neg_log_prior -1.189e+05, trn/lr  9.324e-07, trn/temperature  0.000e+00, val/acc 7.762e-01, val/nll 1.034e+00
