[2023-02-05 07:21:33] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-05 07:21:33] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000001_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 07:22:07] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  6.712e+04, trn/neg_log_likelihood  9.245e+04, trn/neg_log_prior -2.533e+04, trn/lr  9.997e-08, trn/temperature  0.000e+00, val/acc 2.707e-01, val/nll 1.902e+00
[2023-02-05 07:22:11] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  4.874e+04, trn/neg_log_likelihood  7.401e+04, trn/neg_log_prior -2.527e+04, trn/lr  9.977e-08, trn/temperature  0.000e+00, val/acc 3.674e-01, val/nll 1.642e+00
[2023-02-05 07:22:15] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  4.174e+04, trn/neg_log_likelihood  6.698e+04, trn/neg_log_prior -2.524e+04, trn/lr  9.938e-08, trn/temperature  0.000e+00, val/acc 4.260e-01, val/nll 1.546e+00
[2023-02-05 07:22:20] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  3.555e+04, trn/neg_log_likelihood  6.075e+04, trn/neg_log_prior -2.520e+04, trn/lr  9.879e-08, trn/temperature  0.000e+00, val/acc 4.747e-01, val/nll 1.409e+00
[2023-02-05 07:22:24] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  2.957e+04, trn/neg_log_likelihood  5.470e+04, trn/neg_log_prior -2.513e+04, trn/lr  9.801e-08, trn/temperature  0.000e+00, val/acc 5.189e-01, val/nll 1.279e+00
[2023-02-05 07:22:28] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  2.710e+04, trn/neg_log_likelihood  5.212e+04, trn/neg_log_prior -2.503e+04, trn/lr  9.704e-08, trn/temperature  0.000e+00, val/acc 5.412e-01, val/nll 1.209e+00
[2023-02-05 07:22:32] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  2.122e+04, trn/neg_log_likelihood  4.612e+04, trn/neg_log_prior -2.490e+04, trn/lr  9.588e-08, trn/temperature  0.000e+00, val/acc 6.090e-01, val/nll 1.072e+00
[2023-02-05 07:22:36] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  1.803e+04, trn/neg_log_likelihood  4.282e+04, trn/neg_log_prior -2.479e+04, trn/lr  9.454e-08, trn/temperature  0.000e+00, val/acc 6.278e-01, val/nll 1.025e+00
[2023-02-05 07:22:41] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  1.407e+04, trn/neg_log_likelihood  3.875e+04, trn/neg_log_prior -2.468e+04, trn/lr  9.303e-08, trn/temperature  0.000e+00, val/acc 6.531e-01, val/nll 9.585e-01
[2023-02-05 07:22:45] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  1.137e+04, trn/neg_log_likelihood  3.593e+04, trn/neg_log_prior -2.456e+04, trn/lr  9.135e-08, trn/temperature  0.000e+00, val/acc 6.810e-01, val/nll 8.976e-01
[2023-02-05 07:22:49] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  9.177e+03, trn/neg_log_likelihood  3.360e+04, trn/neg_log_prior -2.443e+04, trn/lr  8.950e-08, trn/temperature  0.000e+00, val/acc 6.845e-01, val/nll 8.764e-01
