[2023-02-06 13:13:32] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-06 13:13:32] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.97
- args.num_cycles        : 30
- args.num_epochs_quiet  : 50
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0050-0000_lr-0.0000030_mo-0.97_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 13:14:06] [Cycle   1/ 30][Epoch   1/ 50] trn/posterior_energy  2.685e+05, trn/neg_log_likelihood  8.793e+04, trn/neg_log_prior  1.806e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 2.711e-01, val/nll 1.934e+00
[2023-02-06 13:14:10] [Cycle   1/ 30][Epoch   2/ 50] trn/posterior_energy  2.457e+05, trn/neg_log_likelihood  7.951e+04, trn/neg_log_prior  1.662e+05, trn/lr  2.993e-06, trn/temperature  0.000e+00, val/acc 3.110e-01, val/nll 1.850e+00
[2023-02-06 13:14:15] [Cycle   1/ 30][Epoch   3/ 50] trn/posterior_energy  2.407e+05, trn/neg_log_likelihood  7.551e+04, trn/neg_log_prior  1.652e+05, trn/lr  2.981e-06, trn/temperature  0.000e+00, val/acc 3.277e-01, val/nll 1.808e+00
[2023-02-06 13:14:19] [Cycle   1/ 30][Epoch   4/ 50] trn/posterior_energy  2.396e+05, trn/neg_log_likelihood  7.355e+04, trn/neg_log_prior  1.661e+05, trn/lr  2.964e-06, trn/temperature  0.000e+00, val/acc 3.513e-01, val/nll 1.768e+00
[2023-02-06 13:14:24] [Cycle   1/ 30][Epoch   5/ 50] trn/posterior_energy  2.376e+05, trn/neg_log_likelihood  7.059e+04, trn/neg_log_prior  1.671e+05, trn/lr  2.940e-06, trn/temperature  0.000e+00, val/acc 3.999e-01, val/nll 1.636e+00
[2023-02-06 13:14:28] [Cycle   1/ 30][Epoch   6/ 50] trn/posterior_energy  2.374e+05, trn/neg_log_likelihood  6.940e+04, trn/neg_log_prior  1.680e+05, trn/lr  2.911e-06, trn/temperature  0.000e+00, val/acc 3.767e-01, val/nll 1.694e+00
[2023-02-06 13:14:32] [Cycle   1/ 30][Epoch   7/ 50] trn/posterior_energy  2.367e+05, trn/neg_log_likelihood  6.776e+04, trn/neg_log_prior  1.689e+05, trn/lr  2.876e-06, trn/temperature  0.000e+00, val/acc 3.876e-01, val/nll 1.683e+00
[2023-02-06 13:14:36] [Cycle   1/ 30][Epoch   8/ 50] trn/posterior_energy  2.350e+05, trn/neg_log_likelihood  6.514e+04, trn/neg_log_prior  1.698e+05, trn/lr  2.836e-06, trn/temperature  0.000e+00, val/acc 4.525e-01, val/nll 1.492e+00
[2023-02-06 13:14:41] [Cycle   1/ 30][Epoch   9/ 50] trn/posterior_energy  2.336e+05, trn/neg_log_likelihood  6.371e+04, trn/neg_log_prior  1.699e+05, trn/lr  2.791e-06, trn/temperature  0.000e+00, val/acc 3.670e-01, val/nll 1.674e+00
[2023-02-06 13:14:45] [Cycle   1/ 30][Epoch  10/ 50] trn/posterior_energy  2.338e+05, trn/neg_log_likelihood  6.314e+04, trn/neg_log_prior  1.707e+05, trn/lr  2.740e-06, trn/temperature  0.000e+00, val/acc 4.583e-01, val/nll 1.457e+00
[2023-02-06 13:14:49] [Cycle   1/ 30][Epoch  11/ 50] trn/posterior_energy  2.325e+05, trn/neg_log_likelihood  6.148e+04, trn/neg_log_prior  1.711e+05, trn/lr  2.685e-06, trn/temperature  0.000e+00, val/acc 4.913e-01, val/nll 1.391e+00
[2023-02-06 13:14:54] [Cycle   1/ 30][Epoch  12/ 50] trn/posterior_energy  2.351e+05, trn/neg_log_likelihood  6.029e+04, trn/neg_log_prior  1.748e+05, trn/lr  2.625e-06, trn/temperature  0.000e+00, val/acc 4.402e-01, val/nll 1.534e+00
[2023-02-06 13:14:58] [Cycle   1/ 30][Epoch  13/ 50] trn/posterior_energy  2.307e+05, trn/neg_log_likelihood  5.822e+04, trn/neg_log_prior  1.725e+05, trn/lr  2.561e-06, trn/temperature  0.000e+00, val/acc 4.648e-01, val/nll 1.465e+00
[2023-02-06 13:15:02] [Cycle   1/ 30][Epoch  14/ 50] trn/posterior_energy  2.316e+05, trn/neg_log_likelihood  5.868e+04, trn/neg_log_prior  1.729e+05, trn/lr  2.492e-06, trn/temperature  0.000e+00, val/acc 4.481e-01, val/nll 1.514e+00
