[2023-02-11 07:39:40] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-11 07:39:40] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 20.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000001_mo-0.99_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-11 07:40:06] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  2.747e+05, trn/neg_log_likelihood  9.336e+04, trn/neg_log_prior  1.813e+05, trn/lr  1.000e-07, trn/temperature  0.000e+00, val/acc 2.166e-01, val/nll 2.058e+00
[2023-02-11 07:40:10] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  2.532e+05, trn/neg_log_likelihood  7.467e+04, trn/neg_log_prior  1.785e+05, trn/lr  9.999e-08, trn/temperature  0.000e+00, val/acc 3.792e-01, val/nll 1.654e+00
[2023-02-11 07:40:13] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  2.422e+05, trn/neg_log_likelihood  6.605e+04, trn/neg_log_prior  1.761e+05, trn/lr  9.996e-08, trn/temperature  0.000e+00, val/acc 3.789e-01, val/nll 1.719e+00
[2023-02-11 07:40:17] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  2.349e+05, trn/neg_log_likelihood  6.049e+04, trn/neg_log_prior  1.744e+05, trn/lr  9.992e-08, trn/temperature  0.000e+00, val/acc 4.680e-01, val/nll 1.421e+00
[2023-02-11 07:40:20] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  2.264e+05, trn/neg_log_likelihood  5.327e+04, trn/neg_log_prior  1.731e+05, trn/lr  9.987e-08, trn/temperature  0.000e+00, val/acc 5.511e-01, val/nll 1.219e+00
[2023-02-11 07:40:24] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  2.229e+05, trn/neg_log_likelihood  5.065e+04, trn/neg_log_prior  1.723e+05, trn/lr  9.981e-08, trn/temperature  0.000e+00, val/acc 5.625e-01, val/nll 1.205e+00
[2023-02-11 07:40:27] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  2.179e+05, trn/neg_log_likelihood  4.612e+04, trn/neg_log_prior  1.718e+05, trn/lr  9.974e-08, trn/temperature  0.000e+00, val/acc 5.976e-01, val/nll 1.103e+00
[2023-02-11 07:40:31] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  2.142e+05, trn/neg_log_likelihood  4.274e+04, trn/neg_log_prior  1.714e+05, trn/lr  9.965e-08, trn/temperature  0.000e+00, val/acc 6.299e-01, val/nll 1.035e+00
[2023-02-11 07:40:34] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  2.114e+05, trn/neg_log_likelihood  4.013e+04, trn/neg_log_prior  1.713e+05, trn/lr  9.955e-08, trn/temperature  0.000e+00, val/acc 6.384e-01, val/nll 9.945e-01
[2023-02-11 07:40:38] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  2.089e+05, trn/neg_log_likelihood  3.757e+04, trn/neg_log_prior  1.713e+05, trn/lr  9.944e-08, trn/temperature  0.000e+00, val/acc 6.493e-01, val/nll 9.989e-01
[2023-02-11 07:40:42] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  2.053e+05, trn/neg_log_likelihood  3.396e+04, trn/neg_log_prior  1.713e+05, trn/lr  9.932e-08, trn/temperature  0.000e+00, val/acc 7.121e-01, val/nll 8.173e-01
[2023-02-11 07:40:45] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  2.048e+05, trn/neg_log_likelihood  3.343e+04, trn/neg_log_prior  1.713e+05, trn/lr  9.919e-08, trn/temperature  0.000e+00, val/acc 6.738e-01, val/nll 9.439e-01
[2023-02-11 07:40:49] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  2.030e+05, trn/neg_log_likelihood  3.136e+04, trn/neg_log_prior  1.716e+05, trn/lr  9.904e-08, trn/temperature  0.000e+00, val/acc 6.930e-01, val/nll 8.964e-01
[2023-02-11 07:40:52] [Cycle   1/ 30][Epoch  14/200] trn/posterior_energy  2.005e+05, trn/neg_log_likelihood  2.886e+04, trn/neg_log_prior  1.717e+05, trn/lr  9.888e-08, trn/temperature  0.000e+00, val/acc 7.040e-01, val/nll 8.537e-01
[2023-02-11 07:40:56] [Cycle   1/ 30][Epoch  15/200] trn/posterior_energy  1.997e+05, trn/neg_log_likelihood  2.791e+04, trn/neg_log_prior  1.718e+05, trn/lr  9.871e-08, trn/temperature  0.000e+00, val/acc 7.376e-01, val/nll 7.611e-01
[2023-02-11 07:40:59] [Cycle   1/ 30][Epoch  16/200] trn/posterior_energy  1.977e+05, trn/neg_log_likelihood  2.584e+04, trn/neg_log_prior  1.719e+05, trn/lr  9.853e-08, trn/temperature  0.000e+00, val/acc 7.395e-01, val/nll 7.457e-01
[2023-02-11 07:41:03] [Cycle   1/ 30][Epoch  17/200] trn/posterior_energy  1.980e+05, trn/neg_log_likelihood  2.586e+04, trn/neg_log_prior  1.721e+05, trn/lr  9.833e-08, trn/temperature  0.000e+00, val/acc 7.532e-01, val/nll 7.088e-01
[2023-02-11 07:41:06] [Cycle   1/ 30][Epoch  18/200] trn/posterior_energy  1.957e+05, trn/neg_log_likelihood  2.337e+04, trn/neg_log_prior  1.723e+05, trn/lr  9.812e-08, trn/temperature  0.000e+00, val/acc 7.618e-01, val/nll 6.829e-01
[2023-02-11 07:41:10] [Cycle   1/ 30][Epoch  19/200] trn/posterior_energy  1.963e+05, trn/neg_log_likelihood  2.397e+04, trn/neg_log_prior  1.724e+05, trn/lr  9.790e-08, trn/temperature  0.000e+00, val/acc 7.592e-01, val/nll 6.949e-01
[2023-02-11 07:41:13] [Cycle   1/ 30][Epoch  20/200] trn/posterior_energy  1.958e+05, trn/neg_log_likelihood  2.304e+04, trn/neg_log_prior  1.728e+05, trn/lr  9.767e-08, trn/temperature  0.000e+00, val/acc 7.550e-01, val/nll 7.120e-01
