[2023-02-13 04:30:18] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 04:30:18] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.99
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 5.0
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000010_mo-0.99_pr-01/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 04:30:44] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy  7.104e+04, trn/neg_log_likelihood  9.337e+04, trn/neg_log_prior -2.233e+04, trn/lr  1.000e-06, trn/temperature  0.000e+00, val/acc 2.319e-01, val/nll 2.039e+00
[2023-02-13 04:30:47] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy  5.690e+04, trn/neg_log_likelihood  7.955e+04, trn/neg_log_prior -2.265e+04, trn/lr  9.999e-07, trn/temperature  0.000e+00, val/acc 2.966e-01, val/nll 1.841e+00
[2023-02-13 04:30:51] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy  4.822e+04, trn/neg_log_likelihood  7.181e+04, trn/neg_log_prior -2.359e+04, trn/lr  9.996e-07, trn/temperature  0.000e+00, val/acc 3.962e-01, val/nll 1.620e+00
[2023-02-13 04:30:54] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy  3.929e+04, trn/neg_log_likelihood  6.334e+04, trn/neg_log_prior -2.405e+04, trn/lr  9.992e-07, trn/temperature  0.000e+00, val/acc 4.310e-01, val/nll 1.564e+00
[2023-02-13 04:30:57] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy  3.659e+04, trn/neg_log_likelihood  6.057e+04, trn/neg_log_prior -2.398e+04, trn/lr  9.987e-07, trn/temperature  0.000e+00, val/acc 4.678e-01, val/nll 1.433e+00
[2023-02-13 04:31:01] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy  3.552e+04, trn/neg_log_likelihood  5.916e+04, trn/neg_log_prior -2.364e+04, trn/lr  9.981e-07, trn/temperature  0.000e+00, val/acc 4.768e-01, val/nll 1.424e+00
[2023-02-13 04:31:04] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy  3.196e+04, trn/neg_log_likelihood  5.506e+04, trn/neg_log_prior -2.310e+04, trn/lr  9.974e-07, trn/temperature  0.000e+00, val/acc 5.354e-01, val/nll 1.269e+00
[2023-02-13 04:31:07] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy  2.960e+04, trn/neg_log_likelihood  5.248e+04, trn/neg_log_prior -2.288e+04, trn/lr  9.965e-07, trn/temperature  0.000e+00, val/acc 5.473e-01, val/nll 1.251e+00
[2023-02-13 04:31:10] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy  2.968e+04, trn/neg_log_likelihood  5.182e+04, trn/neg_log_prior -2.213e+04, trn/lr  9.955e-07, trn/temperature  0.000e+00, val/acc 5.486e-01, val/nll 1.239e+00
[2023-02-13 04:31:14] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy  2.820e+04, trn/neg_log_likelihood  4.963e+04, trn/neg_log_prior -2.143e+04, trn/lr  9.944e-07, trn/temperature  0.000e+00, val/acc 5.729e-01, val/nll 1.166e+00
[2023-02-13 04:31:17] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy  2.646e+04, trn/neg_log_likelihood  4.728e+04, trn/neg_log_prior -2.082e+04, trn/lr  9.932e-07, trn/temperature  0.000e+00, val/acc 5.645e-01, val/nll 1.176e+00
[2023-02-13 04:31:20] [Cycle   1/ 30][Epoch  12/200] trn/posterior_energy  2.658e+04, trn/neg_log_likelihood  4.660e+04, trn/neg_log_prior -2.003e+04, trn/lr  9.919e-07, trn/temperature  0.000e+00, val/acc 5.538e-01, val/nll 1.245e+00
[2023-02-13 04:31:24] [Cycle   1/ 30][Epoch  13/200] trn/posterior_energy  2.503e+04, trn/neg_log_likelihood  4.424e+04, trn/neg_log_prior -1.922e+04, trn/lr  9.904e-07, trn/temperature  0.000e+00, val/acc 6.213e-01, val/nll 1.078e+00
