[2023-02-13 09:50:55] Environments:
------------  -------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-siml/lib/python3.10/site-packages/optax
------------  -------------------------------------------------------------------------------

[2023-02-13 09:50:55] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.7
- args.num_cycles        : 30
- args.num_epochs_quiet  : 200
- args.num_epochs_noisy  : 0
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SSE/bs-0080_nc-0030_ne-0200-0000_lr-0.0000030_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-13 09:51:23] [Cycle   1/ 30][Epoch   1/200] trn/posterior_energy -3.925e+04, trn/neg_log_likelihood  8.407e+04, trn/neg_log_prior -1.233e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 3.522e-01, val/nll 1.692e+00
[2023-02-13 09:51:27] [Cycle   1/ 30][Epoch   2/200] trn/posterior_energy -5.717e+04, trn/neg_log_likelihood  6.604e+04, trn/neg_log_prior -1.232e+05, trn/lr  3.000e-06, trn/temperature  0.000e+00, val/acc 4.282e-01, val/nll 1.525e+00
[2023-02-13 09:51:31] [Cycle   1/ 30][Epoch   3/200] trn/posterior_energy -6.573e+04, trn/neg_log_likelihood  5.737e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.999e-06, trn/temperature  0.000e+00, val/acc 4.566e-01, val/nll 1.473e+00
[2023-02-13 09:51:34] [Cycle   1/ 30][Epoch   4/200] trn/posterior_energy -7.246e+04, trn/neg_log_likelihood  5.050e+04, trn/neg_log_prior -1.230e+05, trn/lr  2.998e-06, trn/temperature  0.000e+00, val/acc 5.575e-01, val/nll 1.180e+00
[2023-02-13 09:51:38] [Cycle   1/ 30][Epoch   5/200] trn/posterior_energy -7.850e+04, trn/neg_log_likelihood  4.432e+04, trn/neg_log_prior -1.228e+05, trn/lr  2.996e-06, trn/temperature  0.000e+00, val/acc 6.056e-01, val/nll 1.085e+00
[2023-02-13 09:51:42] [Cycle   1/ 30][Epoch   6/200] trn/posterior_energy -8.341e+04, trn/neg_log_likelihood  3.924e+04, trn/neg_log_prior -1.227e+05, trn/lr  2.994e-06, trn/temperature  0.000e+00, val/acc 6.789e-01, val/nll 9.210e-01
[2023-02-13 09:51:46] [Cycle   1/ 30][Epoch   7/200] trn/posterior_energy -8.794e+04, trn/neg_log_likelihood  3.455e+04, trn/neg_log_prior -1.225e+05, trn/lr  2.992e-06, trn/temperature  0.000e+00, val/acc 7.063e-01, val/nll 8.269e-01
[2023-02-13 09:51:50] [Cycle   1/ 30][Epoch   8/200] trn/posterior_energy -9.153e+04, trn/neg_log_likelihood  3.081e+04, trn/neg_log_prior -1.223e+05, trn/lr  2.990e-06, trn/temperature  0.000e+00, val/acc 7.126e-01, val/nll 8.089e-01
[2023-02-13 09:51:54] [Cycle   1/ 30][Epoch   9/200] trn/posterior_energy -9.428e+04, trn/neg_log_likelihood  2.790e+04, trn/neg_log_prior -1.222e+05, trn/lr  2.987e-06, trn/temperature  0.000e+00, val/acc 7.261e-01, val/nll 7.950e-01
[2023-02-13 09:51:58] [Cycle   1/ 30][Epoch  10/200] trn/posterior_energy -9.650e+04, trn/neg_log_likelihood  2.553e+04, trn/neg_log_prior -1.220e+05, trn/lr  2.983e-06, trn/temperature  0.000e+00, val/acc 7.236e-01, val/nll 8.239e-01
[2023-02-13 09:52:01] [Cycle   1/ 30][Epoch  11/200] trn/posterior_energy -9.880e+04, trn/neg_log_likelihood  2.306e+04, trn/neg_log_prior -1.219e+05, trn/lr  2.980e-06, trn/temperature  0.000e+00, val/acc 7.496e-01, val/nll 7.341e-01
