[2023-02-03 04:55:03] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-03 04:55:03] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-07
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/bs-0080_ne-0500_lr-0.0000003_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-03 04:55:27] [Epoch     1/  500] trn/posterior_energy -3.673e+04, trn/neg_log_likelihood  8.659e+04, trn/neg_log_prior -1.233e+05, trn/lr  3.000e-07, val/acc 3.280e-01, val/nll 1.838e+00 (best_acc: 0.000e+00 -> 3.280e-01, test_acc: 3.276e-01, test_nll: 1.835e+00)
[2023-02-03 04:55:34] [Epoch     2/  500] trn/posterior_energy -5.179e+04, trn/neg_log_likelihood  7.151e+04, trn/neg_log_prior -1.233e+05, trn/lr  3.000e-07, val/acc 3.954e-01, val/nll 1.647e+00 (best_acc: 3.280e-01 -> 3.954e-01, test_acc: 3.989e-01, test_nll: 1.633e+00)
[2023-02-03 04:55:38] [Epoch     3/  500] trn/posterior_energy -5.838e+04, trn/neg_log_likelihood  6.492e+04, trn/neg_log_prior -1.233e+05, trn/lr  3.000e-07, val/acc 4.044e-01, val/nll 1.608e+00 (best_acc: 3.954e-01 -> 4.044e-01, test_acc: 4.114e-01, test_nll: 1.591e+00)
[2023-02-03 04:55:43] [Epoch     4/  500] trn/posterior_energy -6.243e+04, trn/neg_log_likelihood  6.085e+04, trn/neg_log_prior -1.233e+05, trn/lr  3.000e-07, val/acc 4.694e-01, val/nll 1.439e+00 (best_acc: 4.044e-01 -> 4.694e-01, test_acc: 4.736e-01, test_nll: 1.431e+00)
[2023-02-03 04:55:48] [Epoch     5/  500] trn/posterior_energy -6.575e+04, trn/neg_log_likelihood  5.753e+04, trn/neg_log_prior -1.233e+05, trn/lr  2.999e-07, val/acc 4.863e-01, val/nll 1.387e+00 (best_acc: 4.694e-01 -> 4.863e-01, test_acc: 4.878e-01, test_nll: 1.377e+00)
[2023-02-03 04:55:52] [Epoch     6/  500] trn/posterior_energy -6.805e+04, trn/neg_log_likelihood  5.522e+04, trn/neg_log_prior -1.233e+05, trn/lr  2.999e-07, val/acc 5.104e-01, val/nll 1.337e+00 (best_acc: 4.863e-01 -> 5.104e-01, test_acc: 5.126e-01, test_nll: 1.323e+00)
[2023-02-03 04:55:56] [Epoch     7/  500] trn/posterior_energy -7.064e+04, trn/neg_log_likelihood  5.262e+04, trn/neg_log_prior -1.233e+05, trn/lr  2.999e-07, val/acc 5.242e-01, val/nll 1.274e+00 (best_acc: 5.104e-01 -> 5.242e-01, test_acc: 5.351e-01, test_nll: 1.265e+00)
[2023-02-03 04:56:02] [Epoch     8/  500] trn/posterior_energy -7.250e+04, trn/neg_log_likelihood  5.075e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.998e-07, val/acc 5.468e-01, val/nll 1.237e+00 (best_acc: 5.242e-01 -> 5.468e-01, test_acc: 5.488e-01, test_nll: 1.229e+00)
[2023-02-03 04:56:07] [Epoch     9/  500] trn/posterior_energy -7.492e+04, trn/neg_log_likelihood  4.832e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.998e-07, val/acc 5.461e-01, val/nll 1.250e+00
[2023-02-03 04:56:12] [Epoch    10/  500] trn/posterior_energy -7.709e+04, trn/neg_log_likelihood  4.614e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.997e-07, val/acc 5.699e-01, val/nll 1.178e+00 (best_acc: 5.468e-01 -> 5.699e-01, test_acc: 5.750e-01, test_nll: 1.170e+00)
[2023-02-03 04:56:17] [Epoch    11/  500] trn/posterior_energy -7.880e+04, trn/neg_log_likelihood  4.441e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.997e-07, val/acc 6.088e-01, val/nll 1.067e+00 (best_acc: 5.699e-01 -> 6.088e-01, test_acc: 6.121e-01, test_nll: 1.066e+00)
[2023-02-03 04:56:21] [Epoch    12/  500] trn/posterior_energy -8.055e+04, trn/neg_log_likelihood  4.265e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.996e-07, val/acc 5.968e-01, val/nll 1.099e+00
[2023-02-03 04:56:25] [Epoch    13/  500] trn/posterior_energy -8.268e+04, trn/neg_log_likelihood  4.051e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.995e-07, val/acc 6.253e-01, val/nll 1.059e+00 (best_acc: 6.088e-01 -> 6.253e-01, test_acc: 6.260e-01, test_nll: 1.052e+00)
[2023-02-03 04:56:29] [Epoch    14/  500] trn/posterior_energy -8.379e+04, trn/neg_log_likelihood  3.939e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.995e-07, val/acc 6.548e-01, val/nll 9.666e-01 (best_acc: 6.253e-01 -> 6.548e-01, test_acc: 6.546e-01, test_nll: 9.618e-01)
[2023-02-03 04:56:34] [Epoch    15/  500] trn/posterior_energy -8.557e+04, trn/neg_log_likelihood  3.760e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.994e-07, val/acc 6.561e-01, val/nll 9.574e-01 (best_acc: 6.548e-01 -> 6.561e-01, test_acc: 6.469e-01, test_nll: 9.738e-01)
[2023-02-03 04:56:38] [Epoch    16/  500] trn/posterior_energy -8.728e+04, trn/neg_log_likelihood  3.587e+04, trn/neg_log_prior -1.232e+05, trn/lr  2.993e-07, val/acc 6.602e-01, val/nll 9.470e-01 (best_acc: 6.561e-01 -> 6.602e-01, test_acc: 6.550e-01, test_nll: 9.506e-01)
[2023-02-03 04:56:42] [Epoch    17/  500] trn/posterior_energy -8.864e+04, trn/neg_log_likelihood  3.451e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.992e-07, val/acc 6.637e-01, val/nll 9.337e-01 (best_acc: 6.602e-01 -> 6.637e-01, test_acc: 6.625e-01, test_nll: 9.454e-01)
[2023-02-03 04:56:46] [Epoch    18/  500] trn/posterior_energy -8.976e+04, trn/neg_log_likelihood  3.338e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.991e-07, val/acc 6.577e-01, val/nll 9.425e-01
[2023-02-03 04:56:51] [Epoch    19/  500] trn/posterior_energy -9.112e+04, trn/neg_log_likelihood  3.200e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.990e-07, val/acc 6.747e-01, val/nll 9.332e-01 (best_acc: 6.637e-01 -> 6.747e-01, test_acc: 6.613e-01, test_nll: 9.555e-01)
[2023-02-03 04:56:55] [Epoch    20/  500] trn/posterior_energy -9.244e+04, trn/neg_log_likelihood  3.068e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.989e-07, val/acc 6.926e-01, val/nll 8.718e-01 (best_acc: 6.747e-01 -> 6.926e-01, test_acc: 6.878e-01, test_nll: 8.963e-01)
[2023-02-03 04:56:59] [Epoch    21/  500] trn/posterior_energy -9.337e+04, trn/neg_log_likelihood  2.973e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.988e-07, val/acc 6.687e-01, val/nll 9.447e-01
[2023-02-03 04:57:03] [Epoch    22/  500] trn/posterior_energy -9.451e+04, trn/neg_log_likelihood  2.858e+04, trn/neg_log_prior -1.231e+05, trn/lr  2.986e-07, val/acc 7.009e-01, val/nll 8.420e-01 (best_acc: 6.926e-01 -> 7.009e-01, test_acc: 6.983e-01, test_nll: 8.616e-01)
