[2023-02-05 10:16:50] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 10:16:50] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.9
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.90_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 10:17:04] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 10:17:49] [Epoch     1/  500] trn/posterior_energy  2.668e+06, trn/neg_log_likelihood  8.104e+04, trn/neg_log_prior  2.587e+06, trn/lr  1.000e-07, val/acc 3.677e-01, val/nll 1.698e+00 (best_acc: 0.000e+00 -> 3.677e-01, test_acc: 3.650e-01, test_nll: 1.699e+00)
[2023-02-05 10:18:03] [Epoch     2/  500] trn/posterior_energy  2.650e+06, trn/neg_log_likelihood  6.479e+04, trn/neg_log_prior  2.585e+06, trn/lr  1.000e-07, val/acc 4.650e-01, val/nll 1.495e+00 (best_acc: 3.677e-01 -> 4.650e-01, test_acc: 4.617e-01, test_nll: 1.495e+00)
[2023-02-05 10:18:18] [Epoch     3/  500] trn/posterior_energy  2.641e+06, trn/neg_log_likelihood  5.789e+04, trn/neg_log_prior  2.584e+06, trn/lr  9.999e-08, val/acc 5.002e-01, val/nll 1.357e+00 (best_acc: 4.650e-01 -> 5.002e-01, test_acc: 4.986e-01, test_nll: 1.354e+00)
[2023-02-05 10:18:32] [Epoch     4/  500] trn/posterior_energy  2.634e+06, trn/neg_log_likelihood  5.248e+04, trn/neg_log_prior  2.582e+06, trn/lr  9.999e-08, val/acc 5.410e-01, val/nll 1.262e+00 (best_acc: 5.002e-01 -> 5.410e-01, test_acc: 5.382e-01, test_nll: 1.265e+00)
[2023-02-05 10:18:46] [Epoch     5/  500] trn/posterior_energy  2.629e+06, trn/neg_log_likelihood  4.881e+04, trn/neg_log_prior  2.580e+06, trn/lr  9.998e-08, val/acc 5.460e-01, val/nll 1.249e+00 (best_acc: 5.410e-01 -> 5.460e-01, test_acc: 5.482e-01, test_nll: 1.248e+00)
[2023-02-05 10:19:00] [Epoch     6/  500] trn/posterior_energy  2.624e+06, trn/neg_log_likelihood  4.559e+04, trn/neg_log_prior  2.579e+06, trn/lr  9.997e-08, val/acc 5.892e-01, val/nll 1.130e+00 (best_acc: 5.460e-01 -> 5.892e-01, test_acc: 5.882e-01, test_nll: 1.133e+00)
[2023-02-05 10:19:14] [Epoch     7/  500] trn/posterior_energy  2.619e+06, trn/neg_log_likelihood  4.187e+04, trn/neg_log_prior  2.577e+06, trn/lr  9.996e-08, val/acc 5.954e-01, val/nll 1.131e+00 (best_acc: 5.892e-01 -> 5.954e-01, test_acc: 5.897e-01, test_nll: 1.142e+00)
[2023-02-05 10:19:28] [Epoch     8/  500] trn/posterior_energy  2.614e+06, trn/neg_log_likelihood  3.866e+04, trn/neg_log_prior  2.576e+06, trn/lr  9.994e-08, val/acc 6.325e-01, val/nll 1.018e+00 (best_acc: 5.954e-01 -> 6.325e-01, test_acc: 6.329e-01, test_nll: 1.020e+00)
[2023-02-05 10:19:42] [Epoch     9/  500] trn/posterior_energy  2.610e+06, trn/neg_log_likelihood  3.629e+04, trn/neg_log_prior  2.574e+06, trn/lr  9.993e-08, val/acc 6.423e-01, val/nll 9.935e-01 (best_acc: 6.325e-01 -> 6.423e-01, test_acc: 6.422e-01, test_nll: 1.002e+00)
[2023-02-05 10:19:56] [Epoch    10/  500] trn/posterior_energy  2.606e+06, trn/neg_log_likelihood  3.312e+04, trn/neg_log_prior  2.573e+06, trn/lr  9.991e-08, val/acc 6.739e-01, val/nll 9.112e-01 (best_acc: 6.423e-01 -> 6.739e-01, test_acc: 6.653e-01, test_nll: 9.276e-01)
[2023-02-05 10:20:09] [Epoch    11/  500] trn/posterior_energy  2.602e+06, trn/neg_log_likelihood  3.035e+04, trn/neg_log_prior  2.571e+06, trn/lr  9.989e-08, val/acc 6.929e-01, val/nll 8.759e-01 (best_acc: 6.739e-01 -> 6.929e-01, test_acc: 6.947e-01, test_nll: 8.855e-01)
