[2023-02-05 15:25:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 15:25:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-07
- args.optim_momentum    : 0.97
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000001_mo-0.97_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 15:26:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 15:26:46] [Epoch     1/  500] trn/posterior_energy -1.891e+06, trn/neg_log_likelihood  8.138e+04, trn/neg_log_prior -1.972e+06, trn/lr  1.000e-07, val/acc 3.960e-01, val/nll 1.613e+00 (best_acc: 0.000e+00 -> 3.960e-01, test_acc: 4.060e-01, test_nll: 1.606e+00)
[2023-02-05 15:26:59] [Epoch     2/  500] trn/posterior_energy -1.909e+06, trn/neg_log_likelihood  6.301e+04, trn/neg_log_prior -1.972e+06, trn/lr  1.000e-07, val/acc 4.738e-01, val/nll 1.451e+00 (best_acc: 3.960e-01 -> 4.738e-01, test_acc: 4.709e-01, test_nll: 1.447e+00)
[2023-02-05 15:27:12] [Epoch     3/  500] trn/posterior_energy -1.918e+06, trn/neg_log_likelihood  5.465e+04, trn/neg_log_prior -1.972e+06, trn/lr  9.999e-08, val/acc 4.799e-01, val/nll 1.407e+00 (best_acc: 4.738e-01 -> 4.799e-01, test_acc: 4.819e-01, test_nll: 1.406e+00)
[2023-02-05 15:27:25] [Epoch     4/  500] trn/posterior_energy -1.925e+06, trn/neg_log_likelihood  4.786e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.999e-08, val/acc 5.565e-01, val/nll 1.185e+00 (best_acc: 4.799e-01 -> 5.565e-01, test_acc: 5.621e-01, test_nll: 1.187e+00)
[2023-02-05 15:27:39] [Epoch     5/  500] trn/posterior_energy -1.930e+06, trn/neg_log_likelihood  4.251e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.998e-08, val/acc 6.295e-01, val/nll 1.016e+00 (best_acc: 5.565e-01 -> 6.295e-01, test_acc: 6.355e-01, test_nll: 1.011e+00)
[2023-02-05 15:27:52] [Epoch     6/  500] trn/posterior_energy -1.934e+06, trn/neg_log_likelihood  3.836e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.997e-08, val/acc 6.719e-01, val/nll 9.276e-01 (best_acc: 6.295e-01 -> 6.719e-01, test_acc: 6.671e-01, test_nll: 9.441e-01)
[2023-02-05 15:28:05] [Epoch     7/  500] trn/posterior_energy -1.938e+06, trn/neg_log_likelihood  3.435e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.996e-08, val/acc 6.994e-01, val/nll 8.478e-01 (best_acc: 6.719e-01 -> 6.994e-01, test_acc: 6.897e-01, test_nll: 8.589e-01)
[2023-02-05 15:28:16] [Epoch     8/  500] trn/posterior_energy -1.942e+06, trn/neg_log_likelihood  3.067e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.994e-08, val/acc 6.947e-01, val/nll 8.669e-01
[2023-02-05 15:28:29] [Epoch     9/  500] trn/posterior_energy -1.945e+06, trn/neg_log_likelihood  2.724e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.993e-08, val/acc 7.144e-01, val/nll 8.205e-01 (best_acc: 6.994e-01 -> 7.144e-01, test_acc: 7.060e-01, test_nll: 8.414e-01)
[2023-02-05 15:28:42] [Epoch    10/  500] trn/posterior_energy -1.948e+06, trn/neg_log_likelihood  2.433e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.991e-08, val/acc 7.435e-01, val/nll 7.478e-01 (best_acc: 7.144e-01 -> 7.435e-01, test_acc: 7.403e-01, test_nll: 7.468e-01)
[2023-02-05 15:28:55] [Epoch    11/  500] trn/posterior_energy -1.951e+06, trn/neg_log_likelihood  2.127e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.989e-08, val/acc 7.541e-01, val/nll 6.887e-01 (best_acc: 7.435e-01 -> 7.541e-01, test_acc: 7.550e-01, test_nll: 6.996e-01)
