[2023-02-04 19:13:57] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-04 19:13:57] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 2.5
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-04 19:14:12] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-04 19:14:54] [Epoch     1/  500] trn/posterior_energy -1.889e+06, trn/neg_log_likelihood  8.301e+04, trn/neg_log_prior -1.972e+06, trn/lr  1.000e-06, val/acc 3.643e-01, val/nll 1.698e+00 (best_acc: 0.000e+00 -> 3.643e-01, test_acc: 3.787e-01, test_nll: 1.694e+00)
[2023-02-04 19:15:08] [Epoch     2/  500] trn/posterior_energy -1.908e+06, trn/neg_log_likelihood  6.398e+04, trn/neg_log_prior -1.972e+06, trn/lr  1.000e-06, val/acc 4.579e-01, val/nll 1.528e+00 (best_acc: 3.643e-01 -> 4.579e-01, test_acc: 4.508e-01, test_nll: 1.533e+00)
[2023-02-04 19:15:20] [Epoch     3/  500] trn/posterior_energy -1.917e+06, trn/neg_log_likelihood  5.560e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.999e-07, val/acc 4.525e-01, val/nll 1.516e+00
[2023-02-04 19:15:34] [Epoch     4/  500] trn/posterior_energy -1.923e+06, trn/neg_log_likelihood  4.975e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.999e-07, val/acc 5.580e-01, val/nll 1.220e+00 (best_acc: 4.579e-01 -> 5.580e-01, test_acc: 5.495e-01, test_nll: 1.233e+00)
[2023-02-04 19:15:47] [Epoch     5/  500] trn/posterior_energy -1.928e+06, trn/neg_log_likelihood  4.431e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.998e-07, val/acc 6.251e-01, val/nll 1.055e+00 (best_acc: 5.580e-01 -> 6.251e-01, test_acc: 6.206e-01, test_nll: 1.061e+00)
[2023-02-04 19:16:01] [Epoch     6/  500] trn/posterior_energy -1.933e+06, trn/neg_log_likelihood  3.972e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.997e-07, val/acc 6.376e-01, val/nll 1.009e+00 (best_acc: 6.251e-01 -> 6.376e-01, test_acc: 6.408e-01, test_nll: 1.012e+00)
[2023-02-04 19:16:14] [Epoch     7/  500] trn/posterior_energy -1.937e+06, trn/neg_log_likelihood  3.543e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.996e-07, val/acc 6.648e-01, val/nll 9.123e-01 (best_acc: 6.376e-01 -> 6.648e-01, test_acc: 6.598e-01, test_nll: 9.273e-01)
[2023-02-04 19:16:28] [Epoch     8/  500] trn/posterior_energy -1.941e+06, trn/neg_log_likelihood  3.154e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.994e-07, val/acc 7.125e-01, val/nll 8.117e-01 (best_acc: 6.648e-01 -> 7.125e-01, test_acc: 7.178e-01, test_nll: 8.035e-01)
[2023-02-04 19:16:40] [Epoch     9/  500] trn/posterior_energy -1.944e+06, trn/neg_log_likelihood  2.818e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.993e-07, val/acc 6.985e-01, val/nll 8.636e-01
[2023-02-04 19:16:54] [Epoch    10/  500] trn/posterior_energy -1.947e+06, trn/neg_log_likelihood  2.521e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.991e-07, val/acc 7.442e-01, val/nll 7.590e-01 (best_acc: 7.125e-01 -> 7.442e-01, test_acc: 7.405e-01, test_nll: 7.573e-01)
[2023-02-04 19:17:08] [Epoch    11/  500] trn/posterior_energy -1.950e+06, trn/neg_log_likelihood  2.223e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.989e-07, val/acc 7.637e-01, val/nll 6.795e-01 (best_acc: 7.442e-01 -> 7.637e-01, test_acc: 7.663e-01, test_nll: 6.823e-01)
[2023-02-04 19:17:20] [Epoch    12/  500] trn/posterior_energy -1.953e+06, trn/neg_log_likelihood  1.972e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.987e-07, val/acc 7.518e-01, val/nll 7.419e-01
[2023-02-04 19:17:34] [Epoch    13/  500] trn/posterior_energy -1.955e+06, trn/neg_log_likelihood  1.742e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.985e-07, val/acc 7.871e-01, val/nll 6.313e-01 (best_acc: 7.637e-01 -> 7.871e-01, test_acc: 7.829e-01, test_nll: 6.292e-01)
[2023-02-04 19:17:46] [Epoch    14/  500] trn/posterior_energy -1.958e+06, trn/neg_log_likelihood  1.507e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.982e-07, val/acc 7.824e-01, val/nll 6.670e-01
[2023-02-04 19:17:58] [Epoch    15/  500] trn/posterior_energy -1.960e+06, trn/neg_log_likelihood  1.302e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.979e-07, val/acc 7.663e-01, val/nll 7.388e-01
[2023-02-04 19:18:12] [Epoch    16/  500] trn/posterior_energy -1.962e+06, trn/neg_log_likelihood  1.099e+04, trn/neg_log_prior -1.973e+06, trn/lr  9.976e-07, val/acc 7.895e-01, val/nll 6.712e-01 (best_acc: 7.871e-01 -> 7.895e-01, test_acc: 7.870e-01, test_nll: 6.753e-01)
