[2023-02-05 00:12:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Mar 15 2022, 12:22:08) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-05 00:12:41] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.7
- args.prior_precision   : 20.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000010_mo-0.70_pr-03/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-05 00:12:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-05 00:13:29] [Epoch     1/  500] trn/posterior_energy  2.668e+06, trn/neg_log_likelihood  8.308e+04, trn/neg_log_prior  2.585e+06, trn/lr  1.000e-06, val/acc 3.741e-01, val/nll 1.682e+00 (best_acc: 0.000e+00 -> 3.741e-01, test_acc: 3.806e-01, test_nll: 1.673e+00)
[2023-02-05 00:13:43] [Epoch     2/  500] trn/posterior_energy  2.644e+06, trn/neg_log_likelihood  6.441e+04, trn/neg_log_prior  2.579e+06, trn/lr  1.000e-06, val/acc 4.455e-01, val/nll 1.549e+00 (best_acc: 3.741e-01 -> 4.455e-01, test_acc: 4.437e-01, test_nll: 1.555e+00)
[2023-02-05 00:13:57] [Epoch     3/  500] trn/posterior_energy  2.630e+06, trn/neg_log_likelihood  5.593e+04, trn/neg_log_prior  2.574e+06, trn/lr  9.999e-07, val/acc 4.843e-01, val/nll 1.393e+00 (best_acc: 4.455e-01 -> 4.843e-01, test_acc: 4.890e-01, test_nll: 1.383e+00)
[2023-02-05 00:14:12] [Epoch     4/  500] trn/posterior_energy  2.619e+06, trn/neg_log_likelihood  5.000e+04, trn/neg_log_prior  2.569e+06, trn/lr  9.999e-07, val/acc 5.649e-01, val/nll 1.208e+00 (best_acc: 4.843e-01 -> 5.649e-01, test_acc: 5.497e-01, test_nll: 1.219e+00)
[2023-02-05 00:14:26] [Epoch     5/  500] trn/posterior_energy  2.610e+06, trn/neg_log_likelihood  4.471e+04, trn/neg_log_prior  2.565e+06, trn/lr  9.998e-07, val/acc 6.156e-01, val/nll 1.067e+00 (best_acc: 5.649e-01 -> 6.156e-01, test_acc: 6.117e-01, test_nll: 1.072e+00)
[2023-02-05 00:14:39] [Epoch     6/  500] trn/posterior_energy  2.601e+06, trn/neg_log_likelihood  4.028e+04, trn/neg_log_prior  2.561e+06, trn/lr  9.997e-07, val/acc 6.461e-01, val/nll 9.882e-01 (best_acc: 6.156e-01 -> 6.461e-01, test_acc: 6.506e-01, test_nll: 9.906e-01)
[2023-02-05 00:14:54] [Epoch     7/  500] trn/posterior_energy  2.593e+06, trn/neg_log_likelihood  3.612e+04, trn/neg_log_prior  2.557e+06, trn/lr  9.996e-07, val/acc 6.471e-01, val/nll 9.523e-01 (best_acc: 6.461e-01 -> 6.471e-01, test_acc: 6.436e-01, test_nll: 9.723e-01)
[2023-02-05 00:15:07] [Epoch     8/  500] trn/posterior_energy  2.586e+06, trn/neg_log_likelihood  3.232e+04, trn/neg_log_prior  2.554e+06, trn/lr  9.994e-07, val/acc 7.058e-01, val/nll 8.325e-01 (best_acc: 6.471e-01 -> 7.058e-01, test_acc: 7.126e-01, test_nll: 8.213e-01)
[2023-02-05 00:15:21] [Epoch     9/  500] trn/posterior_energy  2.579e+06, trn/neg_log_likelihood  2.897e+04, trn/neg_log_prior  2.551e+06, trn/lr  9.993e-07, val/acc 7.251e-01, val/nll 7.908e-01 (best_acc: 7.058e-01 -> 7.251e-01, test_acc: 7.225e-01, test_nll: 8.022e-01)
[2023-02-05 00:15:35] [Epoch    10/  500] trn/posterior_energy  2.574e+06, trn/neg_log_likelihood  2.599e+04, trn/neg_log_prior  2.548e+06, trn/lr  9.991e-07, val/acc 7.506e-01, val/nll 7.235e-01 (best_acc: 7.251e-01 -> 7.506e-01, test_acc: 7.572e-01, test_nll: 7.303e-01)
[2023-02-05 00:15:47] [Epoch    11/  500] trn/posterior_energy  2.568e+06, trn/neg_log_likelihood  2.333e+04, trn/neg_log_prior  2.545e+06, trn/lr  9.989e-07, val/acc 7.283e-01, val/nll 7.728e-01
