[2023-02-06 08:31:46] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-06 08:31:46] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 4
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_ne          : 500
- args.optim_lr          : 3e-06
- args.optim_momentum    : 0.99
- args.prior_precision   : 40.0
- args.save              : /home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20x4-FRN-Swish/SGDM/bs-0080_ne-0500_lr-0.0000030_mo-0.99_pr-04/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-06 08:31:52] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-06 08:32:36] [Epoch     1/  500] trn/posterior_energy  4.271e+06, trn/neg_log_likelihood  1.074e+05, trn/neg_log_prior  4.163e+06, trn/lr  3.000e-06, val/acc 1.869e-01, val/nll 2.138e+00 (best_acc: 0.000e+00 -> 1.869e-01, test_acc: 1.803e-01, test_nll: 2.146e+00)
[2023-02-06 08:32:50] [Epoch     2/  500] trn/posterior_energy  4.154e+06, trn/neg_log_likelihood  8.398e+04, trn/neg_log_prior  4.070e+06, trn/lr  3.000e-06, val/acc 2.113e-01, val/nll 2.098e+00 (best_acc: 1.869e-01 -> 2.113e-01, test_acc: 2.136e-01, test_nll: 2.098e+00)
[2023-02-06 08:33:04] [Epoch     3/  500] trn/posterior_energy  4.460e+06, trn/neg_log_likelihood  8.387e+04, trn/neg_log_prior  4.376e+06, trn/lr  3.000e-06, val/acc 2.581e-01, val/nll 2.032e+00 (best_acc: 2.113e-01 -> 2.581e-01, test_acc: 2.610e-01, test_nll: 2.033e+00)
[2023-02-06 08:33:16] [Epoch     4/  500] trn/posterior_energy  4.095e+06, trn/neg_log_likelihood  8.373e+04, trn/neg_log_prior  4.011e+06, trn/lr  3.000e-06, val/acc 1.825e-01, val/nll 2.130e+00
[2023-02-06 08:33:29] [Epoch     5/  500] trn/posterior_energy  4.084e+06, trn/neg_log_likelihood  8.479e+04, trn/neg_log_prior  3.999e+06, trn/lr  2.999e-06, val/acc 1.791e-01, val/nll 2.080e+00
[2023-02-06 08:33:41] [Epoch     6/  500] trn/posterior_energy  4.400e+06, trn/neg_log_likelihood  1.008e+05, trn/neg_log_prior  4.299e+06, trn/lr  2.999e-06, val/acc 9.945e-02, val/nll 2.364e+00
[2023-02-06 08:33:53] [Epoch     7/  500] trn/posterior_energy  4.138e+06, trn/neg_log_likelihood  9.650e+04, trn/neg_log_prior  4.041e+06, trn/lr  2.999e-06, val/acc 9.856e-02, val/nll 2.318e+00
[2023-02-06 08:34:05] [Epoch     8/  500] trn/posterior_energy  4.084e+06, trn/neg_log_likelihood  9.538e+04, trn/neg_log_prior  3.988e+06, trn/lr  2.998e-06, val/acc 9.281e-02, val/nll 2.332e+00
[2023-02-06 08:34:17] [Epoch     9/  500] trn/posterior_energy  4.083e+06, trn/neg_log_likelihood  9.522e+04, trn/neg_log_prior  3.988e+06, trn/lr  2.998e-06, val/acc 9.856e-02, val/nll 2.333e+00
[2023-02-06 08:34:29] [Epoch    10/  500] trn/posterior_energy  4.093e+06, trn/neg_log_likelihood  9.553e+04, trn/neg_log_prior  3.998e+06, trn/lr  2.997e-06, val/acc 9.978e-02, val/nll 2.341e+00
[2023-02-06 08:34:41] [Epoch    11/  500] trn/posterior_energy  4.090e+06, trn/neg_log_likelihood  9.520e+04, trn/neg_log_prior  3.995e+06, trn/lr  2.997e-06, val/acc 9.856e-02, val/nll 2.332e+00
[2023-02-06 08:34:53] [Epoch    12/  500] trn/posterior_energy  4.096e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  4.000e+06, trn/lr  2.996e-06, val/acc 9.978e-02, val/nll 2.350e+00
[2023-02-06 08:35:05] [Epoch    13/  500] trn/posterior_energy  4.089e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  3.994e+06, trn/lr  2.995e-06, val/acc 9.978e-02, val/nll 2.337e+00
[2023-02-06 08:35:17] [Epoch    14/  500] trn/posterior_energy  4.085e+06, trn/neg_log_likelihood  9.534e+04, trn/neg_log_prior  3.990e+06, trn/lr  2.995e-06, val/acc 9.281e-02, val/nll 2.355e+00
[2023-02-06 08:35:29] [Epoch    15/  500] trn/posterior_energy  4.107e+06, trn/neg_log_likelihood  9.552e+04, trn/neg_log_prior  4.012e+06, trn/lr  2.994e-06, val/acc 9.978e-02, val/nll 2.325e+00
[2023-02-06 08:35:41] [Epoch    16/  500] trn/posterior_energy  4.107e+06, trn/neg_log_likelihood  9.562e+04, trn/neg_log_prior  4.011e+06, trn/lr  2.993e-06, val/acc 9.856e-02, val/nll 2.349e+00
