[2023-06-09 15:16:25] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-09 15:16:25] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 18
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/R18x1_b2048_i64k_lr0.8-wd0.0001-s42-fp16/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-09 15:16:25] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-06-09 15:16:40] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-06-09 15:16:41] The number of trainable parameters: 11688512
[2023-06-09 15:23:05] [Iter    1000/  64000] trn/loss 6.330e+00, trn/negative_log_likelihood 6.330e+00, trn/w_norm 1.102e+02, trn/g_norm 5.465e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 4.458e-02, val/nll 5.742e+00, val/best_acc 4.458e-02 (best_acc: 0.000e+00 -> 4.458e-02)
[2023-06-09 15:28:47] [Iter    2000/  64000] trn/loss 4.816e+00, trn/negative_log_likelihood 4.816e+00, trn/w_norm 1.045e+02, trn/g_norm 1.121e+00, trn/lr 1.874e-01, trn/dyn_scale 6.554e+04, val/acc 1.794e-01, val/nll 4.179e+00, val/best_acc 1.794e-01 (best_acc: 4.458e-02 -> 1.794e-01)
[2023-06-09 15:34:02] [Iter    3000/  64000] trn/loss 3.742e+00, trn/negative_log_likelihood 3.742e+00, trn/w_norm 1.024e+02, trn/g_norm 1.007e+00, trn/lr 3.124e-01, trn/dyn_scale 6.554e+04, val/acc 2.909e-01, val/nll 3.403e+00, val/best_acc 2.909e-01 (best_acc: 1.794e-01 -> 2.909e-01)
[2023-06-09 15:39:08] [Iter    4000/  64000] trn/loss 3.209e+00, trn/negative_log_likelihood 3.209e+00, trn/w_norm 1.078e+02, trn/g_norm 8.963e-01, trn/lr 4.374e-01, trn/dyn_scale 6.554e+04, val/acc 3.462e-01, val/nll 3.009e+00, val/best_acc 3.462e-01 (best_acc: 2.909e-01 -> 3.462e-01)
[2023-06-09 15:44:10] [Iter    5000/  64000] trn/loss 2.966e+00, trn/negative_log_likelihood 2.966e+00, trn/w_norm 1.170e+02, trn/g_norm 8.324e-01, trn/lr 5.624e-01, trn/dyn_scale 6.554e+04, val/acc 3.708e-01, val/nll 2.861e+00, val/best_acc 3.708e-01 (best_acc: 3.462e-01 -> 3.708e-01)
[2023-06-09 15:49:03] [Iter    6000/  64000] trn/loss 2.862e+00, trn/negative_log_likelihood 2.862e+00, trn/w_norm 1.256e+02, trn/g_norm 7.851e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 3.542e-01, val/nll 2.977e+00, val/best_acc 3.708e-01
[2023-06-09 15:53:48] [Iter    7000/  64000] trn/loss 2.814e+00, trn/negative_log_likelihood 2.814e+00, trn/w_norm 1.321e+02, trn/g_norm 7.486e-01, trn/lr 7.899e-01, trn/dyn_scale 6.554e+04, val/acc 3.998e-01, val/nll 2.724e+00, val/best_acc 3.998e-01 (best_acc: 3.708e-01 -> 3.998e-01)
[2023-06-09 15:58:33] [Iter    8000/  64000] trn/loss 2.744e+00, trn/negative_log_likelihood 2.744e+00, trn/w_norm 1.348e+02, trn/g_norm 7.386e-01, trn/lr 7.992e-01, trn/dyn_scale 6.554e+04, val/acc 3.719e-01, val/nll 2.864e+00, val/best_acc 3.998e-01
[2023-06-09 16:03:21] [Iter    9000/  64000] trn/loss 2.697e+00, trn/negative_log_likelihood 2.697e+00, trn/w_norm 1.360e+02, trn/g_norm 7.405e-01, trn/lr 7.973e-01, trn/dyn_scale 6.554e+04, val/acc 3.924e-01, val/nll 2.774e+00, val/best_acc 3.998e-01
[2023-06-09 16:08:07] [Iter   10000/  64000] trn/loss 2.661e+00, trn/negative_log_likelihood 2.661e+00, trn/w_norm 1.367e+02, trn/g_norm 7.415e-01, trn/lr 7.942e-01, trn/dyn_scale 6.554e+04, val/acc 3.891e-01, val/nll 2.832e+00, val/best_acc 3.998e-01
[2023-06-09 16:12:53] [Iter   11000/  64000] trn/loss 2.629e+00, trn/negative_log_likelihood 2.629e+00, trn/w_norm 1.373e+02, trn/g_norm 7.417e-01, trn/lr 7.900e-01, trn/dyn_scale 6.554e+04, val/acc 3.967e-01, val/nll 2.740e+00, val/best_acc 3.998e-01
[2023-06-09 16:17:32] [Iter   12000/  64000] trn/loss 2.609e+00, trn/negative_log_likelihood 2.609e+00, trn/w_norm 1.375e+02, trn/g_norm 7.440e-01, trn/lr 7.846e-01, trn/dyn_scale 6.554e+04, val/acc 4.332e-01, val/nll 2.517e+00, val/best_acc 4.332e-01 (best_acc: 3.998e-01 -> 4.332e-01)
[2023-06-09 16:22:22] [Iter   13000/  64000] trn/loss 2.588e+00, trn/negative_log_likelihood 2.588e+00, trn/w_norm 1.377e+02, trn/g_norm 7.458e-01, trn/lr 7.780e-01, trn/dyn_scale 6.554e+04, val/acc 4.346e-01, val/nll 2.521e+00, val/best_acc 4.346e-01 (best_acc: 4.332e-01 -> 4.346e-01)
[2023-06-09 16:27:13] [Iter   14000/  64000] trn/loss 2.569e+00, trn/negative_log_likelihood 2.569e+00, trn/w_norm 1.378e+02, trn/g_norm 7.480e-01, trn/lr 7.703e-01, trn/dyn_scale 6.554e+04, val/acc 4.172e-01, val/nll 2.615e+00, val/best_acc 4.346e-01
[2023-06-09 16:32:06] [Iter   15000/  64000] trn/loss 2.552e+00, trn/negative_log_likelihood 2.552e+00, trn/w_norm 1.378e+02, trn/g_norm 7.496e-01, trn/lr 7.616e-01, trn/dyn_scale 6.554e+04, val/acc 4.394e-01, val/nll 2.486e+00, val/best_acc 4.394e-01 (best_acc: 4.346e-01 -> 4.394e-01)
[2023-06-09 16:36:53] [Iter   16000/  64000] trn/loss 2.539e+00, trn/negative_log_likelihood 2.539e+00, trn/w_norm 1.378e+02, trn/g_norm 7.535e-01, trn/lr 7.517e-01, trn/dyn_scale 6.554e+04, val/acc 4.382e-01, val/nll 2.515e+00, val/best_acc 4.394e-01
[2023-06-09 16:42:00] [Iter   17000/  64000] trn/loss 2.521e+00, trn/negative_log_likelihood 2.521e+00, trn/w_norm 1.376e+02, trn/g_norm 7.554e-01, trn/lr 7.408e-01, trn/dyn_scale 6.554e+04, val/acc 4.179e-01, val/nll 2.595e+00, val/best_acc 4.394e-01
[2023-06-09 16:47:16] [Iter   18000/  64000] trn/loss 2.507e+00, trn/negative_log_likelihood 2.507e+00, trn/w_norm 1.375e+02, trn/g_norm 7.594e-01, trn/lr 7.289e-01, trn/dyn_scale 6.554e+04, val/acc 4.353e-01, val/nll 2.514e+00, val/best_acc 4.394e-01
[2023-06-09 16:52:34] [Iter   19000/  64000] trn/loss 2.490e+00, trn/negative_log_likelihood 2.490e+00, trn/w_norm 1.373e+02, trn/g_norm 7.636e-01, trn/lr 7.160e-01, trn/dyn_scale 6.554e+04, val/acc 4.236e-01, val/nll 2.604e+00, val/best_acc 4.394e-01
[2023-06-09 16:57:46] [Iter   20000/  64000] trn/loss 2.476e+00, trn/negative_log_likelihood 2.476e+00, trn/w_norm 1.371e+02, trn/g_norm 7.683e-01, trn/lr 7.021e-01, trn/dyn_scale 6.554e+04, val/acc 4.388e-01, val/nll 2.490e+00, val/best_acc 4.394e-01
[2023-06-09 17:02:53] [Iter   21000/  64000] trn/loss 2.461e+00, trn/negative_log_likelihood 2.461e+00, trn/w_norm 1.367e+02, trn/g_norm 7.705e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.591e-01, val/nll 2.389e+00, val/best_acc 4.591e-01 (best_acc: 4.394e-01 -> 4.591e-01)
[2023-06-09 17:08:03] [Iter   22000/  64000] trn/loss 2.448e+00, trn/negative_log_likelihood 2.448e+00, trn/w_norm 1.364e+02, trn/g_norm 7.769e-01, trn/lr 6.718e-01, trn/dyn_scale 6.554e+04, val/acc 4.398e-01, val/nll 2.510e+00, val/best_acc 4.591e-01
[2023-06-09 17:13:01] [Iter   23000/  64000] trn/loss 2.429e+00, trn/negative_log_likelihood 2.429e+00, trn/w_norm 1.360e+02, trn/g_norm 7.823e-01, trn/lr 6.554e-01, trn/dyn_scale 6.554e+04, val/acc 4.589e-01, val/nll 2.379e+00, val/best_acc 4.591e-01
[2023-06-09 17:18:08] [Iter   24000/  64000] trn/loss 2.413e+00, trn/negative_log_likelihood 2.413e+00, trn/w_norm 1.356e+02, trn/g_norm 7.879e-01, trn/lr 6.383e-01, trn/dyn_scale 6.554e+04, val/acc 4.313e-01, val/nll 2.550e+00, val/best_acc 4.591e-01
