[2023-06-09 20:47:42] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-09 20:47:42] Command line arguments:
- args.data_root             : ./data/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/R34x1_b2048_i64k_lr0.8-wd0.0001-s42-fp16/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-09 20:47:43] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-06-09 20:47:59] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-06-09 20:48:00] The number of trainable parameters: 21796672
[2023-06-09 20:55:11] [Iter    1000/  64000] trn/loss 6.290e+00, trn/negative_log_likelihood 6.290e+00, trn/w_norm 1.451e+02, trn/g_norm 5.819e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 5.558e-02, val/nll 5.469e+00, val/best_acc 5.558e-02 (best_acc: 0.000e+00 -> 5.558e-02)
[2023-06-09 21:01:03] [Iter    2000/  64000] trn/loss 4.650e+00, trn/negative_log_likelihood 4.650e+00, trn/w_norm 1.342e+02, trn/g_norm 1.194e+00, trn/lr 1.874e-01, trn/dyn_scale 6.554e+04, val/acc 1.979e-01, val/nll 3.994e+00, val/best_acc 1.979e-01 (best_acc: 5.558e-02 -> 1.979e-01)
[2023-06-09 21:06:52] [Iter    3000/  64000] trn/loss 3.583e+00, trn/negative_log_likelihood 3.583e+00, trn/w_norm 1.232e+02, trn/g_norm 1.040e+00, trn/lr 3.124e-01, trn/dyn_scale 6.554e+04, val/acc 2.943e-01, val/nll 3.322e+00, val/best_acc 2.943e-01 (best_acc: 1.979e-01 -> 2.943e-01)
[2023-06-09 21:12:45] [Iter    4000/  64000] trn/loss 3.081e+00, trn/negative_log_likelihood 3.081e+00, trn/w_norm 1.195e+02, trn/g_norm 9.197e-01, trn/lr 4.374e-01, trn/dyn_scale 6.554e+04, val/acc 3.599e-01, val/nll 2.911e+00, val/best_acc 3.599e-01 (best_acc: 2.943e-01 -> 3.599e-01)
[2023-06-09 21:18:28] [Iter    5000/  64000] trn/loss 2.841e+00, trn/negative_log_likelihood 2.841e+00, trn/w_norm 1.237e+02, trn/g_norm 8.595e-01, trn/lr 5.624e-01, trn/dyn_scale 6.554e+04, val/acc 3.291e-01, val/nll 3.133e+00, val/best_acc 3.599e-01
[2023-06-09 21:24:17] [Iter    6000/  64000] trn/loss 2.731e+00, trn/negative_log_likelihood 2.731e+00, trn/w_norm 1.310e+02, trn/g_norm 8.116e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 3.660e-01, val/nll 2.873e+00, val/best_acc 3.660e-01 (best_acc: 3.599e-01 -> 3.660e-01)
[2023-06-09 21:30:05] [Iter    7000/  64000] trn/loss 2.670e+00, trn/negative_log_likelihood 2.670e+00, trn/w_norm 1.375e+02, trn/g_norm 7.757e-01, trn/lr 7.899e-01, trn/dyn_scale 6.554e+04, val/acc 3.915e-01, val/nll 2.748e+00, val/best_acc 3.915e-01 (best_acc: 3.660e-01 -> 3.915e-01)
[2023-06-09 21:35:51] [Iter    8000/  64000] trn/loss 2.596e+00, trn/negative_log_likelihood 2.596e+00, trn/w_norm 1.404e+02, trn/g_norm 7.671e-01, trn/lr 7.992e-01, trn/dyn_scale 6.554e+04, val/acc 4.204e-01, val/nll 2.566e+00, val/best_acc 4.204e-01 (best_acc: 3.915e-01 -> 4.204e-01)
[2023-06-09 21:41:32] [Iter    9000/  64000] trn/loss 2.543e+00, trn/negative_log_likelihood 2.543e+00, trn/w_norm 1.416e+02, trn/g_norm 7.674e-01, trn/lr 7.973e-01, trn/dyn_scale 6.554e+04, val/acc 4.390e-01, val/nll 2.484e+00, val/best_acc 4.390e-01 (best_acc: 4.204e-01 -> 4.390e-01)
[2023-06-09 21:47:23] [Iter   10000/  64000] trn/loss 2.507e+00, trn/negative_log_likelihood 2.507e+00, trn/w_norm 1.424e+02, trn/g_norm 7.685e-01, trn/lr 7.942e-01, trn/dyn_scale 6.554e+04, val/acc 4.063e-01, val/nll 2.683e+00, val/best_acc 4.390e-01
[2023-06-09 21:53:04] [Iter   11000/  64000] trn/loss 2.476e+00, trn/negative_log_likelihood 2.476e+00, trn/w_norm 1.430e+02, trn/g_norm 7.707e-01, trn/lr 7.900e-01, trn/dyn_scale 6.554e+04, val/acc 4.044e-01, val/nll 2.675e+00, val/best_acc 4.390e-01
