[2023-05-31 15:28:38] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 15:28:38] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 101
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_101x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 15:28:39] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-05-31 15:29:08] images.shape: (8, 256, 224, 224, 3), output.shape: (8, 256, 2048)
[2023-05-31 15:29:10] The number of trainable parameters: 44548160
[2023-05-31 15:38:34] [Iter    1000/  64000] trn/loss 6.177e+00, trn/negative_log_likelihood 6.177e+00, trn/w_norm 3.473e+02, trn/g_norm 7.077e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 6.402e-02, val/nll 5.469e+00, val/best_acc 6.402e-02 (best_acc: 0.000e+00 -> 6.402e-02)
[2023-05-31 15:47:16] [Iter    2000/  64000] trn/loss 4.812e+00, trn/negative_log_likelihood 4.812e+00, trn/w_norm 3.091e+02, trn/g_norm 1.086e+00, trn/lr 1.874e-01, trn/dyn_scale 6.554e+04, val/acc 1.306e-01, val/nll 4.680e+00, val/best_acc 1.306e-01 (best_acc: 6.402e-02 -> 1.306e-01)
[2023-05-31 15:56:02] [Iter    3000/  64000] trn/loss 3.684e+00, trn/negative_log_likelihood 3.684e+00, trn/w_norm 2.501e+02, trn/g_norm 1.053e+00, trn/lr 3.124e-01, trn/dyn_scale 6.554e+04, val/acc 2.843e-01, val/nll 3.386e+00, val/best_acc 2.843e-01 (best_acc: 1.306e-01 -> 2.843e-01)
[2023-05-31 16:04:45] [Iter    4000/  64000] trn/loss 3.045e+00, trn/negative_log_likelihood 3.045e+00, trn/w_norm 1.943e+02, trn/g_norm 9.624e-01, trn/lr 4.374e-01, trn/dyn_scale 6.554e+04, val/acc 3.511e-01, val/nll 3.027e+00, val/best_acc 3.511e-01 (best_acc: 2.843e-01 -> 3.511e-01)
[2023-05-31 16:13:29] [Iter    5000/  64000] trn/loss 2.741e+00, trn/negative_log_likelihood 2.741e+00, trn/w_norm 1.598e+02, trn/g_norm 9.083e-01, trn/lr 5.624e-01, trn/dyn_scale 6.554e+04, val/acc 3.931e-01, val/nll 2.732e+00, val/best_acc 3.931e-01 (best_acc: 3.511e-01 -> 3.931e-01)
[2023-05-31 16:22:09] [Iter    6000/  64000] trn/loss 2.592e+00, trn/negative_log_likelihood 2.592e+00, trn/w_norm 1.493e+02, trn/g_norm 8.688e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 4.146e-01, val/nll 2.652e+00, val/best_acc 4.146e-01 (best_acc: 3.931e-01 -> 4.146e-01)
[2023-05-31 16:30:51] [Iter    7000/  64000] trn/loss 2.503e+00, trn/negative_log_likelihood 2.503e+00, trn/w_norm 1.505e+02, trn/g_norm 8.284e-01, trn/lr 7.899e-01, trn/dyn_scale 6.554e+04, val/acc 4.383e-01, val/nll 2.492e+00, val/best_acc 4.383e-01 (best_acc: 4.146e-01 -> 4.383e-01)
[2023-05-31 16:39:26] [Iter    8000/  64000] trn/loss 2.408e+00, trn/negative_log_likelihood 2.408e+00, trn/w_norm 1.522e+02, trn/g_norm 8.193e-01, trn/lr 7.992e-01, trn/dyn_scale 6.554e+04, val/acc 4.698e-01, val/nll 2.307e+00, val/best_acc 4.698e-01 (best_acc: 4.383e-01 -> 4.698e-01)
[2023-05-31 16:47:56] [Iter    9000/  64000] trn/loss 2.334e+00, trn/negative_log_likelihood 2.334e+00, trn/w_norm 1.532e+02, trn/g_norm 8.190e-01, trn/lr 7.973e-01, trn/dyn_scale 6.554e+04, val/acc 4.654e-01, val/nll 2.328e+00, val/best_acc 4.698e-01
[2023-05-31 16:56:21] [Iter   10000/  64000] trn/loss 2.297e+00, trn/negative_log_likelihood 2.297e+00, trn/w_norm 1.541e+02, trn/g_norm 8.216e-01, trn/lr 7.942e-01, trn/dyn_scale 6.554e+04, val/acc 4.905e-01, val/nll 2.225e+00, val/best_acc 4.905e-01 (best_acc: 4.698e-01 -> 4.905e-01)
[2023-05-31 17:04:54] [Iter   11000/  64000] trn/loss 2.258e+00, trn/negative_log_likelihood 2.258e+00, trn/w_norm 1.547e+02, trn/g_norm 8.234e-01, trn/lr 7.900e-01, trn/dyn_scale 6.554e+04, val/acc 4.833e-01, val/nll 2.266e+00, val/best_acc 4.905e-01
