[2023-06-01 02:42:51] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-06-01 02:42:51] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 152
- args.resnet_width          : 1
- args.batch_size            : 1024
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 128000
- args.optim_lr              : 0.4
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0001
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_152x1-batch_1024-iter_128k-lr_0.4-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-06-01 02:42:52] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=4, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=5, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=6, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=7, process_index=0, slice_index=0)]

[2023-06-01 02:43:22] images.shape: (8, 128, 224, 224, 3), output.shape: (8, 128, 2048)
[2023-06-01 02:43:25] The number of trainable parameters: 60191808
[2023-06-01 02:53:10] [Iter    1000/ 128000] trn/loss 6.529e+00, trn/negative_log_likelihood 6.529e+00, trn/w_norm 4.212e+02, trn/g_norm 7.353e-01, trn/lr 1.561e-02, trn/dyn_scale 6.554e+04, val/acc 3.026e-02, val/nll 6.101e+00, val/best_acc 3.026e-02 (best_acc: 0.000e+00 -> 3.026e-02)
[2023-06-01 03:01:39] [Iter    2000/ 128000] trn/loss 5.799e+00, trn/negative_log_likelihood 5.799e+00, trn/w_norm 4.086e+02, trn/g_norm 1.112e+00, trn/lr 4.686e-02, trn/dyn_scale 6.554e+04, val/acc 6.306e-02, val/nll 5.469e+00, val/best_acc 6.306e-02 (best_acc: 3.026e-02 -> 6.306e-02)
[2023-06-01 03:10:12] [Iter    3000/ 128000] trn/loss 5.095e+00, trn/negative_log_likelihood 5.095e+00, trn/w_norm 3.847e+02, trn/g_norm 1.298e+00, trn/lr 7.811e-02, trn/dyn_scale 6.554e+04, val/acc 1.136e-01, val/nll 4.840e+00, val/best_acc 1.136e-01 (best_acc: 6.306e-02 -> 1.136e-01)
[2023-06-01 03:18:39] [Iter    4000/ 128000] trn/loss 4.392e+00, trn/negative_log_likelihood 4.392e+00, trn/w_norm 3.523e+02, trn/g_norm 1.383e+00, trn/lr 1.094e-01, trn/dyn_scale 6.554e+04, val/acc 2.001e-01, val/nll 4.007e+00, val/best_acc 2.001e-01 (best_acc: 1.136e-01 -> 2.001e-01)
[2023-06-01 03:27:18] [Iter    5000/ 128000] trn/loss 3.814e+00, trn/negative_log_likelihood 3.814e+00, trn/w_norm 3.148e+02, trn/g_norm 1.371e+00, trn/lr 1.406e-01, trn/dyn_scale 6.554e+04, val/acc 2.407e-01, val/nll 3.671e+00, val/best_acc 2.407e-01 (best_acc: 2.001e-01 -> 2.407e-01)
[2023-06-01 03:35:53] [Iter    6000/ 128000] trn/loss 3.366e+00, trn/negative_log_likelihood 3.366e+00, trn/w_norm 2.761e+02, trn/g_norm 1.333e+00, trn/lr 1.719e-01, trn/dyn_scale 6.554e+04, val/acc 3.299e-01, val/nll 3.139e+00, val/best_acc 3.299e-01 (best_acc: 2.407e-01 -> 3.299e-01)
