[2023-05-31 13:25:45] Environments:
------------  ----------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.10 (main, Mar 21 2023, 18:45:11) [GCC 11.2.0]
JAX           0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jax
jaxlib        0.4.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/jaxlib
Flax          0.6.10 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/flax
Optax         0.1.5 @/mnt/home/giung/.conda/envs/jax-cuda11/lib/python3.10/site-packages/optax
------------  ----------------------------------------------------------------------------------

[2023-05-31 13:25:45] Command line arguments:
- args.data_root             : /mnt/local/datasets/manual/
- args.data_name             : imagenet2012
- args.resnet_depth          : 34
- args.resnet_width          : 1
- args.batch_size            : 2048
- args.num_workers           : 32
- args.prefetch_factor       : 2
- args.optim_ni              : 64000
- args.optim_lr              : 0.8
- args.optim_momentum        : 0.9
- args.optim_weight_decay    : 0.0001
- args.optim_label_smoothing : 0.0
- args.optim_global_clipping : None
- args.save                  : ./save/imagenet2012/resnet_34x1-batch_2048-iter_64k-lr_0.8-wd_0.0001-fp16/42/
- args.seed                  : 42
- args.mixed_precision       : True

[2023-05-31 13:25:47] Multiple local devices are detected:
[StreamExecutorGpuDevice(id=0, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=1, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=2, process_index=0, slice_index=0), StreamExecutorGpuDevice(id=3, process_index=0, slice_index=0)]

[2023-05-31 13:26:32] images.shape: (4, 512, 224, 224, 3), output.shape: (4, 512, 512)
[2023-05-31 13:26:33] The number of trainable parameters: 21796672
[2023-05-31 13:36:34] [Iter    1000/  64000] trn/loss 6.297e+00, trn/negative_log_likelihood 6.297e+00, trn/w_norm 1.451e+02, trn/g_norm 5.745e-01, trn/lr 6.244e-02, trn/dyn_scale 6.554e+04, val/acc 5.876e-02, val/nll 5.438e+00, val/best_acc 5.876e-02 (best_acc: 0.000e+00 -> 5.876e-02)
[2023-05-31 13:44:12] [Iter    2000/  64000] trn/loss 4.660e+00, trn/negative_log_likelihood 4.660e+00, trn/w_norm 1.341e+02, trn/g_norm 1.198e+00, trn/lr 1.874e-01, trn/dyn_scale 6.554e+04, val/acc 1.552e-01, val/nll 4.452e+00, val/best_acc 1.552e-01 (best_acc: 5.876e-02 -> 1.552e-01)
[2023-05-31 13:52:11] [Iter    3000/  64000] trn/loss 3.594e+00, trn/negative_log_likelihood 3.594e+00, trn/w_norm 1.232e+02, trn/g_norm 1.040e+00, trn/lr 3.124e-01, trn/dyn_scale 6.554e+04, val/acc 2.788e-01, val/nll 3.484e+00, val/best_acc 2.788e-01 (best_acc: 1.552e-01 -> 2.788e-01)
[2023-05-31 13:59:58] [Iter    4000/  64000] trn/loss 3.072e+00, trn/negative_log_likelihood 3.072e+00, trn/w_norm 1.196e+02, trn/g_norm 9.222e-01, trn/lr 4.374e-01, trn/dyn_scale 6.554e+04, val/acc 3.611e-01, val/nll 2.902e+00, val/best_acc 3.611e-01 (best_acc: 2.788e-01 -> 3.611e-01)
[2023-05-31 14:06:13] [Iter    5000/  64000] trn/loss 2.832e+00, trn/negative_log_likelihood 2.832e+00, trn/w_norm 1.238e+02, trn/g_norm 8.580e-01, trn/lr 5.624e-01, trn/dyn_scale 6.554e+04, val/acc 3.778e-01, val/nll 2.831e+00, val/best_acc 3.778e-01 (best_acc: 3.611e-01 -> 3.778e-01)
[2023-05-31 14:12:18] [Iter    6000/  64000] trn/loss 2.719e+00, trn/negative_log_likelihood 2.719e+00, trn/w_norm 1.310e+02, trn/g_norm 8.123e-01, trn/lr 6.874e-01, trn/dyn_scale 6.554e+04, val/acc 3.782e-01, val/nll 2.835e+00, val/best_acc 3.782e-01 (best_acc: 3.778e-01 -> 3.782e-01)
[2023-05-31 14:18:32] [Iter    7000/  64000] trn/loss 2.663e+00, trn/negative_log_likelihood 2.663e+00, trn/w_norm 1.375e+02, trn/g_norm 7.746e-01, trn/lr 7.899e-01, trn/dyn_scale 6.554e+04, val/acc 3.888e-01, val/nll 2.764e+00, val/best_acc 3.888e-01 (best_acc: 3.782e-01 -> 3.888e-01)
[2023-05-31 14:24:51] [Iter    8000/  64000] trn/loss 2.591e+00, trn/negative_log_likelihood 2.591e+00, trn/w_norm 1.402e+02, trn/g_norm 7.667e-01, trn/lr 7.992e-01, trn/dyn_scale 6.554e+04, val/acc 4.046e-01, val/nll 2.686e+00, val/best_acc 4.046e-01 (best_acc: 3.888e-01 -> 4.046e-01)
[2023-05-31 14:31:18] [Iter    9000/  64000] trn/loss 2.539e+00, trn/negative_log_likelihood 2.539e+00, trn/w_norm 1.415e+02, trn/g_norm 7.681e-01, trn/lr 7.973e-01, trn/dyn_scale 6.554e+04, val/acc 4.380e-01, val/nll 2.508e+00, val/best_acc 4.380e-01 (best_acc: 4.046e-01 -> 4.380e-01)
[2023-05-31 14:37:43] [Iter   10000/  64000] trn/loss 2.506e+00, trn/negative_log_likelihood 2.506e+00, trn/w_norm 1.424e+02, trn/g_norm 7.691e-01, trn/lr 7.942e-01, trn/dyn_scale 6.554e+04, val/acc 4.001e-01, val/nll 2.719e+00, val/best_acc 4.380e-01
[2023-05-31 14:44:05] [Iter   11000/  64000] trn/loss 2.467e+00, trn/negative_log_likelihood 2.467e+00, trn/w_norm 1.431e+02, trn/g_norm 7.717e-01, trn/lr 7.900e-01, trn/dyn_scale 6.554e+04, val/acc 4.246e-01, val/nll 2.540e+00, val/best_acc 4.380e-01
