[2023-02-12 09:19:53] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-12 09:19:53] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-12 09:19:59] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-12 09:21:11] [Epoch     1/  200] trn/loss 4.294e+00, trn/lr 1.000e+00, trn/scale 9.324e-01, val/acc 1.165e-01, val/nll 3.869e+00 (best_acc: 0.000e+00 -> 1.165e-01, test_acc: 1.167e-01, test_nll: 3.841e+00)
[2023-02-12 09:21:20] [Epoch     2/  200] trn/loss 3.567e+00, trn/lr 9.999e-01, trn/scale 8.098e-01, val/acc 1.898e-01, val/nll 3.426e+00 (best_acc: 1.165e-01 -> 1.898e-01, test_acc: 1.882e-01, test_nll: 3.398e+00)
[2023-02-12 09:21:29] [Epoch     3/  200] trn/loss 3.133e+00, trn/lr 9.996e-01, trn/scale 7.054e-01, val/acc 2.134e-01, val/nll 3.264e+00 (best_acc: 1.898e-01 -> 2.134e-01, test_acc: 2.167e-01, test_nll: 3.228e+00)
[2023-02-12 09:21:38] [Epoch     4/  200] trn/loss 2.829e+00, trn/lr 9.992e-01, trn/scale 6.164e-01, val/acc 2.087e-01, val/nll 3.298e+00
[2023-02-12 09:21:47] [Epoch     5/  200] trn/loss 2.635e+00, trn/lr 9.987e-01, trn/scale 5.406e-01, val/acc 2.435e-01, val/nll 2.988e+00 (best_acc: 2.134e-01 -> 2.435e-01, test_acc: 2.438e-01, test_nll: 2.943e+00)
[2023-02-12 09:21:55] [Epoch     6/  200] trn/loss 2.536e+00, trn/lr 9.981e-01, trn/scale 4.759e-01, val/acc 1.894e-01, val/nll 3.648e+00
[2023-02-12 09:22:03] [Epoch     7/  200] trn/loss 2.511e+00, trn/lr 9.974e-01, trn/scale 4.209e-01, val/acc 2.139e-01, val/nll 3.667e+00
[2023-02-12 09:22:11] [Epoch     8/  200] trn/loss 2.540e+00, trn/lr 9.965e-01, trn/scale 3.740e-01, val/acc 1.634e-01, val/nll 4.392e+00
[2023-02-12 09:22:20] [Epoch     9/  200] trn/loss 2.593e+00, trn/lr 9.955e-01, trn/scale 3.340e-01, val/acc 1.817e-01, val/nll 3.838e+00
[2023-02-12 09:22:28] [Epoch    10/  200] trn/loss 2.654e+00, trn/lr 9.944e-01, trn/scale 2.999e-01, val/acc 1.673e-01, val/nll 3.855e+00
[2023-02-12 09:22:36] [Epoch    11/  200] trn/loss 2.727e+00, trn/lr 9.932e-01, trn/scale 2.709e-01, val/acc 1.472e-01, val/nll 4.065e+00
[2023-02-12 09:22:44] [Epoch    12/  200] trn/loss 2.802e+00, trn/lr 9.919e-01, trn/scale 2.462e-01, val/acc 1.729e-01, val/nll 3.520e+00
[2023-02-12 09:22:52] [Epoch    13/  200] trn/loss 2.930e+00, trn/lr 9.904e-01, trn/scale 2.251e-01, val/acc 1.730e-01, val/nll 3.652e+00
[2023-02-12 09:23:01] [Epoch    14/  200] trn/loss 3.001e+00, trn/lr 9.888e-01, trn/scale 2.071e-01, val/acc 1.696e-01, val/nll 3.500e+00
[2023-02-12 09:23:09] [Epoch    15/  200] trn/loss 3.076e+00, trn/lr 9.871e-01, trn/scale 1.918e-01, val/acc 2.909e-02, val/nll 8.250e+00
[2023-02-12 09:23:17] [Epoch    16/  200] trn/loss 3.169e+00, trn/lr 9.853e-01, trn/scale 1.787e-01, val/acc 7.356e-02, val/nll 4.662e+00
[2023-02-12 09:23:25] [Epoch    17/  200] trn/loss 3.277e+00, trn/lr 9.833e-01, trn/scale 1.676e-01, val/acc 5.796e-02, val/nll 4.447e+00
[2023-02-12 09:23:33] [Epoch    18/  200] trn/loss 3.310e+00, trn/lr 9.812e-01, trn/scale 1.581e-01, val/acc 1.195e-02, val/nll 9.971e+00
[2023-02-12 09:23:41] [Epoch    19/  200] trn/loss 3.394e+00, trn/lr 9.790e-01, trn/scale 1.500e-01, val/acc 4.923e-02, val/nll 6.383e+00
[2023-02-12 09:23:50] [Epoch    20/  200] trn/loss 3.440e+00, trn/lr 9.767e-01, trn/scale 1.431e-01, val/acc 5.409e-02, val/nll 4.920e+00
