[2023-02-12 16:40:49] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-12 16:40:49] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.970_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-12 16:41:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-12 16:42:14] [Epoch     1/  200] trn/loss 4.394e+00, trn/lr 1.000e+00, trn/scale 9.324e-01, val/acc 9.480e-02, val/nll 4.020e+00 (best_acc: 0.000e+00 -> 9.480e-02, test_acc: 9.620e-02, test_nll: 3.992e+00)
[2023-02-12 16:42:23] [Epoch     2/  200] trn/loss 3.661e+00, trn/lr 9.999e-01, trn/scale 8.098e-01, val/acc 1.462e-01, val/nll 3.562e+00 (best_acc: 9.480e-02 -> 1.462e-01, test_acc: 1.586e-01, test_nll: 3.538e+00)
[2023-02-12 16:42:33] [Epoch     3/  200] trn/loss 3.283e+00, trn/lr 9.996e-01, trn/scale 7.053e-01, val/acc 1.804e-01, val/nll 3.503e+00 (best_acc: 1.462e-01 -> 1.804e-01, test_acc: 1.882e-01, test_nll: 3.477e+00)
[2023-02-12 16:42:42] [Epoch     4/  200] trn/loss 2.992e+00, trn/lr 9.992e-01, trn/scale 6.163e-01, val/acc 2.202e-01, val/nll 3.126e+00 (best_acc: 1.804e-01 -> 2.202e-01, test_acc: 2.262e-01, test_nll: 3.087e+00)
[2023-02-12 16:42:50] [Epoch     5/  200] trn/loss 2.777e+00, trn/lr 9.987e-01, trn/scale 5.405e-01, val/acc 1.793e-01, val/nll 3.514e+00
[2023-02-12 16:43:00] [Epoch     6/  200] trn/loss 2.636e+00, trn/lr 9.981e-01, trn/scale 4.759e-01, val/acc 2.565e-01, val/nll 3.026e+00 (best_acc: 2.202e-01 -> 2.565e-01, test_acc: 2.589e-01, test_nll: 3.008e+00)
[2023-02-12 16:43:08] [Epoch     7/  200] trn/loss 2.570e+00, trn/lr 9.974e-01, trn/scale 4.208e-01, val/acc 2.442e-01, val/nll 2.927e+00
[2023-02-12 16:43:16] [Epoch     8/  200] trn/loss 2.566e+00, trn/lr 9.965e-01, trn/scale 3.739e-01, val/acc 2.408e-01, val/nll 3.037e+00
[2023-02-12 16:43:24] [Epoch     9/  200] trn/loss 2.573e+00, trn/lr 9.955e-01, trn/scale 3.339e-01, val/acc 2.454e-01, val/nll 3.077e+00
[2023-02-12 16:43:32] [Epoch    10/  200] trn/loss 2.620e+00, trn/lr 9.944e-01, trn/scale 2.999e-01, val/acc 2.522e-01, val/nll 2.925e+00
[2023-02-12 16:43:40] [Epoch    11/  200] trn/loss 2.666e+00, trn/lr 9.932e-01, trn/scale 2.708e-01, val/acc 1.864e-01, val/nll 3.650e+00
[2023-02-12 16:43:49] [Epoch    12/  200] trn/loss 2.750e+00, trn/lr 9.919e-01, trn/scale 2.461e-01, val/acc 1.677e-01, val/nll 3.982e+00
[2023-02-12 16:43:57] [Epoch    13/  200] trn/loss 2.833e+00, trn/lr 9.904e-01, trn/scale 2.250e-01, val/acc 1.877e-01, val/nll 3.574e+00
[2023-02-12 16:44:05] [Epoch    14/  200] trn/loss 2.891e+00, trn/lr 9.888e-01, trn/scale 2.070e-01, val/acc 1.820e-01, val/nll 3.442e+00
[2023-02-12 16:44:13] [Epoch    15/  200] trn/loss 3.003e+00, trn/lr 9.871e-01, trn/scale 1.917e-01, val/acc 1.681e-01, val/nll 3.577e+00
[2023-02-12 16:44:22] [Epoch    16/  200] trn/loss 3.056e+00, trn/lr 9.853e-01, trn/scale 1.786e-01, val/acc 9.823e-02, val/nll 4.855e+00
[2023-02-12 16:44:30] [Epoch    17/  200] trn/loss 3.122e+00, trn/lr 9.833e-01, trn/scale 1.675e-01, val/acc 3.982e-02, val/nll 6.303e+00
[2023-02-12 16:44:38] [Epoch    18/  200] trn/loss 3.204e+00, trn/lr 9.812e-01, trn/scale 1.580e-01, val/acc 2.710e-02, val/nll 7.959e+00
[2023-02-12 16:44:46] [Epoch    19/  200] trn/loss 3.273e+00, trn/lr 9.790e-01, trn/scale 1.499e-01, val/acc 6.361e-02, val/nll 4.570e+00
[2023-02-12 16:44:54] [Epoch    20/  200] trn/loss 3.348e+00, trn/lr 9.767e-01, trn/scale 1.430e-01, val/acc 7.677e-02, val/nll 4.482e+00
[2023-02-12 16:45:03] [Epoch    21/  200] trn/loss 3.402e+00, trn/lr 9.743e-01, trn/scale 1.371e-01, val/acc 6.626e-02, val/nll 4.517e+00
[2023-02-12 16:45:11] [Epoch    22/  200] trn/loss 3.424e+00, trn/lr 9.718e-01, trn/scale 1.321e-01, val/acc 4.414e-02, val/nll 4.841e+00
