[2023-02-14 15:37:08] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-14 15:37:08] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR100_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR100_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-14 15:37:14] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-14 15:38:24] [Epoch     1/  200] trn/loss 4.247e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 9.989e-02, val/nll 3.832e+00 (best_acc: 0.000e+00 -> 9.989e-02, test_acc: 1.002e-01, test_nll: 3.802e+00)
[2023-02-14 15:38:34] [Epoch     2/  200] trn/loss 3.595e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 1.575e-01, val/nll 3.610e+00 (best_acc: 9.989e-02 -> 1.575e-01, test_acc: 1.628e-01, test_nll: 3.590e+00)
[2023-02-14 15:38:43] [Epoch     3/  200] trn/loss 3.193e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 1.976e-01, val/nll 3.402e+00 (best_acc: 1.575e-01 -> 1.976e-01, test_acc: 1.972e-01, test_nll: 3.358e+00)
[2023-02-14 15:38:51] [Epoch     4/  200] trn/loss 2.830e+00, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 1.958e-01, val/nll 3.398e+00
[2023-02-14 15:39:00] [Epoch     5/  200] trn/loss 2.589e+00, trn/lr 2.996e+00, trn/scale 5.394e-01, val/acc 2.457e-01, val/nll 3.078e+00 (best_acc: 1.976e-01 -> 2.457e-01, test_acc: 2.473e-01, test_nll: 3.058e+00)
[2023-02-14 15:39:09] [Epoch     6/  200] trn/loss 2.507e+00, trn/lr 2.994e+00, trn/scale 4.746e-01, val/acc 2.389e-01, val/nll 3.160e+00
[2023-02-14 15:39:17] [Epoch     7/  200] trn/loss 2.479e+00, trn/lr 2.992e+00, trn/scale 4.194e-01, val/acc 2.227e-01, val/nll 3.449e+00
[2023-02-14 15:39:25] [Epoch     8/  200] trn/loss 2.508e+00, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 2.353e-01, val/nll 3.340e+00
[2023-02-14 15:39:33] [Epoch     9/  200] trn/loss 2.569e+00, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 1.749e-01, val/nll 4.028e+00
[2023-02-14 15:39:41] [Epoch    10/  200] trn/loss 2.652e+00, trn/lr 2.983e+00, trn/scale 2.981e-01, val/acc 1.635e-01, val/nll 3.557e+00
[2023-02-14 15:39:50] [Epoch    11/  200] trn/loss 2.739e+00, trn/lr 2.980e+00, trn/scale 2.690e-01, val/acc 2.159e-01, val/nll 3.346e+00
[2023-02-14 15:39:58] [Epoch    12/  200] trn/loss 2.861e+00, trn/lr 2.976e+00, trn/scale 2.442e-01, val/acc 1.239e-01, val/nll 4.277e+00
[2023-02-14 15:40:06] [Epoch    13/  200] trn/loss 3.014e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 1.125e-01, val/nll 4.572e+00
[2023-02-14 15:40:14] [Epoch    14/  200] trn/loss 3.133e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 1.009e-01, val/nll 4.580e+00
[2023-02-14 15:40:22] [Epoch    15/  200] trn/loss 3.253e+00, trn/lr 2.961e+00, trn/scale 1.897e-01, val/acc 4.735e-02, val/nll 9.592e+00
[2023-02-14 15:40:30] [Epoch    16/  200] trn/loss 3.495e+00, trn/lr 2.956e+00, trn/scale 1.766e-01, val/acc 4.679e-02, val/nll 5.235e+00
[2023-02-14 15:40:39] [Epoch    17/  200] trn/loss 3.623e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 3.739e-02, val/nll 4.936e+00
[2023-02-14 15:40:47] [Epoch    18/  200] trn/loss 3.939e+00, trn/lr 2.944e+00, trn/scale 1.559e-01, val/acc 2.500e-02, val/nll 4.764e+00
[2023-02-14 15:40:55] [Epoch    19/  200] trn/loss 4.008e+00, trn/lr 2.937e+00, trn/scale 1.478e-01, val/acc 2.688e-02, val/nll 5.019e+00
[2023-02-14 15:41:03] [Epoch    20/  200] trn/loss 4.218e+00, trn/lr 2.930e+00, trn/scale 1.409e-01, val/acc 3.529e-02, val/nll 4.532e+00
