[2023-02-10 23:19:26] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:19:26] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 0.3
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-0.30_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:19:32] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:20:43] [Epoch     1/  200] trn/loss 2.004e+00, trn/lr 3.000e-01, trn/scale 9.324e-01, val/acc 4.076e-01, val/nll 1.605e+00 (best_acc: 0.000e+00 -> 4.076e-01, test_acc: 4.074e-01, test_nll: 1.606e+00)
[2023-02-10 23:20:52] [Epoch     2/  200] trn/loss 1.485e+00, trn/lr 3.000e-01, trn/scale 8.098e-01, val/acc 4.512e-01, val/nll 1.570e+00 (best_acc: 4.076e-01 -> 4.512e-01, test_acc: 4.397e-01, test_nll: 1.583e+00)
[2023-02-10 23:21:01] [Epoch     3/  200] trn/loss 1.257e+00, trn/lr 2.999e-01, trn/scale 7.054e-01, val/acc 5.830e-01, val/nll 1.189e+00 (best_acc: 4.512e-01 -> 5.830e-01, test_acc: 5.736e-01, test_nll: 1.202e+00)
[2023-02-10 23:21:10] [Epoch     4/  200] trn/loss 1.045e+00, trn/lr 2.998e-01, trn/scale 6.164e-01, val/acc 6.521e-01, val/nll 9.569e-01 (best_acc: 5.830e-01 -> 6.521e-01, test_acc: 6.474e-01, test_nll: 9.684e-01)
[2023-02-10 23:21:19] [Epoch     5/  200] trn/loss 8.798e-01, trn/lr 2.996e-01, trn/scale 5.406e-01, val/acc 5.576e-01, val/nll 1.599e+00
[2023-02-10 23:21:28] [Epoch     6/  200] trn/loss 7.816e-01, trn/lr 2.994e-01, trn/scale 4.760e-01, val/acc 7.405e-01, val/nll 7.544e-01 (best_acc: 6.521e-01 -> 7.405e-01, test_acc: 7.418e-01, test_nll: 7.674e-01)
[2023-02-10 23:21:36] [Epoch     7/  200] trn/loss 7.156e-01, trn/lr 2.992e-01, trn/scale 4.209e-01, val/acc 6.256e-01, val/nll 1.049e+00
[2023-02-10 23:21:44] [Epoch     8/  200] trn/loss 6.766e-01, trn/lr 2.990e-01, trn/scale 3.740e-01, val/acc 7.030e-01, val/nll 8.762e-01
[2023-02-10 23:21:52] [Epoch     9/  200] trn/loss 6.537e-01, trn/lr 2.987e-01, trn/scale 3.340e-01, val/acc 7.029e-01, val/nll 8.838e-01
[2023-02-10 23:22:00] [Epoch    10/  200] trn/loss 6.446e-01, trn/lr 2.983e-01, trn/scale 3.000e-01, val/acc 7.365e-01, val/nll 7.818e-01
[2023-02-10 23:22:09] [Epoch    11/  200] trn/loss 6.617e-01, trn/lr 2.980e-01, trn/scale 2.710e-01, val/acc 5.658e-01, val/nll 1.278e+00
[2023-02-10 23:22:17] [Epoch    12/  200] trn/loss 6.775e-01, trn/lr 2.976e-01, trn/scale 2.462e-01, val/acc 7.292e-01, val/nll 7.891e-01
[2023-02-10 23:22:25] [Epoch    13/  200] trn/loss 6.819e-01, trn/lr 2.971e-01, trn/scale 2.252e-01, val/acc 6.692e-01, val/nll 9.564e-01
[2023-02-10 23:22:33] [Epoch    14/  200] trn/loss 6.996e-01, trn/lr 2.966e-01, trn/scale 2.072e-01, val/acc 3.967e-01, val/nll 2.080e+00
[2023-02-10 23:22:42] [Epoch    15/  200] trn/loss 6.985e-01, trn/lr 2.961e-01, trn/scale 1.919e-01, val/acc 6.095e-01, val/nll 1.114e+00
[2023-02-10 23:22:50] [Epoch    16/  200] trn/loss 7.195e-01, trn/lr 2.956e-01, trn/scale 1.789e-01, val/acc 6.691e-01, val/nll 1.057e+00
[2023-02-10 23:22:58] [Epoch    17/  200] trn/loss 7.213e-01, trn/lr 2.950e-01, trn/scale 1.678e-01, val/acc 7.027e-01, val/nll 9.118e-01
[2023-02-10 23:23:06] [Epoch    18/  200] trn/loss 7.439e-01, trn/lr 2.944e-01, trn/scale 1.583e-01, val/acc 5.666e-01, val/nll 1.363e+00
[2023-02-10 23:23:14] [Epoch    19/  200] trn/loss 7.453e-01, trn/lr 2.937e-01, trn/scale 1.503e-01, val/acc 5.588e-01, val/nll 1.461e+00
[2023-02-10 23:23:23] [Epoch    20/  200] trn/loss 7.638e-01, trn/lr 2.930e-01, trn/scale 1.434e-01, val/acc 6.097e-01, val/nll 1.130e+00
[2023-02-10 23:23:31] [Epoch    21/  200] trn/loss 7.892e-01, trn/lr 2.923e-01, trn/scale 1.375e-01, val/acc 5.915e-01, val/nll 1.153e+00
[2023-02-10 23:23:39] [Epoch    22/  200] trn/loss 7.897e-01, trn/lr 2.915e-01, trn/scale 1.325e-01, val/acc 5.376e-01, val/nll 1.843e+00
