[2023-02-10 13:01:48] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 13:01:48] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 13:02:03] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 13:03:13] [Epoch     1/  200] trn/loss 1.952e+00, trn/lr 1.000e+00, trn/scale 9.322e-01, val/acc 3.906e-01, val/nll 1.778e+00 (best_acc: 0.000e+00 -> 3.906e-01, test_acc: 3.974e-01, test_nll: 1.769e+00)
[2023-02-10 13:03:23] [Epoch     2/  200] trn/loss 1.409e+00, trn/lr 9.999e-01, trn/scale 8.094e-01, val/acc 4.719e-01, val/nll 1.463e+00 (best_acc: 3.906e-01 -> 4.719e-01, test_acc: 4.613e-01, test_nll: 1.490e+00)
[2023-02-10 13:03:33] [Epoch     3/  200] trn/loss 1.140e+00, trn/lr 9.996e-01, trn/scale 7.047e-01, val/acc 6.385e-01, val/nll 1.015e+00 (best_acc: 4.719e-01 -> 6.385e-01, test_acc: 6.259e-01, test_nll: 1.033e+00)
[2023-02-10 13:03:41] [Epoch     4/  200] trn/loss 9.468e-01, trn/lr 9.992e-01, trn/scale 6.154e-01, val/acc 5.930e-01, val/nll 1.190e+00
[2023-02-10 13:03:50] [Epoch     5/  200] trn/loss 8.188e-01, trn/lr 9.987e-01, trn/scale 5.394e-01, val/acc 7.107e-01, val/nll 8.042e-01 (best_acc: 6.385e-01 -> 7.107e-01, test_acc: 7.074e-01, test_nll: 8.102e-01)
[2023-02-10 13:03:58] [Epoch     6/  200] trn/loss 7.384e-01, trn/lr 9.981e-01, trn/scale 4.746e-01, val/acc 6.816e-01, val/nll 9.021e-01
[2023-02-10 13:04:06] [Epoch     7/  200] trn/loss 6.889e-01, trn/lr 9.974e-01, trn/scale 4.194e-01, val/acc 6.876e-01, val/nll 9.727e-01
[2023-02-10 13:04:15] [Epoch     8/  200] trn/loss 6.589e-01, trn/lr 9.965e-01, trn/scale 3.724e-01, val/acc 6.866e-01, val/nll 8.633e-01
[2023-02-10 13:04:23] [Epoch     9/  200] trn/loss 6.469e-01, trn/lr 9.955e-01, trn/scale 3.323e-01, val/acc 6.524e-01, val/nll 1.098e+00
[2023-02-10 13:04:31] [Epoch    10/  200] trn/loss 6.678e-01, trn/lr 9.944e-01, trn/scale 2.982e-01, val/acc 5.683e-01, val/nll 1.436e+00
[2023-02-10 13:04:39] [Epoch    11/  200] trn/loss 6.787e-01, trn/lr 9.932e-01, trn/scale 2.691e-01, val/acc 6.942e-01, val/nll 9.893e-01
[2023-02-10 13:04:47] [Epoch    12/  200] trn/loss 6.964e-01, trn/lr 9.919e-01, trn/scale 2.443e-01, val/acc 5.848e-01, val/nll 1.283e+00
[2023-02-10 13:04:56] [Epoch    13/  200] trn/loss 7.129e-01, trn/lr 9.904e-01, trn/scale 2.231e-01, val/acc 4.115e-01, val/nll 2.001e+00
[2023-02-10 13:05:04] [Epoch    14/  200] trn/loss 7.221e-01, trn/lr 9.888e-01, trn/scale 2.051e-01, val/acc 6.140e-01, val/nll 1.169e+00
[2023-02-10 13:05:12] [Epoch    15/  200] trn/loss 7.504e-01, trn/lr 9.871e-01, trn/scale 1.898e-01, val/acc 5.841e-01, val/nll 1.360e+00
[2023-02-10 13:05:20] [Epoch    16/  200] trn/loss 7.605e-01, trn/lr 9.853e-01, trn/scale 1.767e-01, val/acc 5.927e-01, val/nll 1.166e+00
[2023-02-10 13:05:28] [Epoch    17/  200] trn/loss 7.940e-01, trn/lr 9.833e-01, trn/scale 1.656e-01, val/acc 4.782e-01, val/nll 1.804e+00
[2023-02-10 13:05:37] [Epoch    18/  200] trn/loss 8.076e-01, trn/lr 9.812e-01, trn/scale 1.561e-01, val/acc 4.587e-01, val/nll 2.205e+00
[2023-02-10 13:05:45] [Epoch    19/  200] trn/loss 8.270e-01, trn/lr 9.790e-01, trn/scale 1.480e-01, val/acc 5.509e-01, val/nll 1.327e+00
[2023-02-10 13:05:53] [Epoch    20/  200] trn/loss 8.424e-01, trn/lr 9.767e-01, trn/scale 1.411e-01, val/acc 4.336e-01, val/nll 2.677e+00
