[2023-02-10 15:25:56] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 15:25:56] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.700_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 15:26:11] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 15:27:22] [Epoch     1/  200] trn/loss 1.843e+00, trn/lr 1.000e+00, trn/scale 9.324e-01, val/acc 4.008e-01, val/nll 1.711e+00 (best_acc: 0.000e+00 -> 4.008e-01, test_acc: 4.099e-01, test_nll: 1.699e+00)
[2023-02-10 15:27:32] [Epoch     2/  200] trn/loss 1.404e+00, trn/lr 9.999e-01, trn/scale 8.098e-01, val/acc 4.295e-01, val/nll 1.654e+00 (best_acc: 4.008e-01 -> 4.295e-01, test_acc: 4.151e-01, test_nll: 1.683e+00)
[2023-02-10 15:27:41] [Epoch     3/  200] trn/loss 1.079e+00, trn/lr 9.996e-01, trn/scale 7.054e-01, val/acc 6.419e-01, val/nll 9.963e-01 (best_acc: 4.295e-01 -> 6.419e-01, test_acc: 6.416e-01, test_nll: 1.004e+00)
[2023-02-10 15:27:49] [Epoch     4/  200] trn/loss 8.920e-01, trn/lr 9.992e-01, trn/scale 6.163e-01, val/acc 5.956e-01, val/nll 1.142e+00
[2023-02-10 15:27:57] [Epoch     5/  200] trn/loss 8.231e-01, trn/lr 9.987e-01, trn/scale 5.405e-01, val/acc 6.240e-01, val/nll 1.079e+00
[2023-02-10 15:28:05] [Epoch     6/  200] trn/loss 8.154e-01, trn/lr 9.981e-01, trn/scale 4.759e-01, val/acc 4.956e-01, val/nll 1.438e+00
[2023-02-10 15:28:14] [Epoch     7/  200] trn/loss 8.456e-01, trn/lr 9.974e-01, trn/scale 4.208e-01, val/acc 5.190e-01, val/nll 1.725e+00
[2023-02-10 15:28:22] [Epoch     8/  200] trn/loss 8.800e-01, trn/lr 9.965e-01, trn/scale 3.739e-01, val/acc 6.294e-01, val/nll 1.071e+00
[2023-02-10 15:28:30] [Epoch     9/  200] trn/loss 9.823e-01, trn/lr 9.955e-01, trn/scale 3.339e-01, val/acc 6.084e-01, val/nll 1.147e+00
[2023-02-10 15:28:38] [Epoch    10/  200] trn/loss 9.586e-01, trn/lr 9.944e-01, trn/scale 2.998e-01, val/acc 5.242e-01, val/nll 1.446e+00
[2023-02-10 15:28:47] [Epoch    11/  200] trn/loss 1.013e+00, trn/lr 9.932e-01, trn/scale 2.708e-01, val/acc 4.719e-01, val/nll 1.809e+00
[2023-02-10 15:28:55] [Epoch    12/  200] trn/loss 1.166e+00, trn/lr 9.919e-01, trn/scale 2.460e-01, val/acc 2.303e-01, val/nll 6.270e+00
[2023-02-10 15:29:03] [Epoch    13/  200] trn/loss 1.298e+00, trn/lr 9.904e-01, trn/scale 2.249e-01, val/acc 2.389e-01, val/nll 2.869e+00
[2023-02-10 15:29:11] [Epoch    14/  200] trn/loss 1.280e+00, trn/lr 9.888e-01, trn/scale 2.069e-01, val/acc 1.302e-01, val/nll 3.903e+01
[2023-02-10 15:29:20] [Epoch    15/  200] trn/loss 1.372e+00, trn/lr 9.871e-01, trn/scale 1.916e-01, val/acc 4.585e-01, val/nll 1.681e+00
[2023-02-10 15:29:28] [Epoch    16/  200] trn/loss 1.610e+00, trn/lr 9.853e-01, trn/scale 1.785e-01, val/acc 1.425e-01, val/nll 2.473e+00
[2023-02-10 15:29:36] [Epoch    17/  200] trn/loss 2.014e+00, trn/lr 9.833e-01, trn/scale 1.674e-01, val/acc 1.067e-01, val/nll 2.548e+00
[2023-02-10 15:29:44] [Epoch    18/  200] trn/loss 2.028e+00, trn/lr 9.812e-01, trn/scale 1.579e-01, val/acc 1.562e-01, val/nll 2.215e+00
[2023-02-10 15:29:53] [Epoch    19/  200] trn/loss 1.991e+00, trn/lr 9.790e-01, trn/scale 1.498e-01, val/acc 1.135e-01, val/nll 2.437e+00
[2023-02-10 15:30:01] [Epoch    20/  200] trn/loss 2.045e+00, trn/lr 9.767e-01, trn/scale 1.428e-01, val/acc 1.177e-01, val/nll 2.318e+00
[2023-02-10 15:30:09] [Epoch    21/  200] trn/loss 2.063e+00, trn/lr 9.743e-01, trn/scale 1.370e-01, val/acc 2.490e-01, val/nll 1.991e+00
[2023-02-10 15:30:17] [Epoch    22/  200] trn/loss 2.061e+00, trn/lr 9.718e-01, trn/scale 1.319e-01, val/acc 1.044e-01, val/nll 4.675e+02
[2023-02-10 15:30:25] [Epoch    23/  200] trn/loss 2.107e+00, trn/lr 9.691e-01, trn/scale 1.277e-01, val/acc 1.576e-01, val/nll 2.239e+00
[2023-02-10 15:30:33] [Epoch    24/  200] trn/loss 2.096e+00, trn/lr 9.663e-01, trn/scale 1.240e-01, val/acc 1.900e-01, val/nll 2.190e+00
[2023-02-10 15:30:41] [Epoch    25/  200] trn/loss 2.145e+00, trn/lr 9.634e-01, trn/scale 1.209e-01, val/acc 1.606e-01, val/nll 2.384e+00
[2023-02-10 15:30:50] [Epoch    26/  200] trn/loss 2.106e+00, trn/lr 9.604e-01, trn/scale 1.183e-01, val/acc 1.902e-01, val/nll 2.112e+00
[2023-02-10 15:30:58] [Epoch    27/  200] trn/loss 2.157e+00, trn/lr 9.573e-01, trn/scale 1.160e-01, val/acc 1.012e-01, val/nll 2.441e+00
[2023-02-10 15:31:06] [Epoch    28/  200] trn/loss 2.166e+00, trn/lr 9.541e-01, trn/scale 1.141e-01, val/acc 9.812e-02, val/nll 3.664e+00
[2023-02-10 15:31:14] [Epoch    29/  200] trn/loss 2.095e+00, trn/lr 9.507e-01, trn/scale 1.124e-01, val/acc 1.242e-01, val/nll 2.249e+00
[2023-02-10 15:31:22] [Epoch    30/  200] trn/loss 2.119e+00, trn/lr 9.473e-01, trn/scale 1.111e-01, val/acc 1.028e-01, val/nll 2.372e+00
[2023-02-10 15:31:30] [Epoch    31/  200] trn/loss 2.164e+00, trn/lr 9.437e-01, trn/scale 1.099e-01, val/acc 1.347e-01, val/nll 2.364e+00
[2023-02-10 15:31:39] [Epoch    32/  200] trn/loss 2.174e+00, trn/lr 9.400e-01, trn/scale 1.089e-01, val/acc 1.093e-01, val/nll 2.317e+00
