[2023-02-10 23:12:37] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-10 23:12:37] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.01
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.0100_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-10 23:12:51] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-10 23:14:02] [Epoch     1/  200] trn/loss 1.840e+00, trn/lr 1.000e+00, trn/scale 9.324e-01, val/acc 4.452e-01, val/nll 1.515e+00 (best_acc: 0.000e+00 -> 4.452e-01, test_acc: 4.477e-01, test_nll: 1.504e+00)
[2023-02-10 23:14:12] [Epoch     2/  200] trn/loss 1.358e+00, trn/lr 9.999e-01, trn/scale 8.098e-01, val/acc 5.457e-01, val/nll 1.289e+00 (best_acc: 4.452e-01 -> 5.457e-01, test_acc: 5.360e-01, test_nll: 1.314e+00)
[2023-02-10 23:14:21] [Epoch     3/  200] trn/loss 1.065e+00, trn/lr 9.996e-01, trn/scale 7.054e-01, val/acc 6.108e-01, val/nll 1.110e+00 (best_acc: 5.457e-01 -> 6.108e-01, test_acc: 6.115e-01, test_nll: 1.114e+00)
[2023-02-10 23:14:30] [Epoch     4/  200] trn/loss 8.901e-01, trn/lr 9.992e-01, trn/scale 6.163e-01, val/acc 6.573e-01, val/nll 1.004e+00 (best_acc: 6.108e-01 -> 6.573e-01, test_acc: 6.492e-01, test_nll: 1.009e+00)
[2023-02-10 23:14:38] [Epoch     5/  200] trn/loss 7.957e-01, trn/lr 9.987e-01, trn/scale 5.405e-01, val/acc 4.698e-01, val/nll 1.731e+00
[2023-02-10 23:14:48] [Epoch     6/  200] trn/loss 8.088e-01, trn/lr 9.981e-01, trn/scale 4.759e-01, val/acc 7.158e-01, val/nll 8.483e-01 (best_acc: 6.573e-01 -> 7.158e-01, test_acc: 7.187e-01, test_nll: 8.388e-01)
[2023-02-10 23:14:56] [Epoch     7/  200] trn/loss 8.218e-01, trn/lr 9.974e-01, trn/scale 4.208e-01, val/acc 5.592e-01, val/nll 1.367e+00
[2023-02-10 23:15:04] [Epoch     8/  200] trn/loss 8.641e-01, trn/lr 9.965e-01, trn/scale 3.739e-01, val/acc 6.260e-01, val/nll 1.059e+00
[2023-02-10 23:15:12] [Epoch     9/  200] trn/loss 8.808e-01, trn/lr 9.955e-01, trn/scale 3.339e-01, val/acc 3.954e-01, val/nll 2.221e+00
[2023-02-10 23:15:20] [Epoch    10/  200] trn/loss 9.194e-01, trn/lr 9.944e-01, trn/scale 2.998e-01, val/acc 4.319e-01, val/nll 1.843e+00
[2023-02-10 23:15:29] [Epoch    11/  200] trn/loss 9.455e-01, trn/lr 9.932e-01, trn/scale 2.708e-01, val/acc 4.082e-01, val/nll 2.310e+00
[2023-02-10 23:15:37] [Epoch    12/  200] trn/loss 1.008e+00, trn/lr 9.919e-01, trn/scale 2.460e-01, val/acc 2.676e-01, val/nll 3.331e+00
[2023-02-10 23:15:45] [Epoch    13/  200] trn/loss 1.041e+00, trn/lr 9.904e-01, trn/scale 2.249e-01, val/acc 3.056e-01, val/nll 3.421e+00
[2023-02-10 23:15:53] [Epoch    14/  200] trn/loss 1.090e+00, trn/lr 9.888e-01, trn/scale 2.070e-01, val/acc 3.803e-01, val/nll 2.024e+00
[2023-02-10 23:16:02] [Epoch    15/  200] trn/loss 1.132e+00, trn/lr 9.871e-01, trn/scale 1.916e-01, val/acc 2.523e-01, val/nll 2.839e+00
[2023-02-10 23:16:10] [Epoch    16/  200] trn/loss 1.170e+00, trn/lr 9.853e-01, trn/scale 1.786e-01, val/acc 2.237e-01, val/nll 3.223e+00
[2023-02-10 23:16:18] [Epoch    17/  200] trn/loss 1.236e+00, trn/lr 9.833e-01, trn/scale 1.674e-01, val/acc 2.613e-01, val/nll 3.396e+00
[2023-02-10 23:16:26] [Epoch    18/  200] trn/loss 1.265e+00, trn/lr 9.812e-01, trn/scale 1.580e-01, val/acc 1.503e-01, val/nll 4.474e+00
[2023-02-10 23:16:34] [Epoch    19/  200] trn/loss 1.283e+00, trn/lr 9.790e-01, trn/scale 1.499e-01, val/acc 3.866e-01, val/nll 1.799e+00
[2023-02-10 23:16:43] [Epoch    20/  200] trn/loss 1.332e+00, trn/lr 9.767e-01, trn/scale 1.430e-01, val/acc 1.188e-01, val/nll 3.278e+00
[2023-02-10 23:16:51] [Epoch    21/  200] trn/loss 1.783e+00, trn/lr 9.743e-01, trn/scale 1.371e-01, val/acc 1.937e-01, val/nll 2.345e+00
[2023-02-10 23:16:59] [Epoch    22/  200] trn/loss 1.777e+00, trn/lr 9.718e-01, trn/scale 1.321e-01, val/acc 2.338e-01, val/nll 2.274e+00
