[2023-02-16 18:43:44] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 18:43:44] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 1.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-1.00_b1-0.900_b2-0.999_wd-0.0030_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 18:43:59] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 18:45:10] [Epoch     1/  200] trn/loss 2.009e+00, trn/lr 1.000e+00, trn/scale 9.324e-01, val/acc 3.770e-01, val/nll 1.637e+00 (best_acc: 0.000e+00 -> 3.770e-01, test_acc: 3.737e-01, test_nll: 1.640e+00)
[2023-02-16 18:45:19] [Epoch     2/  200] trn/loss 1.558e+00, trn/lr 9.999e-01, trn/scale 8.097e-01, val/acc 4.679e-01, val/nll 1.423e+00 (best_acc: 3.770e-01 -> 4.679e-01, test_acc: 4.667e-01, test_nll: 1.428e+00)
[2023-02-16 18:45:29] [Epoch     3/  200] trn/loss 1.297e+00, trn/lr 9.996e-01, trn/scale 7.052e-01, val/acc 5.771e-01, val/nll 1.172e+00 (best_acc: 4.679e-01 -> 5.771e-01, test_acc: 5.701e-01, test_nll: 1.184e+00)
[2023-02-16 18:45:38] [Epoch     4/  200] trn/loss 1.098e+00, trn/lr 9.992e-01, trn/scale 6.162e-01, val/acc 5.827e-01, val/nll 1.146e+00 (best_acc: 5.771e-01 -> 5.827e-01, test_acc: 5.805e-01, test_nll: 1.152e+00)
[2023-02-16 18:45:46] [Epoch     5/  200] trn/loss 9.803e-01, trn/lr 9.987e-01, trn/scale 5.403e-01, val/acc 5.527e-01, val/nll 1.308e+00
[2023-02-16 18:45:54] [Epoch     6/  200] trn/loss 9.211e-01, trn/lr 9.981e-01, trn/scale 4.757e-01, val/acc 5.437e-01, val/nll 1.266e+00
[2023-02-16 18:46:03] [Epoch     7/  200] trn/loss 8.847e-01, trn/lr 9.974e-01, trn/scale 4.206e-01, val/acc 4.194e-01, val/nll 2.341e+00
[2023-02-16 18:46:11] [Epoch     8/  200] trn/loss 8.828e-01, trn/lr 9.965e-01, trn/scale 3.737e-01, val/acc 4.611e-01, val/nll 1.942e+00
[2023-02-16 18:46:19] [Epoch     9/  200] trn/loss 8.825e-01, trn/lr 9.955e-01, trn/scale 3.337e-01, val/acc 5.809e-01, val/nll 1.251e+00
[2023-02-16 18:46:27] [Epoch    10/  200] trn/loss 9.003e-01, trn/lr 9.944e-01, trn/scale 2.996e-01, val/acc 5.713e-01, val/nll 1.208e+00
[2023-02-16 18:46:36] [Epoch    11/  200] trn/loss 9.309e-01, trn/lr 9.932e-01, trn/scale 2.706e-01, val/acc 6.235e-01, val/nll 1.130e+00 (best_acc: 5.827e-01 -> 6.235e-01, test_acc: 6.148e-01, test_nll: 1.128e+00)
[2023-02-16 18:46:45] [Epoch    12/  200] trn/loss 9.678e-01, trn/lr 9.919e-01, trn/scale 2.459e-01, val/acc 2.963e-01, val/nll 2.425e+00
[2023-02-16 18:46:53] [Epoch    13/  200] trn/loss 1.000e+00, trn/lr 9.904e-01, trn/scale 2.248e-01, val/acc 4.310e-01, val/nll 1.803e+00
[2023-02-16 18:47:01] [Epoch    14/  200] trn/loss 1.028e+00, trn/lr 9.888e-01, trn/scale 2.068e-01, val/acc 3.711e-01, val/nll 2.584e+00
[2023-02-16 18:47:09] [Epoch    15/  200] trn/loss 1.071e+00, trn/lr 9.871e-01, trn/scale 1.915e-01, val/acc 4.062e-01, val/nll 2.274e+00
[2023-02-16 18:47:17] [Epoch    16/  200] trn/loss 1.135e+00, trn/lr 9.853e-01, trn/scale 1.784e-01, val/acc 2.267e-01, val/nll 3.343e+00
[2023-02-16 18:47:25] [Epoch    17/  200] trn/loss 1.165e+00, trn/lr 9.833e-01, trn/scale 1.673e-01, val/acc 1.768e-01, val/nll 6.762e+00
[2023-02-16 18:47:34] [Epoch    18/  200] trn/loss 1.197e+00, trn/lr 9.812e-01, trn/scale 1.578e-01, val/acc 3.694e-01, val/nll 1.820e+00
[2023-02-16 18:47:42] [Epoch    19/  200] trn/loss 1.226e+00, trn/lr 9.790e-01, trn/scale 1.498e-01, val/acc 1.015e-01, val/nll 3.087e+00
[2023-02-16 18:47:50] [Epoch    20/  200] trn/loss 1.256e+00, trn/lr 9.767e-01, trn/scale 1.429e-01, val/acc 3.424e-01, val/nll 1.990e+00
[2023-02-16 18:47:58] [Epoch    21/  200] trn/loss 1.598e+00, trn/lr 9.743e-01, trn/scale 1.370e-01, val/acc 1.498e-01, val/nll 4.621e+00
[2023-02-16 18:48:06] [Epoch    22/  200] trn/loss 1.685e+00, trn/lr 9.718e-01, trn/scale 1.320e-01, val/acc 1.133e-01, val/nll 3.555e+00
