[2023-02-16 09:58:34] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:58:34] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:58:40] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 09:59:50] [Epoch     1/  200] trn/loss 1.990e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.471e-01, val/nll 1.578e+00 (best_acc: 0.000e+00 -> 4.471e-01, test_acc: 4.476e-01, test_nll: 1.580e+00)
[2023-02-16 10:00:00] [Epoch     2/  200] trn/loss 1.341e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 5.238e-01, val/nll 1.275e+00 (best_acc: 4.471e-01 -> 5.238e-01, test_acc: 5.193e-01, test_nll: 1.297e+00)
[2023-02-16 10:00:09] [Epoch     3/  200] trn/loss 1.043e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 6.588e-01, val/nll 9.932e-01 (best_acc: 5.238e-01 -> 6.588e-01, test_acc: 6.639e-01, test_nll: 9.944e-01)
[2023-02-16 10:00:17] [Epoch     4/  200] trn/loss 8.761e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 6.371e-01, val/nll 1.057e+00
[2023-02-16 10:00:25] [Epoch     5/  200] trn/loss 8.168e-01, trn/lr 2.996e+00, trn/scale 5.394e-01, val/acc 5.605e-01, val/nll 1.346e+00
[2023-02-16 10:00:34] [Epoch     6/  200] trn/loss 8.362e-01, trn/lr 2.994e+00, trn/scale 4.746e-01, val/acc 4.418e-01, val/nll 1.720e+00
[2023-02-16 10:00:42] [Epoch     7/  200] trn/loss 8.651e-01, trn/lr 2.992e+00, trn/scale 4.194e-01, val/acc 4.973e-01, val/nll 1.909e+00
[2023-02-16 10:00:50] [Epoch     8/  200] trn/loss 9.033e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 4.624e-01, val/nll 2.372e+00
[2023-02-16 10:00:58] [Epoch     9/  200] trn/loss 9.343e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 4.374e-01, val/nll 1.944e+00
[2023-02-16 10:01:07] [Epoch    10/  200] trn/loss 1.002e+00, trn/lr 2.983e+00, trn/scale 2.981e-01, val/acc 4.722e-01, val/nll 1.514e+00
[2023-02-16 10:01:15] [Epoch    11/  200] trn/loss 1.318e+00, trn/lr 2.980e+00, trn/scale 2.690e-01, val/acc 2.857e-01, val/nll 2.240e+00
[2023-02-16 10:01:23] [Epoch    12/  200] trn/loss 1.215e+00, trn/lr 2.976e+00, trn/scale 2.442e-01, val/acc 1.112e-01, val/nll 4.847e+00
[2023-02-16 10:01:31] [Epoch    13/  200] trn/loss 1.334e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 9.823e-02, val/nll 5.903e+01
[2023-02-16 10:01:39] [Epoch    14/  200] trn/loss 1.498e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 3.170e-01, val/nll 2.596e+00
[2023-02-16 10:01:48] [Epoch    15/  200] trn/loss 1.551e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 1.337e-01, val/nll 1.023e+01
[2023-02-16 10:01:56] [Epoch    16/  200] trn/loss 1.658e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 1.981e-01, val/nll 2.752e+00
[2023-02-16 10:02:04] [Epoch    17/  200] trn/loss 1.804e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 9.823e-02, val/nll 5.780e+00
[2023-02-16 10:02:13] [Epoch    18/  200] trn/loss 2.174e+00, trn/lr 2.944e+00, trn/scale 1.559e-01, val/acc 1.006e-01, val/nll 2.470e+00
[2023-02-16 10:02:21] [Epoch    19/  200] trn/loss 2.518e+00, trn/lr 2.937e+00, trn/scale 1.477e-01, val/acc 1.231e-01, val/nll 3.302e+00
[2023-02-16 10:02:29] [Epoch    20/  200] trn/loss 2.210e+00, trn/lr 2.930e+00, trn/scale 1.408e-01, val/acc 9.281e-02, val/nll 2.311e+00
[2023-02-16 10:02:37] [Epoch    21/  200] trn/loss 2.297e+00, trn/lr 2.923e+00, trn/scale 1.349e-01, val/acc 1.452e-01, val/nll 2.911e+00
[2023-02-16 10:02:45] [Epoch    22/  200] trn/loss 2.266e+00, trn/lr 2.915e+00, trn/scale 1.299e-01, val/acc 9.281e-02, val/nll 2.327e+00
[2023-02-16 10:02:54] [Epoch    23/  200] trn/loss 2.633e+00, trn/lr 2.907e+00, trn/scale 1.256e-01, val/acc 1.044e-01, val/nll 2.305e+00
[2023-02-16 10:03:02] [Epoch    24/  200] trn/loss 2.560e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 1.007e-01, val/nll 2.412e+00
[2023-02-16 10:03:10] [Epoch    25/  200] trn/loss 2.229e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.011e-01, val/nll 2.419e+00
[2023-02-16 10:03:18] [Epoch    26/  200] trn/loss 2.296e+00, trn/lr 2.881e+00, trn/scale 1.162e-01, val/acc 9.978e-02, val/nll 2.492e+00
[2023-02-16 10:03:26] [Epoch    27/  200] trn/loss 2.257e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.402e-01, val/nll 2.286e+00
[2023-02-16 10:03:35] [Epoch    28/  200] trn/loss 2.271e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.041e-01, val/nll 2.326e+00
[2023-02-16 10:03:43] [Epoch    29/  200] trn/loss 2.329e+00, trn/lr 2.852e+00, trn/scale 1.104e-01, val/acc 9.978e-02, val/nll 2.322e+00
[2023-02-16 10:03:51] [Epoch    30/  200] trn/loss 2.318e+00, trn/lr 2.842e+00, trn/scale 1.090e-01, val/acc 9.281e-02, val/nll 2.328e+00
[2023-02-16 10:03:59] [Epoch    31/  200] trn/loss 2.318e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 9.823e-02, val/nll 2.322e+00
[2023-02-16 10:04:08] [Epoch    32/  200] trn/loss 2.319e+00, trn/lr 2.820e+00, trn/scale 1.068e-01, val/acc 9.823e-02, val/nll 2.327e+00
[2023-02-16 10:04:16] [Epoch    33/  200] trn/loss 2.321e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 9.856e-02, val/nll 2.312e+00
[2023-02-16 10:04:24] [Epoch    34/  200] trn/loss 2.322e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 9.823e-02, val/nll 2.309e+00
[2023-02-16 10:04:32] [Epoch    35/  200] trn/loss 2.320e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 9.823e-02, val/nll 2.329e+00
[2023-02-16 10:04:40] [Epoch    36/  200] trn/loss 2.321e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.044e-01, val/nll 2.321e+00
[2023-02-16 10:04:49] [Epoch    37/  200] trn/loss 2.320e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 9.945e-02, val/nll 2.336e+00
[2023-02-16 10:04:57] [Epoch    38/  200] trn/loss 2.322e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.007e-01, val/nll 2.309e+00
[2023-02-16 10:05:05] [Epoch    39/  200] trn/loss 2.320e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.007e-01, val/nll 2.312e+00
