[2023-02-16 09:29:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:29:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:29:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 09:30:57] [Epoch     1/  200] trn/loss 1.949e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.454e-01, val/nll 1.523e+00 (best_acc: 0.000e+00 -> 4.454e-01, test_acc: 4.428e-01, test_nll: 1.523e+00)
[2023-02-16 09:31:05] [Epoch     2/  200] trn/loss 1.377e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 4.210e-01, val/nll 1.589e+00
[2023-02-16 09:31:14] [Epoch     3/  200] trn/loss 1.111e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 5.819e-01, val/nll 1.258e+00 (best_acc: 4.454e-01 -> 5.819e-01, test_acc: 5.711e-01, test_nll: 1.257e+00)
[2023-02-16 09:31:22] [Epoch     4/  200] trn/loss 9.637e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 5.042e-01, val/nll 1.305e+00
[2023-02-16 09:31:31] [Epoch     5/  200] trn/loss 8.581e-01, trn/lr 2.996e+00, trn/scale 5.393e-01, val/acc 4.958e-01, val/nll 1.647e+00
[2023-02-16 09:31:39] [Epoch     6/  200] trn/loss 8.535e-01, trn/lr 2.994e+00, trn/scale 4.745e-01, val/acc 4.271e-01, val/nll 1.841e+00
[2023-02-16 09:31:47] [Epoch     7/  200] trn/loss 8.704e-01, trn/lr 2.992e+00, trn/scale 4.193e-01, val/acc 5.439e-01, val/nll 1.565e+00
[2023-02-16 09:31:55] [Epoch     8/  200] trn/loss 9.230e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 5.528e-01, val/nll 1.563e+00
[2023-02-16 09:32:03] [Epoch     9/  200] trn/loss 9.377e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 5.553e-01, val/nll 1.354e+00
[2023-02-16 09:32:12] [Epoch    10/  200] trn/loss 9.955e-01, trn/lr 2.983e+00, trn/scale 2.980e-01, val/acc 4.187e-01, val/nll 1.654e+00
[2023-02-16 09:32:20] [Epoch    11/  200] trn/loss 1.181e+00, trn/lr 2.980e+00, trn/scale 2.689e-01, val/acc 2.817e-01, val/nll 2.331e+00
[2023-02-16 09:32:28] [Epoch    12/  200] trn/loss 1.330e+00, trn/lr 2.976e+00, trn/scale 2.441e-01, val/acc 2.790e-01, val/nll 2.608e+00
[2023-02-16 09:32:36] [Epoch    13/  200] trn/loss 1.309e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 1.481e-01, val/nll 5.266e+00
[2023-02-16 09:32:44] [Epoch    14/  200] trn/loss 1.372e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 3.128e-01, val/nll 3.157e+00
[2023-02-16 09:32:52] [Epoch    15/  200] trn/loss 1.553e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 9.889e-02, val/nll 7.122e+00
[2023-02-16 09:33:01] [Epoch    16/  200] trn/loss 1.693e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 1.656e-01, val/nll 3.070e+00
[2023-02-16 09:33:09] [Epoch    17/  200] trn/loss 1.861e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 1.357e-01, val/nll 2.362e+00
[2023-02-16 09:33:17] [Epoch    18/  200] trn/loss 2.067e+00, trn/lr 2.944e+00, trn/scale 1.558e-01, val/acc 9.956e-02, val/nll 2.382e+00
[2023-02-16 09:33:25] [Epoch    19/  200] trn/loss 2.153e+00, trn/lr 2.937e+00, trn/scale 1.477e-01, val/acc 1.708e-01, val/nll 2.067e+00
[2023-02-16 09:33:34] [Epoch    20/  200] trn/loss 2.478e+00, trn/lr 2.930e+00, trn/scale 1.408e-01, val/acc 1.044e-01, val/nll 2.306e+00
[2023-02-16 09:33:42] [Epoch    21/  200] trn/loss 2.275e+00, trn/lr 2.923e+00, trn/scale 1.349e-01, val/acc 1.195e-01, val/nll 2.611e+00
