[2023-02-16 09:30:00] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 09:30:00] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 09:30:05] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 09:31:16] [Epoch     1/  200] trn/loss 1.933e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.240e-01, val/nll 1.562e+00 (best_acc: 0.000e+00 -> 4.240e-01, test_acc: 4.260e-01, test_nll: 1.551e+00)
[2023-02-16 09:31:25] [Epoch     2/  200] trn/loss 1.388e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 4.604e-01, val/nll 1.510e+00 (best_acc: 4.240e-01 -> 4.604e-01, test_acc: 4.520e-01, test_nll: 1.517e+00)
[2023-02-16 09:31:34] [Epoch     3/  200] trn/loss 1.124e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 5.003e-01, val/nll 1.534e+00 (best_acc: 4.604e-01 -> 5.003e-01, test_acc: 5.014e-01, test_nll: 1.533e+00)
[2023-02-16 09:31:43] [Epoch     4/  200] trn/loss 9.726e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 4.248e-01, val/nll 1.628e+00
[2023-02-16 09:31:51] [Epoch     5/  200] trn/loss 8.706e-01, trn/lr 2.996e+00, trn/scale 5.393e-01, val/acc 4.749e-01, val/nll 1.735e+00
[2023-02-16 09:31:59] [Epoch     6/  200] trn/loss 8.556e-01, trn/lr 2.994e+00, trn/scale 4.745e-01, val/acc 4.415e-01, val/nll 1.670e+00
[2023-02-16 09:32:07] [Epoch     7/  200] trn/loss 8.793e-01, trn/lr 2.992e+00, trn/scale 4.193e-01, val/acc 4.399e-01, val/nll 2.484e+00
[2023-02-16 09:32:16] [Epoch     8/  200] trn/loss 9.142e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 5.977e-01, val/nll 1.183e+00 (best_acc: 5.003e-01 -> 5.977e-01, test_acc: 6.008e-01, test_nll: 1.181e+00)
[2023-02-16 09:32:25] [Epoch     9/  200] trn/loss 9.302e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 3.582e-01, val/nll 3.878e+00
[2023-02-16 09:32:33] [Epoch    10/  200] trn/loss 1.168e+00, trn/lr 2.983e+00, trn/scale 2.980e-01, val/acc 3.459e-01, val/nll 1.858e+00
[2023-02-16 09:32:41] [Epoch    11/  200] trn/loss 1.084e+00, trn/lr 2.980e+00, trn/scale 2.689e-01, val/acc 3.152e-01, val/nll 3.893e+00
[2023-02-16 09:32:49] [Epoch    12/  200] trn/loss 1.136e+00, trn/lr 2.976e+00, trn/scale 2.441e-01, val/acc 1.135e-01, val/nll 1.231e+01
[2023-02-16 09:32:57] [Epoch    13/  200] trn/loss 1.338e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 1.594e-01, val/nll 2.189e+01
[2023-02-16 09:33:05] [Epoch    14/  200] trn/loss 1.386e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 1.066e-01, val/nll 1.105e+01
[2023-02-16 09:33:14] [Epoch    15/  200] trn/loss 1.554e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 1.794e-01, val/nll 2.333e+00
[2023-02-16 09:33:22] [Epoch    16/  200] trn/loss 1.731e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 2.621e-01, val/nll 2.221e+00
[2023-02-16 09:33:30] [Epoch    17/  200] trn/loss 1.940e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 1.789e-01, val/nll 2.587e+00
[2023-02-16 09:33:38] [Epoch    18/  200] trn/loss 2.272e+00, trn/lr 2.944e+00, trn/scale 1.558e-01, val/acc 9.823e-02, val/nll 2.315e+00
[2023-02-16 09:33:47] [Epoch    19/  200] trn/loss 2.555e+00, trn/lr 2.937e+00, trn/scale 1.477e-01, val/acc 9.978e-02, val/nll 2.919e+12
[2023-02-16 09:33:55] [Epoch    20/  200] trn/loss 2.567e+00, trn/lr 2.930e+00, trn/scale 1.408e-01, val/acc 9.823e-02, val/nll 2.394e+00
[2023-02-16 09:34:03] [Epoch    21/  200] trn/loss 2.352e+00, trn/lr 2.923e+00, trn/scale 1.349e-01, val/acc 9.281e-02, val/nll 2.330e+00
[2023-02-16 09:34:11] [Epoch    22/  200] trn/loss 2.316e+00, trn/lr 2.915e+00, trn/scale 1.299e-01, val/acc 9.823e-02, val/nll 2.690e+00
[2023-02-16 09:34:19] [Epoch    23/  200] trn/loss 2.316e+00, trn/lr 2.907e+00, trn/scale 1.256e-01, val/acc 9.281e-02, val/nll 2.318e+00
[2023-02-16 09:34:28] [Epoch    24/  200] trn/loss 2.346e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 1.081e-01, val/nll 1.739e+04
[2023-02-16 09:34:36] [Epoch    25/  200] trn/loss 2.606e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.044e-01, val/nll 3.373e+05
[2023-02-16 09:34:44] [Epoch    26/  200] trn/loss 3.562e+00, trn/lr 2.881e+00, trn/scale 1.162e-01, val/acc 9.823e-02, val/nll 2.314e+00
[2023-02-16 09:34:52] [Epoch    27/  200] trn/loss 2.319e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 9.823e-02, val/nll 2.323e+00
[2023-02-16 09:35:00] [Epoch    28/  200] trn/loss 2.320e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.081e-01, val/nll 2.311e+00
[2023-02-16 09:35:09] [Epoch    29/  200] trn/loss 2.319e+00, trn/lr 2.852e+00, trn/scale 1.104e-01, val/acc 9.978e-02, val/nll 2.324e+00
[2023-02-16 09:35:17] [Epoch    30/  200] trn/loss 2.319e+00, trn/lr 2.842e+00, trn/scale 1.090e-01, val/acc 9.281e-02, val/nll 2.330e+00
[2023-02-16 09:35:25] [Epoch    31/  200] trn/loss 2.319e+00, trn/lr 2.831e+00, trn/scale 1.078e-01, val/acc 9.823e-02, val/nll 2.323e+00
[2023-02-16 09:35:33] [Epoch    32/  200] trn/loss 2.320e+00, trn/lr 2.820e+00, trn/scale 1.068e-01, val/acc 9.823e-02, val/nll 2.328e+00
[2023-02-16 09:35:41] [Epoch    33/  200] trn/loss 2.321e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 9.856e-02, val/nll 2.312e+00
[2023-02-16 09:35:49] [Epoch    34/  200] trn/loss 2.323e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 9.823e-02, val/nll 2.309e+00
[2023-02-16 09:35:58] [Epoch    35/  200] trn/loss 2.321e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 9.823e-02, val/nll 2.331e+00
[2023-02-16 09:36:06] [Epoch    36/  200] trn/loss 2.321e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.044e-01, val/nll 2.321e+00
[2023-02-16 09:36:14] [Epoch    37/  200] trn/loss 2.320e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 9.945e-02, val/nll 2.337e+00
[2023-02-16 09:36:22] [Epoch    38/  200] trn/loss 2.323e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.007e-01, val/nll 2.309e+00
[2023-02-16 09:36:30] [Epoch    39/  200] trn/loss 2.320e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 1.007e-01, val/nll 2.312e+00
[2023-02-16 09:36:39] [Epoch    40/  200] trn/loss 2.320e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 9.945e-02, val/nll 2.318e+00
[2023-02-16 09:36:47] [Epoch    41/  200] trn/loss 2.320e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 9.281e-02, val/nll 2.312e+00
[2023-02-16 09:36:55] [Epoch    42/  200] trn/loss 2.321e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 9.281e-02, val/nll 2.325e+00
