[2023-02-16 10:55:32] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 10:55:32] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.7
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.003
- args.rho                : 0.1
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.700_b2-0.999_wd-0.0030_eps-1e-1_rho-0.1000_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 10:55:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 10:56:56] [Epoch     1/  200] trn/loss 2.011e+00, trn/lr 3.000e+00, trn/scale 9.323e-01, val/acc 3.582e-01, val/nll 1.709e+00 (best_acc: 0.000e+00 -> 3.582e-01, test_acc: 3.499e-01, test_nll: 1.711e+00)
[2023-02-16 10:57:05] [Epoch     2/  200] trn/loss 1.474e+00, trn/lr 3.000e+00, trn/scale 8.097e-01, val/acc 4.225e-01, val/nll 1.550e+00 (best_acc: 3.582e-01 -> 4.225e-01, test_acc: 4.168e-01, test_nll: 1.567e+00)
[2023-02-16 10:57:14] [Epoch     3/  200] trn/loss 1.242e+00, trn/lr 2.999e+00, trn/scale 7.052e-01, val/acc 3.378e-01, val/nll 2.021e+00
[2023-02-16 10:57:23] [Epoch     4/  200] trn/loss 1.176e+00, trn/lr 2.998e+00, trn/scale 6.162e-01, val/acc 4.271e-01, val/nll 1.529e+00 (best_acc: 4.225e-01 -> 4.271e-01, test_acc: 4.285e-01, test_nll: 1.543e+00)
[2023-02-16 10:57:31] [Epoch     5/  200] trn/loss 1.181e+00, trn/lr 2.996e+00, trn/scale 5.403e-01, val/acc 2.749e-01, val/nll 3.088e+00
[2023-02-16 10:57:39] [Epoch     6/  200] trn/loss 1.262e+00, trn/lr 2.994e+00, trn/scale 4.756e-01, val/acc 9.823e-02, val/nll 1.086e+02
[2023-02-16 10:57:48] [Epoch     7/  200] trn/loss 1.349e+00, trn/lr 2.992e+00, trn/scale 4.206e-01, val/acc 3.726e-01, val/nll 1.808e+00
[2023-02-16 10:57:56] [Epoch     8/  200] trn/loss 1.459e+00, trn/lr 2.990e+00, trn/scale 3.736e-01, val/acc 1.285e-01, val/nll 6.071e+00
[2023-02-16 10:58:04] [Epoch     9/  200] trn/loss 1.763e+00, trn/lr 2.987e+00, trn/scale 3.336e-01, val/acc 1.306e-01, val/nll 2.741e+00
[2023-02-16 10:58:12] [Epoch    10/  200] trn/loss 1.982e+00, trn/lr 2.983e+00, trn/scale 2.995e-01, val/acc 1.100e-01, val/nll 2.289e+00
[2023-02-16 10:58:20] [Epoch    11/  200] trn/loss 2.192e+00, trn/lr 2.980e+00, trn/scale 2.704e-01, val/acc 1.060e-01, val/nll 2.390e+00
[2023-02-16 10:58:28] [Epoch    12/  200] trn/loss 2.167e+00, trn/lr 2.976e+00, trn/scale 2.457e-01, val/acc 9.281e-02, val/nll 3.438e+01
[2023-02-16 10:58:37] [Epoch    13/  200] trn/loss 2.217e+00, trn/lr 2.971e+00, trn/scale 2.246e-01, val/acc 9.281e-02, val/nll 2.336e+00
[2023-02-16 10:58:45] [Epoch    14/  200] trn/loss 2.265e+00, trn/lr 2.966e+00, trn/scale 2.066e-01, val/acc 1.281e-01, val/nll 3.906e+00
[2023-02-16 10:58:53] [Epoch    15/  200] trn/loss 2.289e+00, trn/lr 2.961e+00, trn/scale 1.913e-01, val/acc 1.038e-01, val/nll 2.403e+00
[2023-02-16 10:59:01] [Epoch    16/  200] trn/loss 2.306e+00, trn/lr 2.956e+00, trn/scale 1.782e-01, val/acc 9.856e-02, val/nll 4.646e+05
[2023-02-16 10:59:09] [Epoch    17/  200] trn/loss 2.309e+00, trn/lr 2.950e+00, trn/scale 1.671e-01, val/acc 9.978e-02, val/nll 2.365e+00
