[2023-02-16 15:46:12] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 15:46:12] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 15:46:18] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 15:47:28] [Epoch     1/  200] trn/loss 1.773e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.185e-01, val/nll 1.921e+00 (best_acc: 0.000e+00 -> 4.185e-01, test_acc: 4.139e-01, test_nll: 1.906e+00)
[2023-02-16 15:47:38] [Epoch     2/  200] trn/loss 1.292e+00, trn/lr 3.000e+00, trn/scale 8.092e-01, val/acc 4.513e-01, val/nll 1.977e+00 (best_acc: 4.185e-01 -> 4.513e-01, test_acc: 4.421e-01, test_nll: 2.027e+00)
[2023-02-16 15:47:47] [Epoch     3/  200] trn/loss 9.487e-01, trn/lr 2.999e+00, trn/scale 7.044e-01, val/acc 6.719e-01, val/nll 9.743e-01 (best_acc: 4.513e-01 -> 6.719e-01, test_acc: 6.690e-01, test_nll: 9.850e-01)
[2023-02-16 15:47:55] [Epoch     4/  200] trn/loss 7.997e-01, trn/lr 2.998e+00, trn/scale 6.151e-01, val/acc 6.408e-01, val/nll 1.035e+00
[2023-02-16 15:48:03] [Epoch     5/  200] trn/loss 6.929e-01, trn/lr 2.996e+00, trn/scale 5.390e-01, val/acc 5.757e-01, val/nll 1.571e+00
[2023-02-16 15:48:12] [Epoch     6/  200] trn/loss 6.491e-01, trn/lr 2.994e+00, trn/scale 4.742e-01, val/acc 7.216e-01, val/nll 8.740e-01 (best_acc: 6.719e-01 -> 7.216e-01, test_acc: 7.148e-01, test_nll: 8.844e-01)
[2023-02-16 15:48:21] [Epoch     7/  200] trn/loss 6.318e-01, trn/lr 2.992e+00, trn/scale 4.189e-01, val/acc 6.491e-01, val/nll 1.020e+00
[2023-02-16 15:48:29] [Epoch     8/  200] trn/loss 6.266e-01, trn/lr 2.990e+00, trn/scale 3.718e-01, val/acc 6.738e-01, val/nll 9.469e-01
[2023-02-16 15:48:37] [Epoch     9/  200] trn/loss 6.276e-01, trn/lr 2.987e+00, trn/scale 3.317e-01, val/acc 6.798e-01, val/nll 1.044e+00
[2023-02-16 15:48:45] [Epoch    10/  200] trn/loss 6.419e-01, trn/lr 2.983e+00, trn/scale 2.975e-01, val/acc 4.264e-01, val/nll 2.635e+00
[2023-02-16 15:48:53] [Epoch    11/  200] trn/loss 6.671e-01, trn/lr 2.980e+00, trn/scale 2.684e-01, val/acc 6.740e-01, val/nll 1.034e+00
[2023-02-16 15:49:01] [Epoch    12/  200] trn/loss 6.768e-01, trn/lr 2.976e+00, trn/scale 2.436e-01, val/acc 5.968e-01, val/nll 1.244e+00
[2023-02-16 15:49:10] [Epoch    13/  200] trn/loss 6.989e-01, trn/lr 2.971e+00, trn/scale 2.224e-01, val/acc 5.681e-01, val/nll 1.628e+00
[2023-02-16 15:49:18] [Epoch    14/  200] trn/loss 7.357e-01, trn/lr 2.966e+00, trn/scale 2.044e-01, val/acc 4.875e-01, val/nll 1.939e+00
[2023-02-16 15:49:26] [Epoch    15/  200] trn/loss 7.368e-01, trn/lr 2.961e+00, trn/scale 1.890e-01, val/acc 5.791e-01, val/nll 1.238e+00
[2023-02-16 15:49:34] [Epoch    16/  200] trn/loss 7.487e-01, trn/lr 2.956e+00, trn/scale 1.760e-01, val/acc 6.648e-01, val/nll 1.093e+00
[2023-02-16 15:49:42] [Epoch    17/  200] trn/loss 7.790e-01, trn/lr 2.950e+00, trn/scale 1.648e-01, val/acc 5.253e-01, val/nll 1.595e+00
[2023-02-16 15:49:51] [Epoch    18/  200] trn/loss 8.097e-01, trn/lr 2.944e+00, trn/scale 1.553e-01, val/acc 5.633e-01, val/nll 1.262e+00
[2023-02-16 15:49:59] [Epoch    19/  200] trn/loss 8.340e-01, trn/lr 2.937e+00, trn/scale 1.472e-01, val/acc 5.726e-01, val/nll 1.230e+00
[2023-02-16 15:50:07] [Epoch    20/  200] trn/loss 8.439e-01, trn/lr 2.930e+00, trn/scale 1.403e-01, val/acc 5.146e-01, val/nll 1.919e+00
