[2023-02-16 17:12:51] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 17:12:51] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 17:12:57] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 17:14:08] [Epoch     1/  200] trn/loss 1.815e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.897e-01, val/nll 1.486e+00 (best_acc: 0.000e+00 -> 4.897e-01, test_acc: 4.817e-01, test_nll: 1.490e+00)
[2023-02-16 17:14:17] [Epoch     2/  200] trn/loss 1.266e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 5.354e-01, val/nll 1.377e+00 (best_acc: 4.897e-01 -> 5.354e-01, test_acc: 5.349e-01, test_nll: 1.404e+00)
[2023-02-16 17:14:26] [Epoch     3/  200] trn/loss 9.936e-01, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 5.865e-01, val/nll 1.175e+00 (best_acc: 5.354e-01 -> 5.865e-01, test_acc: 5.907e-01, test_nll: 1.179e+00)
[2023-02-16 17:14:36] [Epoch     4/  200] trn/loss 8.497e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 6.323e-01, val/nll 1.062e+00 (best_acc: 5.865e-01 -> 6.323e-01, test_acc: 6.285e-01, test_nll: 1.072e+00)
[2023-02-16 17:14:44] [Epoch     5/  200] trn/loss 7.798e-01, trn/lr 2.996e+00, trn/scale 5.393e-01, val/acc 4.822e-01, val/nll 2.031e+00
[2023-02-16 17:14:53] [Epoch     6/  200] trn/loss 8.053e-01, trn/lr 2.994e+00, trn/scale 4.746e-01, val/acc 6.551e-01, val/nll 9.892e-01 (best_acc: 6.323e-01 -> 6.551e-01, test_acc: 6.484e-01, test_nll: 1.011e+00)
[2023-02-16 17:15:02] [Epoch     7/  200] trn/loss 8.149e-01, trn/lr 2.992e+00, trn/scale 4.193e-01, val/acc 4.648e-01, val/nll 1.974e+00
[2023-02-16 17:15:10] [Epoch     8/  200] trn/loss 8.556e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 5.815e-01, val/nll 1.301e+00
[2023-02-16 17:15:18] [Epoch     9/  200] trn/loss 8.684e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 5.520e-01, val/nll 1.344e+00
[2023-02-16 17:15:26] [Epoch    10/  200] trn/loss 9.237e-01, trn/lr 2.983e+00, trn/scale 2.981e-01, val/acc 5.365e-01, val/nll 1.486e+00
[2023-02-16 17:15:34] [Epoch    11/  200] trn/loss 9.629e-01, trn/lr 2.980e+00, trn/scale 2.689e-01, val/acc 5.805e-01, val/nll 1.307e+00
[2023-02-16 17:15:43] [Epoch    12/  200] trn/loss 1.023e+00, trn/lr 2.976e+00, trn/scale 2.441e-01, val/acc 2.466e-01, val/nll 3.527e+00
[2023-02-16 17:15:51] [Epoch    13/  200] trn/loss 1.070e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 4.201e-01, val/nll 1.679e+00
[2023-02-16 17:15:59] [Epoch    14/  200] trn/loss 1.115e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 5.077e-01, val/nll 1.550e+00
[2023-02-16 17:16:08] [Epoch    15/  200] trn/loss 1.147e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 5.407e-01, val/nll 1.369e+00
[2023-02-16 17:16:16] [Epoch    16/  200] trn/loss 1.184e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 4.320e-01, val/nll 1.724e+00
[2023-02-16 17:16:24] [Epoch    17/  200] trn/loss 1.252e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 1.079e-01, val/nll 8.582e+00
[2023-02-16 17:16:32] [Epoch    18/  200] trn/loss 1.331e+00, trn/lr 2.944e+00, trn/scale 1.559e-01, val/acc 1.441e-01, val/nll 2.299e+00
[2023-02-16 17:16:40] [Epoch    19/  200] trn/loss 1.361e+00, trn/lr 2.937e+00, trn/scale 1.478e-01, val/acc 3.440e-01, val/nll 1.867e+00
[2023-02-16 17:16:48] [Epoch    20/  200] trn/loss 1.681e+00, trn/lr 2.930e+00, trn/scale 1.409e-01, val/acc 2.623e-01, val/nll 2.266e+00
[2023-02-16 17:16:57] [Epoch    21/  200] trn/loss 1.688e+00, trn/lr 2.923e+00, trn/scale 1.350e-01, val/acc 1.560e-01, val/nll 6.976e+00
[2023-02-16 17:17:05] [Epoch    22/  200] trn/loss 1.743e+00, trn/lr 2.915e+00, trn/scale 1.300e-01, val/acc 1.332e-01, val/nll 2.930e+00
[2023-02-16 17:17:13] [Epoch    23/  200] trn/loss 1.717e+00, trn/lr 2.907e+00, trn/scale 1.257e-01, val/acc 1.046e-01, val/nll 3.792e+00
[2023-02-16 17:17:21] [Epoch    24/  200] trn/loss 1.731e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 2.198e-01, val/nll 2.418e+00
[2023-02-16 17:17:29] [Epoch    25/  200] trn/loss 1.799e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.031e-01, val/nll 2.490e+00
[2023-02-16 17:17:38] [Epoch    26/  200] trn/loss 2.130e+00, trn/lr 2.881e+00, trn/scale 1.163e-01, val/acc 9.978e-02, val/nll 2.595e+00
[2023-02-16 17:17:46] [Epoch    27/  200] trn/loss 2.100e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.145e-01, val/nll 2.949e+00
[2023-02-16 17:17:54] [Epoch    28/  200] trn/loss 2.167e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 1.081e-01, val/nll 2.586e+00
[2023-02-16 17:18:02] [Epoch    29/  200] trn/loss 2.203e+00, trn/lr 2.852e+00, trn/scale 1.105e-01, val/acc 1.000e-01, val/nll 2.556e+00
[2023-02-16 17:18:10] [Epoch    30/  200] trn/loss 2.132e+00, trn/lr 2.842e+00, trn/scale 1.091e-01, val/acc 9.889e-02, val/nll 2.495e+00
[2023-02-16 17:18:19] [Epoch    31/  200] trn/loss 2.316e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 9.823e-02, val/nll 2.314e+00
[2023-02-16 17:18:27] [Epoch    32/  200] trn/loss 2.206e+00, trn/lr 2.820e+00, trn/scale 1.069e-01, val/acc 1.081e-01, val/nll 2.337e+00
[2023-02-16 17:18:35] [Epoch    33/  200] trn/loss 2.345e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 9.823e-02, val/nll 2.365e+00
[2023-02-16 17:18:43] [Epoch    34/  200] trn/loss 2.121e+00, trn/lr 2.797e+00, trn/scale 1.053e-01, val/acc 1.040e-01, val/nll 3.492e+01
[2023-02-16 17:18:51] [Epoch    35/  200] trn/loss 2.130e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 1.309e-01, val/nll 2.382e+00
[2023-02-16 17:19:00] [Epoch    36/  200] trn/loss 2.176e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 1.044e-01, val/nll 2.422e+00
[2023-02-16 17:19:08] [Epoch    37/  200] trn/loss 2.130e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 1.414e-01, val/nll 2.407e+00
[2023-02-16 17:19:16] [Epoch    38/  200] trn/loss 2.128e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.705e-01, val/nll 2.230e+00
[2023-02-16 17:19:24] [Epoch    39/  200] trn/loss 2.143e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 9.978e-02, val/nll 2.500e+00
[2023-02-16 17:19:32] [Epoch    40/  200] trn/loss 2.137e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 1.659e-01, val/nll 5.107e+00
[2023-02-16 17:19:40] [Epoch    41/  200] trn/loss 2.174e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 1.044e-01, val/nll 2.572e+00
[2023-02-16 17:19:49] [Epoch    42/  200] trn/loss 1.548e+01, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 9.945e-02, val/nll 2.368e+00
[2023-02-16 17:19:57] [Epoch    43/  200] trn/loss 2.166e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 9.978e-02, val/nll 8.522e+00
[2023-02-16 17:20:05] [Epoch    44/  200] trn/loss 2.218e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 9.978e-02, val/nll 4.318e+00
[2023-02-16 17:20:13] [Epoch    45/  200] trn/loss 2.135e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 1.044e-01, val/nll 2.554e+00
[2023-02-16 17:20:21] [Epoch    46/  200] trn/loss 2.279e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 1.213e-01, val/nll 2.288e+00
[2023-02-16 17:20:30] [Epoch    47/  200] trn/loss 2.218e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 9.856e-02, val/nll 2.612e+00
[2023-02-16 17:20:38] [Epoch    48/  200] trn/loss 2.219e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 9.292e-02, val/nll 2.499e+00
[2023-02-16 17:20:46] [Epoch    49/  200] trn/loss 2.197e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 9.978e-02, val/nll 2.623e+00
[2023-02-16 17:20:54] [Epoch    50/  200] trn/loss 2.221e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 1.310e-01, val/nll 2.277e+00
[2023-02-16 17:21:02] [Epoch    51/  200] trn/loss 2.203e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.164e-01, val/nll 2.500e+00
[2023-02-16 17:21:11] [Epoch    52/  200] trn/loss 2.174e+00, trn/lr 2.535e+00, trn/scale 1.013e-01, val/acc 1.014e-01, val/nll 2.384e+00
