[2023-02-16 17:12:28] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 17:12:28] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.03
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0300_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 17:12:34] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 17:13:44] [Epoch     1/  200] trn/loss 1.815e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.722e-01, val/nll 1.453e+00 (best_acc: 0.000e+00 -> 4.722e-01, test_acc: 4.667e-01, test_nll: 1.464e+00)
[2023-02-16 17:13:53] [Epoch     2/  200] trn/loss 1.285e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 5.031e-01, val/nll 1.490e+00 (best_acc: 4.722e-01 -> 5.031e-01, test_acc: 4.937e-01, test_nll: 1.507e+00)
[2023-02-16 17:14:03] [Epoch     3/  200] trn/loss 1.022e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 5.490e-01, val/nll 1.295e+00 (best_acc: 5.031e-01 -> 5.490e-01, test_acc: 5.515e-01, test_nll: 1.304e+00)
[2023-02-16 17:14:12] [Epoch     4/  200] trn/loss 8.713e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 5.831e-01, val/nll 1.211e+00 (best_acc: 5.490e-01 -> 5.831e-01, test_acc: 5.844e-01, test_nll: 1.209e+00)
[2023-02-16 17:14:21] [Epoch     5/  200] trn/loss 7.914e-01, trn/lr 2.996e+00, trn/scale 5.393e-01, val/acc 5.795e-01, val/nll 1.231e+00
[2023-02-16 17:14:30] [Epoch     6/  200] trn/loss 7.993e-01, trn/lr 2.994e+00, trn/scale 4.746e-01, val/acc 6.735e-01, val/nll 9.807e-01 (best_acc: 5.831e-01 -> 6.735e-01, test_acc: 6.711e-01, test_nll: 9.944e-01)
[2023-02-16 17:14:38] [Epoch     7/  200] trn/loss 8.261e-01, trn/lr 2.992e+00, trn/scale 4.193e-01, val/acc 5.699e-01, val/nll 1.422e+00
[2023-02-16 17:14:46] [Epoch     8/  200] trn/loss 8.470e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 3.396e-01, val/nll 2.961e+00
[2023-02-16 17:14:55] [Epoch     9/  200] trn/loss 8.713e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 3.912e-01, val/nll 2.504e+00
[2023-02-16 17:15:03] [Epoch    10/  200] trn/loss 9.123e-01, trn/lr 2.983e+00, trn/scale 2.981e-01, val/acc 3.060e-01, val/nll 3.744e+00
[2023-02-16 17:15:11] [Epoch    11/  200] trn/loss 9.530e-01, trn/lr 2.980e+00, trn/scale 2.689e-01, val/acc 6.007e-01, val/nll 1.124e+00
[2023-02-16 17:15:19] [Epoch    12/  200] trn/loss 9.995e-01, trn/lr 2.976e+00, trn/scale 2.441e-01, val/acc 5.261e-01, val/nll 1.401e+00
[2023-02-16 17:15:28] [Epoch    13/  200] trn/loss 1.054e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 2.956e-01, val/nll 2.759e+00
[2023-02-16 17:15:36] [Epoch    14/  200] trn/loss 1.086e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 2.467e-01, val/nll 3.563e+00
[2023-02-16 17:15:44] [Epoch    15/  200] trn/loss 1.132e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 5.580e-01, val/nll 1.314e+00
[2023-02-16 17:15:53] [Epoch    16/  200] trn/loss 1.196e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 5.021e-01, val/nll 1.447e+00
[2023-02-16 17:16:01] [Epoch    17/  200] trn/loss 1.233e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 1.774e-01, val/nll 4.742e+00
[2023-02-16 17:16:09] [Epoch    18/  200] trn/loss 1.600e+00, trn/lr 2.944e+00, trn/scale 1.559e-01, val/acc 9.369e-02, val/nll 6.793e+00
[2023-02-16 17:16:17] [Epoch    19/  200] trn/loss 1.574e+00, trn/lr 2.937e+00, trn/scale 1.478e-01, val/acc 2.377e-01, val/nll 2.507e+00
[2023-02-16 17:16:25] [Epoch    20/  200] trn/loss 1.656e+00, trn/lr 2.930e+00, trn/scale 1.409e-01, val/acc 1.810e-01, val/nll 6.161e+00
[2023-02-16 17:16:34] [Epoch    21/  200] trn/loss 1.743e+00, trn/lr 2.923e+00, trn/scale 1.350e-01, val/acc 1.949e-01, val/nll 3.913e+00
[2023-02-16 17:16:42] [Epoch    22/  200] trn/loss 1.714e+00, trn/lr 2.915e+00, trn/scale 1.300e-01, val/acc 1.103e-01, val/nll 4.260e+00
