[2023-02-16 16:43:43] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 16:43:43] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.9
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.1
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.900_b2-0.999_wd-0.0010_eps-1e-1_rho-0.1000_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 16:43:57] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 16:45:08] [Epoch     1/  200] trn/loss 1.943e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.111e-01, val/nll 1.546e+00 (best_acc: 0.000e+00 -> 4.111e-01, test_acc: 4.057e-01, test_nll: 1.548e+00)
[2023-02-16 16:45:17] [Epoch     2/  200] trn/loss 1.449e+00, trn/lr 3.000e+00, trn/scale 8.093e-01, val/acc 4.913e-01, val/nll 1.367e+00 (best_acc: 4.111e-01 -> 4.913e-01, test_acc: 4.868e-01, test_nll: 1.374e+00)
[2023-02-16 16:45:27] [Epoch     3/  200] trn/loss 1.169e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 5.674e-01, val/nll 1.166e+00 (best_acc: 4.913e-01 -> 5.674e-01, test_acc: 5.705e-01, test_nll: 1.182e+00)
[2023-02-16 16:45:36] [Epoch     4/  200] trn/loss 1.014e+00, trn/lr 2.998e+00, trn/scale 6.153e-01, val/acc 5.910e-01, val/nll 1.141e+00 (best_acc: 5.674e-01 -> 5.910e-01, test_acc: 5.861e-01, test_nll: 1.149e+00)
[2023-02-16 16:45:44] [Epoch     5/  200] trn/loss 8.938e-01, trn/lr 2.996e+00, trn/scale 5.393e-01, val/acc 5.237e-01, val/nll 1.495e+00
[2023-02-16 16:45:53] [Epoch     6/  200] trn/loss 8.715e-01, trn/lr 2.994e+00, trn/scale 4.745e-01, val/acc 6.472e-01, val/nll 1.064e+00 (best_acc: 5.910e-01 -> 6.472e-01, test_acc: 6.426e-01, test_nll: 1.058e+00)
[2023-02-16 16:46:01] [Epoch     7/  200] trn/loss 8.537e-01, trn/lr 2.992e+00, trn/scale 4.193e-01, val/acc 3.487e-01, val/nll 3.264e+00
[2023-02-16 16:46:10] [Epoch     8/  200] trn/loss 8.662e-01, trn/lr 2.990e+00, trn/scale 3.722e-01, val/acc 3.843e-01, val/nll 2.136e+00
[2023-02-16 16:46:18] [Epoch     9/  200] trn/loss 8.753e-01, trn/lr 2.987e+00, trn/scale 3.321e-01, val/acc 4.147e-01, val/nll 1.996e+00
[2023-02-16 16:46:26] [Epoch    10/  200] trn/loss 8.955e-01, trn/lr 2.983e+00, trn/scale 2.980e-01, val/acc 3.444e-01, val/nll 2.888e+00
[2023-02-16 16:46:34] [Epoch    11/  200] trn/loss 9.556e-01, trn/lr 2.980e+00, trn/scale 2.689e-01, val/acc 3.825e-01, val/nll 2.507e+00
[2023-02-16 16:46:43] [Epoch    12/  200] trn/loss 9.964e-01, trn/lr 2.976e+00, trn/scale 2.441e-01, val/acc 3.070e-01, val/nll 2.733e+00
[2023-02-16 16:46:51] [Epoch    13/  200] trn/loss 1.062e+00, trn/lr 2.971e+00, trn/scale 2.229e-01, val/acc 1.829e-01, val/nll 5.360e+00
[2023-02-16 16:46:59] [Epoch    14/  200] trn/loss 1.101e+00, trn/lr 2.966e+00, trn/scale 2.049e-01, val/acc 3.482e-01, val/nll 1.988e+00
[2023-02-16 16:47:07] [Epoch    15/  200] trn/loss 1.150e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 2.868e-01, val/nll 3.727e+00
[2023-02-16 16:47:15] [Epoch    16/  200] trn/loss 1.223e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 3.358e-01, val/nll 1.964e+00
[2023-02-16 16:47:24] [Epoch    17/  200] trn/loss 1.338e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 3.799e-01, val/nll 1.969e+00
[2023-02-16 16:47:32] [Epoch    18/  200] trn/loss 1.423e+00, trn/lr 2.944e+00, trn/scale 1.558e-01, val/acc 1.564e-01, val/nll 9.009e+00
[2023-02-16 16:47:40] [Epoch    19/  200] trn/loss 1.508e+00, trn/lr 2.937e+00, trn/scale 1.477e-01, val/acc 2.788e-01, val/nll 2.123e+00
[2023-02-16 16:47:48] [Epoch    20/  200] trn/loss 1.478e+00, trn/lr 2.930e+00, trn/scale 1.408e-01, val/acc 1.044e-01, val/nll 7.754e+00
[2023-02-16 16:47:56] [Epoch    21/  200] trn/loss 1.959e+00, trn/lr 2.923e+00, trn/scale 1.350e-01, val/acc 1.684e-01, val/nll 2.154e+00
[2023-02-16 16:48:05] [Epoch    22/  200] trn/loss 1.940e+00, trn/lr 2.915e+00, trn/scale 1.299e-01, val/acc 1.363e-01, val/nll 2.230e+00
[2023-02-16 16:48:13] [Epoch    23/  200] trn/loss 2.079e+00, trn/lr 2.907e+00, trn/scale 1.257e-01, val/acc 9.978e-02, val/nll 2.506e+00
[2023-02-16 16:48:21] [Epoch    24/  200] trn/loss 2.078e+00, trn/lr 2.899e+00, trn/scale 1.220e-01, val/acc 1.450e-01, val/nll 1.500e+01
[2023-02-16 16:48:29] [Epoch    25/  200] trn/loss 2.173e+00, trn/lr 2.890e+00, trn/scale 1.189e-01, val/acc 1.768e-01, val/nll 2.134e+00
[2023-02-16 16:48:37] [Epoch    26/  200] trn/loss 2.140e+00, trn/lr 2.881e+00, trn/scale 1.163e-01, val/acc 1.153e-01, val/nll 2.332e+00
[2023-02-16 16:48:46] [Epoch    27/  200] trn/loss 2.245e+00, trn/lr 2.872e+00, trn/scale 1.140e-01, val/acc 1.007e-01, val/nll 2.342e+00
[2023-02-16 16:48:54] [Epoch    28/  200] trn/loss 2.183e+00, trn/lr 2.862e+00, trn/scale 1.121e-01, val/acc 9.823e-02, val/nll 2.451e+00
[2023-02-16 16:49:02] [Epoch    29/  200] trn/loss 2.194e+00, trn/lr 2.852e+00, trn/scale 1.104e-01, val/acc 1.007e-01, val/nll 2.343e+00
[2023-02-16 16:49:10] [Epoch    30/  200] trn/loss 2.266e+00, trn/lr 2.842e+00, trn/scale 1.090e-01, val/acc 1.081e-01, val/nll 2.539e+00
[2023-02-16 16:49:18] [Epoch    31/  200] trn/loss 2.284e+00, trn/lr 2.831e+00, trn/scale 1.079e-01, val/acc 9.281e-02, val/nll 2.355e+00
[2023-02-16 16:49:27] [Epoch    32/  200] trn/loss 2.238e+00, trn/lr 2.820e+00, trn/scale 1.068e-01, val/acc 9.281e-02, val/nll 3.067e+00
[2023-02-16 16:49:35] [Epoch    33/  200] trn/loss 2.235e+00, trn/lr 2.809e+00, trn/scale 1.060e-01, val/acc 1.101e-01, val/nll 4.134e+00
[2023-02-16 16:49:43] [Epoch    34/  200] trn/loss 2.180e+00, trn/lr 2.797e+00, trn/scale 1.052e-01, val/acc 9.856e-02, val/nll 2.349e+00
[2023-02-16 16:49:51] [Epoch    35/  200] trn/loss 2.195e+00, trn/lr 2.785e+00, trn/scale 1.046e-01, val/acc 1.294e-01, val/nll 6.911e+00
[2023-02-16 16:49:59] [Epoch    36/  200] trn/loss 2.210e+00, trn/lr 2.773e+00, trn/scale 1.041e-01, val/acc 9.823e-02, val/nll 2.458e+00
[2023-02-16 16:50:08] [Epoch    37/  200] trn/loss 2.213e+00, trn/lr 2.760e+00, trn/scale 1.036e-01, val/acc 1.227e-01, val/nll 2.313e+00
[2023-02-16 16:50:16] [Epoch    38/  200] trn/loss 2.256e+00, trn/lr 2.747e+00, trn/scale 1.032e-01, val/acc 1.195e-01, val/nll 2.372e+00
[2023-02-16 16:50:24] [Epoch    39/  200] trn/loss 2.202e+00, trn/lr 2.734e+00, trn/scale 1.029e-01, val/acc 9.945e-02, val/nll 2.314e+00
[2023-02-16 16:50:32] [Epoch    40/  200] trn/loss 2.318e+00, trn/lr 2.720e+00, trn/scale 1.026e-01, val/acc 9.823e-02, val/nll 2.324e+00
[2023-02-16 16:50:40] [Epoch    41/  200] trn/loss 2.319e+00, trn/lr 2.707e+00, trn/scale 1.024e-01, val/acc 9.978e-02, val/nll 2.320e+00
[2023-02-16 16:50:48] [Epoch    42/  200] trn/loss 2.319e+00, trn/lr 2.692e+00, trn/scale 1.022e-01, val/acc 9.281e-02, val/nll 2.325e+00
[2023-02-16 16:50:57] [Epoch    43/  200] trn/loss 2.316e+00, trn/lr 2.678e+00, trn/scale 1.020e-01, val/acc 9.978e-02, val/nll 2.313e+00
[2023-02-16 16:51:05] [Epoch    44/  200] trn/loss 2.321e+00, trn/lr 2.663e+00, trn/scale 1.019e-01, val/acc 9.856e-02, val/nll 2.312e+00
[2023-02-16 16:51:13] [Epoch    45/  200] trn/loss 2.320e+00, trn/lr 2.648e+00, trn/scale 1.017e-01, val/acc 1.007e-01, val/nll 2.317e+00
[2023-02-16 16:51:21] [Epoch    46/  200] trn/loss 2.320e+00, trn/lr 2.633e+00, trn/scale 1.016e-01, val/acc 1.007e-01, val/nll 2.337e+00
[2023-02-16 16:51:29] [Epoch    47/  200] trn/loss 2.316e+00, trn/lr 2.617e+00, trn/scale 1.015e-01, val/acc 9.856e-02, val/nll 2.310e+00
[2023-02-16 16:51:38] [Epoch    48/  200] trn/loss 2.320e+00, trn/lr 2.602e+00, trn/scale 1.015e-01, val/acc 9.823e-02, val/nll 2.319e+00
[2023-02-16 16:51:46] [Epoch    49/  200] trn/loss 2.320e+00, trn/lr 2.585e+00, trn/scale 1.014e-01, val/acc 1.081e-01, val/nll 2.315e+00
[2023-02-16 16:51:54] [Epoch    50/  200] trn/loss 2.315e+00, trn/lr 2.569e+00, trn/scale 1.013e-01, val/acc 9.945e-02, val/nll 2.307e+00
[2023-02-16 16:52:02] [Epoch    51/  200] trn/loss 2.319e+00, trn/lr 2.552e+00, trn/scale 1.013e-01, val/acc 1.007e-01, val/nll 2.317e+00
[2023-02-16 16:52:10] [Epoch    52/  200] trn/loss 2.322e+00, trn/lr 2.535e+00, trn/scale 1.012e-01, val/acc 1.044e-01, val/nll 2.329e+00
