[2023-02-16 23:28:36] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 23:28:36] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 23:28:50] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 23:30:01] [Epoch     1/  200] trn/loss 1.846e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 5.018e-01, val/nll 1.431e+00 (best_acc: 0.000e+00 -> 5.018e-01, test_acc: 4.888e-01, test_nll: 1.444e+00)
[2023-02-16 23:30:10] [Epoch     2/  200] trn/loss 1.338e+00, trn/lr 3.000e+00, trn/scale 8.092e-01, val/acc 5.749e-01, val/nll 1.222e+00 (best_acc: 5.018e-01 -> 5.749e-01, test_acc: 5.714e-01, test_nll: 1.230e+00)
[2023-02-16 23:30:19] [Epoch     3/  200] trn/loss 1.014e+00, trn/lr 2.999e+00, trn/scale 7.044e-01, val/acc 6.625e-01, val/nll 9.737e-01 (best_acc: 5.749e-01 -> 6.625e-01, test_acc: 6.621e-01, test_nll: 9.888e-01)
[2023-02-16 23:30:29] [Epoch     4/  200] trn/loss 8.502e-01, trn/lr 2.998e+00, trn/scale 6.151e-01, val/acc 6.759e-01, val/nll 9.874e-01 (best_acc: 6.625e-01 -> 6.759e-01, test_acc: 6.736e-01, test_nll: 1.000e+00)
[2023-02-16 23:30:37] [Epoch     5/  200] trn/loss 7.462e-01, trn/lr 2.996e+00, trn/scale 5.390e-01, val/acc 6.665e-01, val/nll 1.129e+00
[2023-02-16 23:30:45] [Epoch     6/  200] trn/loss 6.744e-01, trn/lr 2.994e+00, trn/scale 4.742e-01, val/acc 6.665e-01, val/nll 1.122e+00
[2023-02-16 23:30:54] [Epoch     7/  200] trn/loss 6.421e-01, trn/lr 2.992e+00, trn/scale 4.189e-01, val/acc 7.759e-01, val/nll 6.499e-01 (best_acc: 6.759e-01 -> 7.759e-01, test_acc: 7.732e-01, test_nll: 6.535e-01)
[2023-02-16 23:31:03] [Epoch     8/  200] trn/loss 6.331e-01, trn/lr 2.990e+00, trn/scale 3.718e-01, val/acc 7.364e-01, val/nll 7.937e-01
[2023-02-16 23:31:11] [Epoch     9/  200] trn/loss 6.387e-01, trn/lr 2.987e+00, trn/scale 3.317e-01, val/acc 7.072e-01, val/nll 9.029e-01
[2023-02-16 23:31:19] [Epoch    10/  200] trn/loss 6.469e-01, trn/lr 2.983e+00, trn/scale 2.975e-01, val/acc 6.834e-01, val/nll 9.294e-01
[2023-02-16 23:31:27] [Epoch    11/  200] trn/loss 6.771e-01, trn/lr 2.980e+00, trn/scale 2.684e-01, val/acc 7.149e-01, val/nll 8.793e-01
[2023-02-16 23:31:36] [Epoch    12/  200] trn/loss 6.865e-01, trn/lr 2.976e+00, trn/scale 2.436e-01, val/acc 6.433e-01, val/nll 1.129e+00
[2023-02-16 23:31:44] [Epoch    13/  200] trn/loss 6.780e-01, trn/lr 2.971e+00, trn/scale 2.224e-01, val/acc 5.975e-01, val/nll 1.502e+00
[2023-02-16 23:31:52] [Epoch    14/  200] trn/loss 7.407e-01, trn/lr 2.966e+00, trn/scale 2.044e-01, val/acc 5.665e-01, val/nll 1.357e+00
[2023-02-16 23:32:00] [Epoch    15/  200] trn/loss 7.375e-01, trn/lr 2.961e+00, trn/scale 1.890e-01, val/acc 5.708e-01, val/nll 1.217e+00
[2023-02-16 23:32:08] [Epoch    16/  200] trn/loss 7.878e-01, trn/lr 2.956e+00, trn/scale 1.759e-01, val/acc 6.282e-01, val/nll 1.069e+00
[2023-02-16 23:32:17] [Epoch    17/  200] trn/loss 7.911e-01, trn/lr 2.950e+00, trn/scale 1.648e-01, val/acc 4.971e-01, val/nll 1.641e+00
[2023-02-16 23:32:25] [Epoch    18/  200] trn/loss 7.873e-01, trn/lr 2.944e+00, trn/scale 1.553e-01, val/acc 6.028e-01, val/nll 1.245e+00
[2023-02-16 23:32:33] [Epoch    19/  200] trn/loss 8.029e-01, trn/lr 2.937e+00, trn/scale 1.472e-01, val/acc 5.334e-01, val/nll 1.696e+00
[2023-02-16 23:32:41] [Epoch    20/  200] trn/loss 8.307e-01, trn/lr 2.930e+00, trn/scale 1.403e-01, val/acc 5.158e-01, val/nll 1.687e+00
[2023-02-16 23:32:49] [Epoch    21/  200] trn/loss 8.544e-01, trn/lr 2.923e+00, trn/scale 1.344e-01, val/acc 6.631e-01, val/nll 1.067e+00
[2023-02-16 23:32:58] [Epoch    22/  200] trn/loss 8.994e-01, trn/lr 2.915e+00, trn/scale 1.294e-01, val/acc 5.485e-01, val/nll 1.483e+00
