[2023-02-16 23:00:32] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-16 23:00:32] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.0003
- args.rho                : 0.03
- args.num_data_factor    : 1.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0003_eps-1e-1_rho-0.0300_factor-1.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-16 23:00:46] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-16 23:01:57] [Epoch     1/  200] trn/loss 1.845e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.913e-01, val/nll 1.426e+00 (best_acc: 0.000e+00 -> 4.913e-01, test_acc: 4.949e-01, test_nll: 1.419e+00)
[2023-02-16 23:02:07] [Epoch     2/  200] trn/loss 1.365e+00, trn/lr 3.000e+00, trn/scale 8.092e-01, val/acc 5.832e-01, val/nll 1.182e+00 (best_acc: 4.913e-01 -> 5.832e-01, test_acc: 5.768e-01, test_nll: 1.192e+00)
[2023-02-16 23:02:16] [Epoch     3/  200] trn/loss 1.029e+00, trn/lr 2.999e+00, trn/scale 7.044e-01, val/acc 6.678e-01, val/nll 9.284e-01 (best_acc: 5.832e-01 -> 6.678e-01, test_acc: 6.723e-01, test_nll: 9.326e-01)
[2023-02-16 23:02:25] [Epoch     4/  200] trn/loss 8.534e-01, trn/lr 2.998e+00, trn/scale 6.151e-01, val/acc 6.936e-01, val/nll 9.139e-01 (best_acc: 6.678e-01 -> 6.936e-01, test_acc: 6.915e-01, test_nll: 9.414e-01)
[2023-02-16 23:02:33] [Epoch     5/  200] trn/loss 7.710e-01, trn/lr 2.996e+00, trn/scale 5.390e-01, val/acc 6.530e-01, val/nll 1.062e+00
[2023-02-16 23:02:43] [Epoch     6/  200] trn/loss 6.794e-01, trn/lr 2.994e+00, trn/scale 4.741e-01, val/acc 7.544e-01, val/nll 7.013e-01 (best_acc: 6.936e-01 -> 7.544e-01, test_acc: 7.572e-01, test_nll: 7.130e-01)
[2023-02-16 23:02:51] [Epoch     7/  200] trn/loss 6.540e-01, trn/lr 2.992e+00, trn/scale 4.189e-01, val/acc 7.314e-01, val/nll 8.113e-01
[2023-02-16 23:02:59] [Epoch     8/  200] trn/loss 6.263e-01, trn/lr 2.990e+00, trn/scale 3.718e-01, val/acc 7.334e-01, val/nll 7.703e-01
[2023-02-16 23:03:07] [Epoch     9/  200] trn/loss 6.376e-01, trn/lr 2.987e+00, trn/scale 3.317e-01, val/acc 6.634e-01, val/nll 9.829e-01
[2023-02-16 23:03:16] [Epoch    10/  200] trn/loss 6.519e-01, trn/lr 2.983e+00, trn/scale 2.975e-01, val/acc 6.999e-01, val/nll 8.683e-01
[2023-02-16 23:03:24] [Epoch    11/  200] trn/loss 6.583e-01, trn/lr 2.980e+00, trn/scale 2.684e-01, val/acc 6.759e-01, val/nll 9.160e-01
[2023-02-16 23:03:32] [Epoch    12/  200] trn/loss 6.839e-01, trn/lr 2.976e+00, trn/scale 2.435e-01, val/acc 6.657e-01, val/nll 1.113e+00
[2023-02-16 23:03:40] [Epoch    13/  200] trn/loss 6.919e-01, trn/lr 2.971e+00, trn/scale 2.224e-01, val/acc 6.305e-01, val/nll 1.179e+00
[2023-02-16 23:03:49] [Epoch    14/  200] trn/loss 7.281e-01, trn/lr 2.966e+00, trn/scale 2.044e-01, val/acc 6.512e-01, val/nll 1.073e+00
[2023-02-16 23:03:57] [Epoch    15/  200] trn/loss 7.163e-01, trn/lr 2.961e+00, trn/scale 1.890e-01, val/acc 7.332e-01, val/nll 7.812e-01
[2023-02-16 23:04:05] [Epoch    16/  200] trn/loss 7.609e-01, trn/lr 2.956e+00, trn/scale 1.759e-01, val/acc 5.770e-01, val/nll 1.777e+00
[2023-02-16 23:04:13] [Epoch    17/  200] trn/loss 7.656e-01, trn/lr 2.950e+00, trn/scale 1.648e-01, val/acc 6.105e-01, val/nll 1.308e+00
[2023-02-16 23:04:21] [Epoch    18/  200] trn/loss 7.563e-01, trn/lr 2.944e+00, trn/scale 1.553e-01, val/acc 6.635e-01, val/nll 1.031e+00
[2023-02-16 23:04:30] [Epoch    19/  200] trn/loss 7.883e-01, trn/lr 2.937e+00, trn/scale 1.472e-01, val/acc 5.706e-01, val/nll 1.425e+00
[2023-02-16 23:04:38] [Epoch    20/  200] trn/loss 8.182e-01, trn/lr 2.930e+00, trn/scale 1.403e-01, val/acc 6.159e-01, val/nll 1.166e+00
[2023-02-16 23:04:46] [Epoch    21/  200] trn/loss 8.304e-01, trn/lr 2.923e+00, trn/scale 1.344e-01, val/acc 5.904e-01, val/nll 1.327e+00
[2023-02-16 23:04:54] [Epoch    22/  200] trn/loss 8.615e-01, trn/lr 2.915e+00, trn/scale 1.294e-01, val/acc 4.571e-01, val/nll 2.115e+00
