[2023-02-17 01:23:41] Environments:
------------  ------------------------------------------------------------
sys.platform  linux
Python        3.8.10 (default, Nov 14 2022, 12:59:47) [GCC 9.4.0]
JAX           0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jax
jaxlib        0.4.2 @/home/giung/.local/lib/python3.8/site-packages/jaxlib
Flax          0.6.4 @/home/giung/.local/lib/python3.8/site-packages/flax
Optax         0.1.4 @/home/giung/.local/lib/python3.8/site-packages/optax
------------  ------------------------------------------------------------

[2023-02-17 01:23:41] Command line arguments:
- args.data_root          : ./data/
- args.data_name          : CIFAR10_x32
- args.data_augmentation  : standard
- args.data_proportional  : 1.0
- args.model_depth        : 20
- args.model_width        : 4
- args.model_style        : BN-ReLU
- args.optim_bs           : 256
- args.optim_ne           : 200
- args.optim_lr           : 3.0
- args.optim_b1           : 0.97
- args.optim_b2           : 0.999
- args.optim_eps          : 0.1
- args.optim_weight_decay : 0.001
- args.rho                : 0.01
- args.num_data_factor    : 4.0
- args.save               : /home/giung/giung2-dev/projects/sam/save/CIFAR10_x32/R20x4-BN-ReLU/BayesSAM/bs-0256_ne-0200_lr-3.00_b1-0.970_b2-0.999_wd-0.0010_eps-1e-1_rho-0.0100_factor-4.0_fp32/42
- args.seed               : 42
- args.precision          : fp32

[2023-02-17 01:23:47] Multiple local devices are detected:
[TpuDevice(id=0, process_index=0, coords=(0,0,0), core_on_chip=0), TpuDevice(id=1, process_index=0, coords=(0,0,0), core_on_chip=1), TpuDevice(id=2, process_index=0, coords=(1,0,0), core_on_chip=0), TpuDevice(id=3, process_index=0, coords=(1,0,0), core_on_chip=1), TpuDevice(id=4, process_index=0, coords=(0,1,0), core_on_chip=0), TpuDevice(id=5, process_index=0, coords=(0,1,0), core_on_chip=1), TpuDevice(id=6, process_index=0, coords=(1,1,0), core_on_chip=0), TpuDevice(id=7, process_index=0, coords=(1,1,0), core_on_chip=1)]

[2023-02-17 01:24:58] [Epoch     1/  200] trn/loss 1.847e+00, trn/lr 3.000e+00, trn/scale 9.322e-01, val/acc 4.838e-01, val/nll 1.512e+00 (best_acc: 0.000e+00 -> 4.838e-01, test_acc: 4.740e-01, test_nll: 1.526e+00)
[2023-02-17 01:25:07] [Epoch     2/  200] trn/loss 1.331e+00, trn/lr 3.000e+00, trn/scale 8.094e-01, val/acc 5.710e-01, val/nll 1.249e+00 (best_acc: 4.838e-01 -> 5.710e-01, test_acc: 5.673e-01, test_nll: 1.245e+00)
[2023-02-17 01:25:16] [Epoch     3/  200] trn/loss 1.020e+00, trn/lr 2.999e+00, trn/scale 7.046e-01, val/acc 6.155e-01, val/nll 1.102e+00 (best_acc: 5.710e-01 -> 6.155e-01, test_acc: 6.062e-01, test_nll: 1.147e+00)
[2023-02-17 01:25:25] [Epoch     4/  200] trn/loss 8.858e-01, trn/lr 2.998e+00, trn/scale 6.154e-01, val/acc 6.417e-01, val/nll 9.846e-01 (best_acc: 6.155e-01 -> 6.417e-01, test_acc: 6.418e-01, test_nll: 1.003e+00)
[2023-02-17 01:25:34] [Epoch     5/  200] trn/loss 8.190e-01, trn/lr 2.996e+00, trn/scale 5.394e-01, val/acc 5.846e-01, val/nll 1.283e+00
[2023-02-17 01:25:43] [Epoch     6/  200] trn/loss 8.146e-01, trn/lr 2.994e+00, trn/scale 4.746e-01, val/acc 6.732e-01, val/nll 9.679e-01 (best_acc: 6.417e-01 -> 6.732e-01, test_acc: 6.781e-01, test_nll: 9.536e-01)
[2023-02-17 01:25:51] [Epoch     7/  200] trn/loss 8.215e-01, trn/lr 2.992e+00, trn/scale 4.194e-01, val/acc 4.351e-01, val/nll 2.085e+00
[2023-02-17 01:25:59] [Epoch     8/  200] trn/loss 8.321e-01, trn/lr 2.990e+00, trn/scale 3.723e-01, val/acc 3.590e-01, val/nll 2.781e+00
[2023-02-17 01:26:07] [Epoch     9/  200] trn/loss 8.582e-01, trn/lr 2.987e+00, trn/scale 3.322e-01, val/acc 5.366e-01, val/nll 1.399e+00
[2023-02-17 01:26:16] [Epoch    10/  200] trn/loss 9.064e-01, trn/lr 2.983e+00, trn/scale 2.981e-01, val/acc 6.219e-01, val/nll 1.141e+00
[2023-02-17 01:26:24] [Epoch    11/  200] trn/loss 9.220e-01, trn/lr 2.980e+00, trn/scale 2.690e-01, val/acc 6.489e-01, val/nll 1.025e+00
[2023-02-17 01:26:32] [Epoch    12/  200] trn/loss 9.574e-01, trn/lr 2.976e+00, trn/scale 2.442e-01, val/acc 3.999e-01, val/nll 3.004e+00
[2023-02-17 01:26:40] [Epoch    13/  200] trn/loss 1.000e+00, trn/lr 2.971e+00, trn/scale 2.230e-01, val/acc 3.535e-01, val/nll 2.083e+00
[2023-02-17 01:26:49] [Epoch    14/  200] trn/loss 1.057e+00, trn/lr 2.966e+00, trn/scale 2.050e-01, val/acc 3.918e-01, val/nll 2.208e+00
[2023-02-17 01:26:57] [Epoch    15/  200] trn/loss 1.098e+00, trn/lr 2.961e+00, trn/scale 1.896e-01, val/acc 2.615e-01, val/nll 2.837e+00
[2023-02-17 01:27:05] [Epoch    16/  200] trn/loss 1.177e+00, trn/lr 2.956e+00, trn/scale 1.765e-01, val/acc 3.888e-01, val/nll 1.934e+00
[2023-02-17 01:27:13] [Epoch    17/  200] trn/loss 1.211e+00, trn/lr 2.950e+00, trn/scale 1.654e-01, val/acc 3.322e-01, val/nll 2.190e+00
[2023-02-17 01:27:21] [Epoch    18/  200] trn/loss 1.214e+00, trn/lr 2.944e+00, trn/scale 1.559e-01, val/acc 1.487e-01, val/nll 3.107e+00
[2023-02-17 01:27:30] [Epoch    19/  200] trn/loss 1.271e+00, trn/lr 2.937e+00, trn/scale 1.478e-01, val/acc 1.660e-01, val/nll 3.786e+00
[2023-02-17 01:27:38] [Epoch    20/  200] trn/loss 1.289e+00, trn/lr 2.930e+00, trn/scale 1.409e-01, val/acc 3.229e-01, val/nll 2.805e+00
[2023-02-17 01:27:46] [Epoch    21/  200] trn/loss 1.339e+00, trn/lr 2.923e+00, trn/scale 1.350e-01, val/acc 1.705e-01, val/nll 3.183e+00
[2023-02-17 01:27:54] [Epoch    22/  200] trn/loss 1.352e+00, trn/lr 2.915e+00, trn/scale 1.300e-01, val/acc 3.560e-01, val/nll 2.198e+00
